QUARTER,EMPLOYER_NAME,EMP_NORM,SOC7,SOC_TITLE,JOB_TITLE,WORKSITE_CITY,WORKSITE_STATE,WAGE_ANNUAL,VISA_CLASS
FY2025Q1,NYFIFTH INC.,NYFIFTH,27-1021,Commercial and Industrial Designers,PRODUCT DESIGNER,FREMONT,CA,80000.0,H-1B
FY2025Q1,"ArtSpark Studio, LLC",ARTSPARK STUDIO,27-1024,Graphic Designers,Graphic Designer,Pleasanton,CA,68640.0,H-1B
FY2025Q1,Joyin US Corp,JOYIN US,27-1021,Commercial and Industrial Designers,Product Development Manager,Phoenix,AZ,72000.0,H-1B
FY2025Q1,CORE TECH CONSTRUCTION CORPORATION,CORE TECH CONSTRUCTION,27-1024,Graphic Designers,GRAPHIC DESIGNER,TAMUNING,GU,25605.0,H-1B
FY2025Q1,Zymebalanz LLC,ZYMEBALANZ,27-1021,Commercial and Industrial Designers,UI/UX Designer,San Jose,CA,83699.0,H-1B
FY2025Q1,FlyHigh Talent LLC,FLYHIGH TALENT,15-1255,Web and Digital Interface Designers,Web and Digital Interface Designer,Oakland,CA,93600.0,H-1B
FY2025Q1,SONY INTERACTIVE ENTERTAINMENT LLC,SONY INTERACTIVE ENTERTAINMENT,27-1021,Commercial and Industrial Designers,UX Designer I,San Francisco,CA,98300.0,H-1B
FY2025Q1,"IVY Enterprises, Inc.",IVY ENTERPRISES,27-1024,Graphic Designers,Graphic Designer,Port Washington,NY,51542.4,H-1B
FY2025Q1,"Striking Distance Studios, Inc.",STRIKING DISTANCE STUDIOS,15-1255,Video Game Designers,UX Designer,San Ramon,CA,125000.0,H-1B
FY2025Q1,MOON UNIT DESIGN LLC,MOON UNIT DESIGN,27-1024,Graphic Designers,Graphic Designer,Duluth,GA,40601.6,H-1B
FY2025Q1,BOT AUTO TX INC,BOT AUTO TX,27-1021,Commercial and Industrial Designers,AUTOMOTIVE DESIGNER,HOUSTON,TX,62000.0,H-1B
FY2025Q1,Liberty Home Guard,LIBERTY HOME GUARD,15-1255,Web and Digital Interface Designers,Web and Digital Interface Designer,Brooklyn,NY,73382.0,H-1B
FY2025Q1,Boston College,BOSTON COLLEGE,15-1255,Web and Digital Interface Designers,Associate UI/UX Designer/Developer,Chestnut Hill,MA,78225.0,H-1B
FY2025Q1,NYFIFTH INC.,NYFIFTH,27-1021,Commercial and Industrial Designers,PRODUCT DESIGNER,FREMONT,CA,80000.0,H-1B
FY2025Q1,Visual Concepts Entertainment,VISUAL CONCEPTS ENTERTAINMENT,15-1255,Video Game Designers,Associate Software Engineer,Shoreline,WA,75899.0,H-1B
FY2025Q1,Lighthouse Catholic Media NFP,LIGHTHOUSE CATHOLIC MEDIA NFP,27-1024,Graphic Designers,Graphic Designer,Sycamore,IL,53000.0,H-1B
FY2025Q1,Xuejuan Dance Ensemble LLC,XUEJUAN DANCE ENSEMBLE,27-1024,Graphic Designers,Multimedia Specialist,Fort Lee,NJ,65000.0,H-1B
FY2025Q1,Body Progression Inc.,BODY PROGRESSION,27-1024,Graphic Designers,Graphic Designer,Bristow,OK,36240.0,H-1B
FY2025Q1,Applied Medical Resources Corporation,APPLIED MEDICAL RESOURCES,27-1024,Graphic Designers,UX/UI Designer,Rancho Santa Margarita,CA,100000.0,H-1B
FY2025Q1,Koto Studio LA Inc,KOTO STUDIO LA,27-1024,Graphic Designers,Middleweight Designer,Culver City,CA,80000.0,E-3 Australian
FY2025Q1,"Textiles from Europe, Inc.",TEXTILES FROM EUROPE,27-1021,Commercial and Industrial Designers,Designer,North Bergen,NJ,70000.0,H-1B
FY2025Q1,"IVY Enterprises, Inc.",IVY ENTERPRISES,27-1024,Graphic Designers,Graphic Designer,Port Washington,NY,51542.4,H-1B
FY2025Q1,The Gospel Herald Inc,GOSPEL HERALD,27-1024,Graphic Designers,Senior Graphic/Web Designer,Washington,DC,53456.0,H-1B
FY2025Q1,University of Rochester,UNIVERSITY OF ROCHESTER,27-1024,Graphic Designers,Digital Scholarship Designer,Rochester,NY,48194.0,H-1B
FY2025Q1,"Turner Services, Inc.",TURNER SERVICES,15-1255,Web and Digital Interface Designers,Presentation Designer II,New York,NY,73382.0,H-1B
FY2025Q1,University of Minnesota,UNIVERSITY OF MINNESOTA,15-1255,Web and Digital Interface Designers,Web Manager and Strategist (M&C Pro 2-Web Content),Farmington,MI,62795.0,H-1B
FY2025Q1,"IVY Enterprises, Inc.",IVY ENTERPRISES,27-1024,Graphic Designers,Graphic Designer,Port Washington,NY,51542.0,H-1B
FY2025Q1,"DATAFORMIX TECHNOLOGIES,INC",DATAFORMIX TECHNOLOGIES,15-1255,Web and Digital Interface Designers,UI Designer,Englewood Cliffs,NJ,73382.0,H-1B
FY2025Q1,"University of Maryland, College Park",UNIVERSITY OF MARYLAND COLLEGE PARK,15-1255,Web and Digital Interface Designers,Web Development and Digital Content Specialist,College Park,MD,67112.05,H-1B
FY2025Q1,TWP Partners LLC,TWP PARTNERS,27-1024,Graphic Designers,Graphic Designer,New York,NY,51575.0,H-1B
FY2025Q1,"Wes and Willy, LLC",WES AND WILLY,27-1024,Graphic Designers,Production Graphic Designer,Omaha,NE,39229.0,H-1B
FY2025Q1,HANA MART NY CORP.,HANA MART NY,27-1024,Graphic Designers,Visual Marketing Specialist,New York,NY,51542.4,H-1B
FY2025Q1,Mortgage Payment Corporation,MORTGAGE PAYMENT,27-1024,Graphic Designers,Graphic Designer ,Houston,TX,42000.0,H-1B1 Chile
FY2025Q1,"M. Arthur Gensler Jr. & Associates, Inc.",M ARTHUR GENSLER JR & ASSOCIATES,27-1021,Commercial and Industrial Designers,Technical Designer,San Jose,CA,85000.0,H-1B
FY2025Q1,GFT ECS LLC,GFT ECS,15-1255,Web and Digital Interface Designers,Director of UX/UI Design,Culver City,CA,61000.0,E-3 Australian
FY2025Q1,"Conduent State Healthcare, LLC",CONDUENT STATE HEALTHCARE,15-1255,Web and Digital Interface Designers,UI/UX Designer,Alpharetta,GA,71570.0,H-1B
FY2025Q1,Clean Energy Technologies Inc,CLEAN ENERGY TECHNOLOGIES,27-1024,Graphic Designers,Graphic Designer,Cambridge,MA,50586.0,H-1B
FY2025Q1,Electronic Arts Inc.,ELECTRONIC ARTS,27-1024,Graphic Designers,Associate Concept Artist,Madison,WI,72768.0,H-1B
FY2025Q1,HMC ENTERPRISES LLC,HMC ENTERPRISES,27-1021,Commercial and Industrial Designers,Industrial Designer,Philadelphia,PA,60000.0,H-1B
FY2025Q1,Barlow Designs Inc.,BARLOW DESIGNS,27-1024,Graphic Designers,Graphic Designer,E Providence,RI,47840.0,H-1B
FY2025Q1,DEE JING INC dba KUU,DEE JING INC DBA KUU,27-1024,Graphic Designers,Graphic Designer,New York,NY,56000.0,H-1B
FY2025Q1,Paramount Tax and Acctg CPAs PC,PARAMOUNT TAX AND ACCTG CPAS,27-1024,Graphic Designers,Graphic Designer,Draper,UT,41309.0,E-3 Australian
FY2025Q1,Zymebalanz LLC,ZYMEBALANZ,27-1021,Commercial and Industrial Designers,UI Designer,Santa Clara,CA,83699.0,H-1B
FY2025Q1,Temkin International Inc.,TEMKIN INTERNATIONAL,27-1024,Graphic Designers,Graphic Designer,Payson,UT,37440.0,H-1B
FY2025Q1,Weill Cornell Medical College,WEILL CORNELL MEDICAL COLLEGE,15-1255,Web and Digital Interface Designers,Web Support Specialist,New York,NY,70541.0,H-1B
FY2025Q1,Afuri New York LLC,AFURI NEW YORK,27-1024,Graphic Designers,Graphic Designer,Great Neck,NY,51600.0,H-1B
FY2025Q1,Electronic Arts Inc.,ELECTRONIC ARTS,27-1024,Graphic Designers,Associate Concept Artist,Chatsworth,CA,72768.0,H-1B
FY2025Q1,Monospace Inc,MONOSPACE,15-1255,Web and Digital Interface Designers,Designer,Brooklyn,NY,100000.0,H-1B
FY2025Q1,A L Diamond Home Products LLC,A L DIAMOND HOME PRODUCTS,27-1021,Commercial and Industrial Designers,Industrial Designer,New York,NY,70000.0,H-1B
FY2025Q1,"JAM CITY, INC.",JAM CITY,15-1255,Video Game Designers,Game Designer,Culver City,CA,84510.4,H-1B
FY2025Q1,Amazon.com Services LLC,AMAZON COM SERVICES,27-1024,Graphic Designers,UX Designer I,Santa Clara,CA,111800.0,H-1B
FY2025Q3,"ESSEX MEDIA GROUP, INC. ",ESSEX MEDIA GROUP,27-1024,Graphic Designers,Graphic Designer,LYNN,MA,50585.6,H-1B
FY2025Q3,"CRYSTAL PROJECT, INC.",CRYSTAL PROJECT,15-1255,Web and Digital Interface Designers,DESIGN SPECIALIST,COLUMBUS,OH,81250.0,H-1B
FY2025Q3,"Future Finance Finder Management Consulting Service, Inc.",FUTURE FINANCE FINDER MANAGEMENT CONSULTING SERVICE,27-1024,Graphic Designers,Graphic Designers,New York,NY,54000.0,H-1B
FY2025Q3,"Utila Legend, LLC",UTILA LEGEND,27-1021,Commercial and Industrial Designers,Design Engineer,Troy,MI,49920.0,H-1B
FY2025Q3,Morphing Program Co,MORPHING PROGRAM,27-1021,Commercial and Industrial Designers,Computational Design Researcher,Cambridge,MA,65000.0,H-1B
FY2025Q3,Feiya America Inc.,FEIYA AMERICA,15-1255,Web and Digital Interface Designers,E-Commerce Engineer,Medley,FL,50336.0,H-1B
FY2025Q3,"Lime Valley Advertising, Inc.",LIME VALLEY ADVERTISING,15-1255,Web and Digital Interface Designers,Web Designer,Mankato,MN,54000.0,H-1B
FY2025Q3,Traini Inc.,TRAINI,15-1255,Web and Digital Interface Designers,Junior Designer,Sacramento,CA,60320.0,H-1B
FY2025Q3,ROBOTICS TECHNOLOGIES LLC,ROBOTICS TECHNOLOGIES,15-1255,Web and Digital Interface Designers,SENIOR PRODUCT DESIGNER,HURST,TX,60000.0,H-1B
FY2025Q3,"CANVAS INFOTECH, INC.",CANVAS INFOTECH,15-1255,Web and Digital Interface Designers,Product Designer,Fremont,CA,91894.4,H-1B
FY2025Q3,DEMETER MILLWORK LLC,DEMETER MILLWORK,27-1021,Commercial and Industrial Designers,MILLWORK ENGINEERING DRAFTSPERSON,CHICAGO,IL,51542.0,H-1B
FY2025Q3,"American Technology Consulting, LLC",AMERICAN TECHNOLOGY CONSULTING,15-1255,Web and Digital Interface Designers,UX Designer,West Des Moines,IA,60000.0,H-1B
FY2025Q3,"Gatorwraps, Inc.",GATORWRAPS,15-1255,Web and Digital Interface Designers,Web and Digital Interface Designer,Ontario,CA,50190.0,H-1B
FY2025Q3,"First Fun, Inc.",FIRST FUN,15-1255,Video Game Designers,Game Developer,San Jose,CA,114462.0,H-1B
FY2025Q3,"unPLUG Dining, Inc.",UNPLUG DINING,15-1255,Web and Digital Interface Designers,Full Stack Engineer,New York City,NY,73382.0,H-1B
FY2025Q3,The Skyscraper Museum,SKYSCRAPER MUSEUM,27-1024,Graphic Designers,Graphic Designer,New York,NY,51542.4,H-1B
FY2025Q3,Madwell LLC,MADWELL,27-1024,Graphic Designers,Graphic Designer,Brooklyn,NY,62400.0,H-1B
FY2025Q3,CLEAR LASER SKIN CLINIC LLC,CLEAR LASER SKIN CLINIC,27-1024,Graphic Designers,Graphic Designer,FORT LEE,NJ,51542.0,H-1B
