employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
ERNST YOUNG U S LLP,Ernst & Young U.S. LLP,62,2,FY2025Q4; FY2026Q1,yes,13-2011,Accountants and Auditors,CA; CT; FL; GA; IL; MA; MN; NJ; NY; OK; TX; VA,Astoria; Atlanta; Boston; Chicago; Eden Praire; Emeryville; Fairfax; Hoboken; Houston; Jacksonville; Jersey City; Long Island City; Malden; McLean; Minneapolis; Minnetonka; New York; North Bergen; Northbrook; Parsippany; Plano; Pleasanton; Richmond; San Diego; San Francisco; San Jose; Santa Clara; Savannah; Secaucus; Stamford; Tulsa; White Plains,61308.0,90062.0,100225.0
STANDISH MANAGEMENT US,"Standish Management US, LLC",16,2,FY2025Q4; FY2026Q1,yes,13-2011,Accountants and Auditors,CA; MA; NY; OR; UT,Boston; Lehi; Los Angeles; New York; Portland; San Francisco; Walnut Creek; Woodland Hills,75500.0,88500.0,130000.0
DELOITTE TAX LLP,Deloitte Tax LLP,8,2,FY2025Q4; FY2026Q1,yes,13-2011,Accountants and Auditors,CA; MI; NJ; OH; TX; WA,Detroit; Houston; Morristown; Rosenberg; San Francisco; Seattle; Toledo,58136.0,74662.0,104160.0
CHAN CHEN LLP,Chan & Chen LLP,2,2,FY2025Q4; FY2026Q1,yes,13-2011,Accountants and Auditors,CA,San Marino,64917.0,64917.0,64917.0
GOLDEN EAGLE CPAS,"Golden Eagle CPAs, LLC",2,2,FY2025Q4; FY2026Q1,yes,13-2011,Accountants and Auditors,NJ,Bedminster,80000.0,80000.0,80000.0
TZG ACCOUNTING,TZG Accounting LLC,2,2,FY2025Q4; FY2026Q1,yes,13-2011,Accountants and Auditors,NY,Flushing; NEW YORK,73070.0,73070.0,73070.0
NIAGARA MACHINE,"Niagara Machine, Inc",5,1,FY2025Q4,no,13-2011,Accountants and Auditors,NC,Charlotte,60029.0,66500.0,66500.0
ANCHIN BLOCK AND ANCHIN LLP,"Anchin, Block and Anchin LLP",3,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,New York,83200.0,83200.0,83200.0
ASCEND ACCOUNTING TAX ADVISORS,Ascend Accounting & Tax Advisors LLC,3,1,FY2026Q1,no,13-2011,Accountants and Auditors,GA,Atlanta,56326.0,56326.0,56326.0
BAKER TILLY ADVISORY GROUP LP,"Baker Tilly Advisory Group, LP",3,1,FY2025Q4,no,13-2011,Accountants and Auditors,AZ; CA; GA,Peachtree Corners; Santa Clara; Tempe,60650.0,61960.0,98050.0
HANWHA Q CELLS GEORGIA,"Hanwha Q Cells Georgia, Inc.",3,1,FY2026Q1,no,13-2011,Accountants and Auditors,GA,White,63000.0,70000.0,70000.0
MENUSIFU,"MENUSIFU, INC.",3,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA; NY,Mountain View; New York County,73070.0,81182.0,81182.0
NEPTUNE MEDICAL,"Neptune Medical, Inc.",3,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,Burlingame,77000.0,77000.0,77000.0
SAI CPA SERVICES,SAI CPA SERVICES LLC,3,1,FY2025Q4,no,13-2011,Accountants and Auditors,NJ,East Brunswick,71136.0,73070.0,73070.0
WEI WEI CO LLP,"Wei, Wei & Co., LLP",3,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,Flushing,72800.0,72800.0,75046.0
AFEEL CORPORATION,Afeel Corporation,2,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Cypress,68401.0,68401.0,68401.0
CORE TECH CONSTRUCTION CORPORATION,CORE TECH CONSTRUCTION CORPORATION,2,1,FY2025Q4,no,13-2011,Accountants and Auditors,GU,TAMUNING,39600.0,39600.0,39600.0
DELOITTE TOUCHE LLP,Deloitte & Touche LLP,2,1,FY2026Q1,no,13-2011,Accountants and Auditors,UT,Salt Lake City,50752.0,61798.0,72844.0
EK FOOD SERVICES,"EK Food Services, Inc.",2,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Hayward,90000.0,90000.0,90000.0
ELECTRONIC INTERCONNECT CORPORATION,Electronic Interconnect Corporation,2,1,FY2026Q1,no,13-2011,Accountants and Auditors,TX,Victoria,54974.0,54974.0,54974.0
ESG EXCEPTIONAL EXPERIENCES,"ESG Exceptional Experiences, Inc.",2,1,FY2025Q4,no,13-2011,Accountants and Auditors,GA; OH,Amelia; Tyrone,65000.0,65000.0,65000.0
FCS AUTOMOTIVE INTERNATIONAL,FCS Automotive International Inc.,2,1,FY2025Q4,no,13-2011,Accountants and Auditors,GA,Suwanee,58240.0,60320.0,62400.0
FRIEDREICH S ATAXIA RESEARCH ALLIANCE FARA,Friedreich's Ataxia Research Alliance (FARA),2,1,FY2025Q4,no,13-2011,Accountants and Auditors,PA,Downingtown,61475.0,61488.0,61500.0
GOODMAN PICTURES,"GOODMAN PICTURES, LLC",2,1,FY2025Q4,no,13-2011,Accountants and Auditors,KY,Louisville,61547.0,66464.0,71381.0
HUAYU TAXPRO CONSULTING,Huayu TaxPro & Consulting LLC,2,1,FY2026Q1,no,13-2011,Accountants and Auditors,WA,Kirkland; Kirland,73112.0,73112.0,73112.0
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD NEW YORK BRANCH,Industrial and Commercial Bank of China Ltd New York Branch,2,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,New York,85000.0,87500.0,90000.0
MD ASSOCIATES LLP,"MD & ASSOCIATES, LLP",2,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Houston,60029.0,60029.0,60029.0
PAXEL CONSULTING,Paxel Consulting LLC,2,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Plano,55598.0,58000.0,60403.0
PENNSYLVANIA CONFERENCE OF SEVENTH DAY ADVENTISTS,Pennsylvania Conference of Seventh-day Adventists,2,1,FY2025Q4,no,13-2011,Accountants and Auditors,PA,Hamburg,64224.0,66935.0,69646.0
