employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
AMERICAN GENERAL LIFE INSURANCE COMPANY,American General Life Insurance Company,3,2,FY2025Q4; FY2026Q1,yes,15-2011,Actuaries,NJ; TX,Houston; Jersey City,80300,92500,119200
OLIVER WYMAN ACTUARIAL CONSULTING,"Oliver Wyman Actuarial Consulting, Inc",3,2,FY2025Q4; FY2026Q1,yes,15-2011,Actuaries,IL; NY,Chicago; New York,90000,100000,100000
AON CONSULTING,"Aon Consulting, Inc.",2,2,FY2025Q4; FY2026Q1,yes,15-2011,Actuaries,MA; PA,Boston; Philadelphia,114100,122150,130200
NATIONAL UNION FIRE INSURANCE COMPANY OF PITTSBURGH PA,"National Union Fire Insurance Company of Pittsburgh, Pa.",2,2,FY2025Q4; FY2026Q1,yes,15-2011,Actuaries,IL; NJ,Chicago; Jersey City,87152,88951,90750
THE PRUDENTIAL INSURANCE COMPANY OF AMERICA,The Prudential Insurance Company of America,2,1,FY2025Q4,no,15-2011,Actuaries,NJ,Newark,121600,122450,123300
AMERICAN NATIONAL GROUP SERVICES,American National Group Services LLC,1,1,FY2025Q4,no,15-2011,Actuaries,TX,League City,100000,100000,100000
MERCER HEALTH BENEFITS,Mercer Health & Benefits LLC,1,1,FY2025Q4,no,15-2011,Actuaries,CA,San Francisco,102000,102000,102000
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company,1,1,FY2025Q4,no,15-2011,Actuaries,TX,Austin,62691,62691,62691
PACIFICSOURCE,PacificSource,1,1,FY2026Q1,no,15-2011,Actuaries,ID,Boise,81500,81500,81500
RGA ENTERPRISE SERVICES COMPANY,RGA Enterprise Services Company,1,1,FY2025Q4,no,15-2011,Actuaries,CA,Irvine,91786,91786,91786
TRUPANION MANAGERS USA,"Trupanion Managers USA, Inc.",1,1,FY2025Q4,no,15-2011,Actuaries,MA,East Boston,90000,90000,90000
VIAC SERVICES COMPANY,VIAC SERVICES COMPANY,1,1,FY2025Q4,no,15-2011,Actuaries,PA,West Chester,115000,115000,115000
VOYA RETIREMENT INSURANCE AND ANNUITY COMPANY,VOYA RETIREMENT INSURANCE AND ANNUITY COMPANY,1,1,FY2025Q4,no,15-2011,Actuaries,GA,Atlanta,100250,100250,100250
VOYA SERVICES COMPANY,Voya Services Company,1,1,FY2025Q4,no,15-2011,Actuaries,SD,Vermillion,88700,88700,88700
