employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
WICHITA STATE UNIVERSITY,WICHITA STATE UNIVERSITY,4,2,FY2025Q4; FY2026Q1,yes,17-2011,Aerospace Engineers,KS,Wichita,76523,87745,94890
UNIVERSITY OF COLORADO,University of Colorado,2,2,FY2025Q4; FY2026Q1,yes,17-2011,Aerospace Engineers,CO,Boulder,74500,76250,78000
SIA ENGINERING USA,SIA ENGINERING (USA) INC,2,1,FY2026Q1,no,17-2011,Aerospace Engineers,CA,SAN FRANCISCO,119000,119500,120000
AEROMECH INCORPORATED,AEROMECH INCORPORATED,1,1,FY2025Q4,no,17-2011,Aerospace Engineers,WA,Mukilteo,130000,130000,130000
AEROSPACE TESTING ENGINEERING AND CERTIFICATION,"Aerospace Testing, Engineering and Certification, Inc.",1,1,FY2026Q1,no,17-2011,Aerospace Engineers,WA,Seattle,124965,124965,124965
CORGAN ASSOCIATES,"Corgan Associates, Inc.",1,1,FY2025Q4,no,17-2011,Aerospace Engineers,TX,Dallas,92498,92498,92498
FLIGHT CHECK COMMERCIAL AVIATION SERVICES,"Flight Check Commercial Aviation Services, LLC",1,1,FY2025Q4,no,17-2011,Aerospace Engineers,IL,Chicago,91520,91520,91520
GULFSTREAM AEROSPACE CORPORATION,Gulfstream Aerospace Corporation,1,1,FY2025Q4,no,17-2011,Aerospace Engineers,GA,Savannah,115732,115732,115732
INVISION GLOBAL TECH,Invision Global Tech. Inc,1,1,FY2025Q4,no,17-2011,Aerospace Engineers,TX,Richardson,97000,97000,97000
JOBY AERO,"Joby Aero, Inc.",1,1,FY2025Q4,no,17-2011,Aerospace Engineers,CA,San Carlos,117146,117146,117146
MISSISSIPPI STATE UNIVERSITY,Mississippi State University,1,1,FY2025Q4,no,17-2011,Aerospace Engineers,MS,Starkville,82500,82500,82500
QUICK TURN ENGINE CENTER,"Quick Turn Engine Center, LLC",1,1,FY2026Q1,no,17-2011,Aerospace Engineers,FL,Miami,87069,87069,87069
SKYDIO,"Skydio, Inc.",1,1,FY2026Q1,no,17-2011,Aerospace Engineers,CA,San Mateo,128000,128000,128000
SURVIVAL PRODUCTS,Survival Products LLC,1,1,FY2026Q1,no,17-2011,Aerospace Engineers,FL,Sunrise,110000,110000,110000
THE LELAND STANFORD JR UNIVERSITY,"The Leland Stanford, Jr University",1,1,FY2025Q4,no,17-2011,Aerospace Engineers,CA,Stanford,80000,80000,80000
THE UNIVERSITY OF TEXAS AT AUSTIN,The University of Texas at Austin,1,1,FY2025Q4,no,17-2011,Aerospace Engineers,TX,Austin,76000,76000,76000
TRIAD NATIONAL SECURITY,"Triad National Security, LLC",1,1,FY2025Q4,no,17-2011,Aerospace Engineers,MI,Ann Arbor,101404,101404,101404
TUCANA ENGINEERING,"Tucana Engineering, LLC",1,1,FY2026Q1,no,17-2011,Aerospace Engineers,TX,Fort Worth,100000,100000,100000
UNIVERSITY OF ILLINOIS,University of Illinois,1,1,FY2025Q4,no,17-2011,Aerospace Engineers,MA,Cambridge,70600,70600,70600
