employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
AMAZON COM SERVICES,Amazon.com Services LLC,21,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,CA; MA; NY; WA,Bellevue; Culver City; New York; North Reading; Palo Alto; SANTA CLARA; San Diego; San Francisco; Santa Clara; Seattle,127712,158000,209500
AMAZON DEVELOPMENT CENTER U S,"Amazon Development Center U.S., Inc.",8,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,CA; NY,NEW YORK; Pasadena; San Francisco; Santa Clara; Sunnyvale,140000,162338,187700
BROOKHAVEN NATIONAL LABORATORY,Brookhaven National Laboratory,5,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,NY,UPTON; Upton,95202,95944,119038
NVIDIA CORPORATION,NVIDIA Corporation,5,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,CA; IN; MA; TX,Austin; Santa Clara; West Lafayette; Westford,127712,147992,159182
W M RICE UNIVERSITY,W.M. RICE UNIVERSITY,4,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,TX,Houston,65998,78000,80000
MEMORIOUS,Memorious Inc.,3,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,CA,San Francisco,175000,178000,178000
THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,The University of Alabama in Huntsville,3,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,AL,Huntsville,98000,100000,110000
NORTHEASTERN UNIVERSITY,Northeastern University,2,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,MA,Boston,98509,98509,98509
PURDUE UNIVERSITY,Purdue University,2,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,IN,West Lafayette,47798,53399,59000
THE UNIVERSITY OF IOWA,The University of Iowa,2,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,IA,Iowa City,64356,64356,64356
UNIVERSITY OF PITTSBURGH,University of Pittsburgh,2,2,FY2025Q4; FY2026Q1,yes,15-1221,Computer and Information Research Scientists,PA,Pittsburgh,89296,92158,95019
