employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
PERKINS WILL,"Perkins & Will, Inc.",9,2,FY2025Q4; FY2026Q1,yes,17-1011,"Architects, Except Landscape and Naval",CA; GA; MA; TX,Atlanta; Boston; Dallas; San Francisco,65874,78333,79768
HELLMUTH OBATA KASSABAUM,"Hellmuth, Obata & Kassabaum, Inc.",6,2,FY2025Q4; FY2026Q1,yes,17-1011,"Architects, Except Landscape and Naval",CA; MO; NY,Kansas City; Los Angeles; New York; San Francisco,68994,90566,100000
ARCADIS,Arcadis Inc.,4,2,FY2025Q4; FY2026Q1,yes,17-1011,"Architects, Except Landscape and Naval",CA; MI,Los Angeles; Novi,70013,70886,71011
RIOS,Rios Inc.,4,2,FY2025Q4; FY2026Q1,yes,17-1011,"Architects, Except Landscape and Naval",CA; TX,Austin; Los Angeles,75005,79674,87547
SMITHGROUP INC SUBSIDIARY OF SMITHGROUP CO,"SmithGroup, Inc., subsidiary of SmithGroup Co., Inc.",4,2,FY2025Q4; FY2026Q1,yes,17-1011,"Architects, Except Landscape and Naval",CA; MI,Detroit; San Francisco,76000,94000,166400000
GOODWYN MILLS CAWOOD,"Goodwyn Mills Cawood, LLC",3,2,FY2025Q4; FY2026Q1,yes,17-1011,"Architects, Except Landscape and Naval",AL; GA,Atlanta; Birmingham,64200,85000,85000
POPULOUS GROUP,"Populous Group, LLC",3,2,FY2025Q4; FY2026Q1,yes,17-1011,"Architects, Except Landscape and Naval",CO; NY,Denver; New York,71781,71781,111300
PERKINS EASTMAN ARCHITECTS DPC,Perkins Eastman Architects DPC,2,2,FY2025Q4; FY2026Q1,yes,17-1011,"Architects, Except Landscape and Naval",CA,Los Angeles; San Francisco,69763,74766,79768
SASAKI ASSOCIATES,Sasaki Associates,2,2,FY2025Q4; FY2026Q1,yes,17-1011,"Architects, Except Landscape and Naval",MA,Boston,80000,80000,80000
SPARC PLUS,"Sparc Plus, LLC",2,2,FY2025Q4; FY2026Q1,yes,17-1011,"Architects, Except Landscape and Naval",TX,Galveston,62650,63725,64800
STV INCORPORATED,STV Incorporated,6,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",MA; MD; NY; PA,Boston; New York; Owings Mills; Philadelphia,61922,70241,78333
CORGAN ASSOCIATES,"Corgan Associates, Inc.",4,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",CA; TX,Culver City; Dallas; San Francisco,73154,83500,93987
CANNON DESIGN,"Cannon Design, Inc.",3,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",MO; NC,Charlotte; St. Louis,63294,77000,77480
KONING EIZENBERG ARCHITECTURE,Koning Eizenberg Architecture Inc.,3,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",CA,Santa Monica,83600,83600,89200
KTGY GROUP,"KTGY Group, Inc.",3,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",CA,Oakland,79768,79768,79768
ANDREA STEELE ARCHITECTURE PC,Andrea Steele Architecture PC,2,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",NY,New York,80000,82500,85000
B I G ARCHITECTURE D P C,B.I.G Architecture D.P.C.,2,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",NY,Brooklyn,76000,77250,78500
EMPORIUM DESIGN,Emporium Design LLC,2,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",NY,New York,68000,68000,68000
FREIHEIT ARCHITECTURE INC P S,"Freiheit Architecture, Inc. P.S.",2,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",WA,Bellevue,71365,71365,71365
JEFFREY MILLER ARCHITECTURE AND DESIGN CORPORATION,Jeffrey Miller Architecture and Design Corporation,2,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",AZ,Prescott,70000,70000,70000
SUPERSTRUCTURES ENGINEERING ARCHITECTURE PLLC,"Superstructures Engineering & Architecture, PLLC",2,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",NY,New York,80000,80000,80000
URBAN ARCHITECTURAL INITIATIVES RA P C,"Urban Architectural Initiatives, RA, P.C.",2,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",NY,New York,78000,84500,91000
A ZAHNER COMPANY,A. Zahner Company,1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",MO,Kansas City,75000,75000,75000
AE3 PARTNERS,AE3 Partners,1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",CA,Los Angeles,87500,87500,87500
AECOM TECHNICAL SERVICES,"AECOM Technical Services, Inc.",1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",CA,Los Angeles,90000,90000,90000
AODK,"AODK, Inc.",1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",OH,Lakewood,63000,63000,63000
AP I DESIGN,"AP & I Design, Inc.",1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",CA,Mountain View,102500,102500,102500
ARCADIS ARCHITECTS ENGINEERS AND LANDSCAPE ARCHITECTS A NEW YORK GENERAL PARTNERSHIP,"Arcadis Architects, Engineers and Landscape Architects, A New York General Partnership",1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",NY,New York,74630,74630,74630
ARCHEO DESIGN STUDIO,"Archeo Design Studio, Inc.",1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",IL,Chicago,80000,80000,80000
ARCHITECTS DESIGN GROUP ADG,"Architects Design Group / ADG, LLC",1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",FL,Winter Park,63500,63500,63500
ARRAY ARCHITECTS,"Array Architects, Inc.",1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",PA,Conshohocken,63000,63000,63000
ARTERBERRY COOKE ARCHITECTURE,Arterberry Cooke Architecture,1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",CA,Los Angeles,74485,74485,74485
ARUP ARCHITECTURE US,"Arup Architecture US, Inc.",1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",MA,Boston,102300,102300,102300
ATMOSPHERE DESIGN GROUP,"Atmosphere Design Group, LLC",1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",NY,Valhalla,80000,80000,80000
BERGMEYER ASSOCIATES,"Bergmeyer Associates, Inc.",1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",CA,Los Angeles,88000,88000,88000
BLACKBURN ARCHITECTS PC,"BLACKBURN ARCHITECTS, PC",1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",DC,Washington,90000,90000,90000
BONSTRA HERSIGN ARCHITECTS LLP,Bonstra Hersign Architects LLP,1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",DC,Washington,80000,80000,80000
BOUCHER DESIGN GROUP,"Boucher Design Group, LLC",1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",TX,Bellaire,69000,69000,69000
BOULDER ASSOCIATES,"Boulder Associates, Inc.",1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",CA,San Francisco,88000,88000,88000
BOULDER ASSOCIATES ARCHITECTS PC,Boulder Associates Architects PC,1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",CA,San Francisco,90563,90563,90563
BREAUX AND ASSOCIATES,BREAUX AND ASSOCIATES LLC,1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",GA,ALPHARETTA,65874,65874,65874
BREAUX AND ASSOCIATES ARCHITECTS,BREAUX AND ASSOCIATES ARCHITECTS LLC,1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",GA,ALPHARETTA,65874,65874,65874
BROWN REYNOLDS WATFORD ARCHITECTS,"Brown Reynolds Watford Architects, Inc.",1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",TX,"Dallas, TX",77000,77000,77000
BURO HAPPOLD CONSULTING ENGINEERS,"BURO HAPPOLD CONSULTING ENGINEERS, INC.",1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",CA,Los Angeles,87000,87000,87000
CHA CONSULTING,"CHA Consulting, Inc.",1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",MA,Boston,85395,85395,85395
CLARK BARNES PLLC,Clark Barnes PLLC,1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",WA,Seattle,71365,71365,71365
COOPER CARRY,"Cooper Carry, Inc.",1,1,FY2025Q4,no,17-1011,"Architects, Except Landscape and Naval",VA,Alexandria,72363,72363,72363
CORE TECH CONSTRUCTION CORPORATION,CORE TECH CONSTRUCTION CORPORATION,1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",GU,TAMUNING,68000,68000,68000
COTTON FONTANA ARCHITECTS,"Cotton Fontana Architects, Inc.",1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",CA,Glendale,85000,85000,85000
DAHLIN GROUP,"Dahlin Group, Inc.",1,1,FY2026Q1,no,17-1011,"Architects, Except Landscape and Naval",CA,Pleasanton,92747,92747,92747
