employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
GEORGETOWN UNIVERSITY,Georgetown University,2,2,FY2025Q4; FY2026Q1,yes,13-2031,Budget Analysts,DC; FL,Tamarac; Washington,66227,73114,80000
T MARKET,T Market LLC,2,2,FY2025Q4; FY2026Q1,yes,13-2031,Budget Analysts,MA,Natick,80000,80000,80000
MICROSOFT CORPORATION,Microsoft Corporation,2,1,FY2026Q1,no,13-2031,Budget Analysts,WA,Redmond,91500,95970,100440
SOUTH ARKANSAS CARDIOLOGY PLLC,SOUTH ARKANSAS CARDIOLOGY PLLC,2,1,FY2025Q4,no,13-2031,Budget Analysts,AR,HENSLEY,98200,98200,98200
WESTUDY EDUCATION,Westudy Education Inc,2,1,FY2026Q1,no,13-2031,Budget Analysts,CA,Irvine,74526,74526,74526
YT LIFE INVESTMENT,YT Life Investment LLC,2,1,FY2025Q4,no,13-2031,Budget Analysts,CA,Ontario,96000,96000,96000
13 SCENTS,13 Scents Inc.,1,1,FY2026Q1,no,13-2031,Budget Analysts,NY,New York,100000,100000,100000
71SCM,71SCM LLC,1,1,FY2025Q4,no,13-2031,Budget Analysts,NJ,Jersey City,70200,70200,70200
ACCORD POWER,Accord Power Inc,1,1,FY2025Q4,no,13-2031,Budget Analysts,NJ,Someset,75999,75999,75999
ADVANCED DENTAL SMILES PC,Advanced Dental Smiles PC,1,1,FY2026Q1,no,13-2031,Budget Analysts,PA,Warminster,85000,85000,85000
BALL STATE UNIVERSITY,Ball State University,1,1,FY2026Q1,no,13-2031,Budget Analysts,IN,Muncie,50000,50000,50000
BISONTE INDUSTRIAL USA,Bisonte Industrial USA LLC,1,1,FY2026Q1,no,13-2031,Budget Analysts,MD,Baltimore,67000,67000,67000
BUDDHIST TZU CHI FOUNDATION,Buddhist Tzu Chi Foundation,1,1,FY2026Q1,no,13-2031,Budget Analysts,CA,San Dimas,74526,74526,74526
DKS STEEL DOOR AND FRAME SYSTEMS,DKS STEEL DOOR AND FRAME SYSTEMS INC.,1,1,FY2025Q4,no,13-2031,Budget Analysts,CA,COMMERCE,74526,74526,74526
EKAM HOSPITALITY,"Ekam Hospitality, LLC",1,1,FY2026Q1,no,13-2031,Budget Analysts,PA,Bensalem,70200,70200,70200
ENSON MARKET,ENSON MARKET INC.,1,1,FY2026Q1,no,13-2031,Budget Analysts,FL,ORLANDO,50981,50981,50981
FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS,Friends of Crown Heights Educational Centers INC,1,1,FY2025Q4,no,13-2031,Budget Analysts,NY,brooklyn,70200,70200,70200
FUELED DIGITAL MEDIA,Fueled Digital Media LLC,1,1,FY2025Q4,no,13-2031,Budget Analysts,NJ,Jersey City,82500,82500,82500
HANON SYSTEMS ALABAMA CORPORATION,Hanon Systems Alabama Corporation,1,1,FY2025Q4,no,13-2031,Budget Analysts,GA,Statesboro,70000,70000,70000
IVY ELITE,Ivy Elite Inc.,1,1,FY2026Q1,no,13-2031,Budget Analysts,NY,New York,76000,76000,76000
KENNEY AND EVEREST REAL ESTATE,"Kenney and Everest Real Estate, Inc.",1,1,FY2026Q1,no,13-2031,Budget Analysts,CA,San Francisco,86000,86000,86000
MARTIN MARIETTA MATERIALS,"Martin Marietta Materials, Inc.",1,1,FY2025Q4,no,13-2031,Budget Analysts,NC,Raleigh,80896,80896,80896
NEW BEGINNINGS CREATOR NETWORK,New Beginnings Creator Network Corp.,1,1,FY2025Q4,no,13-2031,Budget Analysts,CA,GLENDALE,81120,81120,81120
NEWTON PUBLIC SCHOOLS,Newton Public Schools,1,1,FY2025Q4,no,13-2031,Budget Analysts,MA,Newton,82000,82000,82000
OEC FREIGHT NY,OEC FREIGHT (NY) INC.,1,1,FY2025Q4,no,13-2031,Budget Analysts,MO,KANSAS CITY,67080,67080,67080
ROOSEVELT UNIVERSITY,Roosevelt University,1,1,FY2025Q4,no,13-2031,Budget Analysts,IL,Chicago,69618,69618,69618
SKYLINE CABINETRY,Skyline Cabinetry Inc,1,1,FY2025Q4,no,13-2031,Budget Analysts,TX,Farmers Branch,72779,72779,72779
THE STATE HISTORICAL SOCIETY OF COLORADO,The State Historical Society of Colorado,1,1,FY2025Q4,no,13-2031,Budget Analysts,CO,Denver,69992,69992,69992
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,1,1,FY2025Q4,no,13-2031,Budget Analysts,PA,Philadelphia,70500,70500,70500
VENICE INVESTMENTS A CA GENERAL PARTNERSHIP,VENICE INVESTMENTS A CA GENERAL PARTNERSHIP,1,1,FY2025Q4,no,13-2031,Budget Analysts,CA,LOS ANGELES,74526,74526,74526
VIRGINIA COMMONWEALTH UNIVERSITY,Virginia Commonwealth University,1,1,FY2025Q4,no,13-2031,Budget Analysts,VA,Richmond,62000,62000,62000
VRG ONE,VRG ONE LLC,1,1,FY2025Q4,no,13-2031,Budget Analysts,NJ,East Rutherford,85000,85000,85000
WEEE,Weee! Inc.,1,1,FY2025Q4,no,13-2031,Budget Analysts,CA,FREMONT,84802,84802,84802
WESTERN KENTUCKY UNIVERSITY,Western Kentucky University,1,1,FY2025Q4,no,13-2031,Budget Analysts,KY,Bowling Green,54060,54060,54060
