employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
GOFO,"GOFO, Inc.",3,2,FY2025Q4; FY2026Q1,yes,13-1199,"Business Operations Specialists, All Other",IN; NC; NJ,Carteret; Charlotte; Indianapolis,49920,51854,58302
INDUSTRIAL AND COMMERCIAL BANK OF CHINA USA N A,Industrial and Commercial Bank of China (USA) N.A.,2,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",NY,New York,76000,76000,76000
AXON US,Axon US Corp,1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",NY,New York,58302,58302,58302
BLUESKY ENERGY,Bluesky Energy LLC,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",CA,Signal hill,55000,55000,55000
BODUO INTERNATIONAL TRADE,BODUO INTERNATIONAL TRADE LLC,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",NY,FARMINGDALE,58302,58302,58302
BREVARD TRADING GROUP,Brevard Trading Group Inc,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",FL,Melbourne,660000,660000,660000
CENTER FOR THE STUDY OF SERVICES,Center for the Study of Services,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",DC,Washington,67167,67167,67167
CLOSE THE LOOP,"Close the Loop, Inc.",1,1,FY2025Q4,no,13-1199,Sustainability Specialists,KY,Hebron,47757,47757,47757
COLORADO GOLF ASSOCIATION,Colorado Golf Association,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",CO,Greenwood Village,71750,71750,71750
DABBLE SPORTS,"Dabble Sports, LLC",1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",CO,Denver,75620,75620,75620
ENERGY MANAGEMENT CONSULTING CONSTRUCTION,Energy Management Consulting & Construction LLC,1,1,FY2026Q1,no,13-1199,Sustainability Specialists,HI,Honolulu,58469,58469,58469
EVERGREEN AMUSEMENT,EVERGREEN AMUSEMENT LLC,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",GA,NORCROSS,47000,47000,47000
FIND SOLACE,"Find Solace, Inc.",1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",CA,Redwood City,80000,80000,80000
FINEQUITY,finEquity inc.,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",NY,brooklyn,62000,62000,62000
FYNRO DESIGN STUDIO,Fynro Design Studio Inc.,1,1,FY2026Q1,no,13-1199,Sustainability Specialists,CA,Long Beach,50128,50128,50128
GRIZZLY NEW MARKETING,Grizzly New Marketing Inc.,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",NY,New York,65000,65000,65000
HOBBS STRAUS DEAN WALKER LLP,"HOBBS STRAUS DEAN & WALKER, LLP",1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",CA,Sacramento,72000,72000,72000
ICF RESOURCES,"ICF Resources, LLC",1,1,FY2026Q1,no,13-1199,Sustainability Specialists,TX,Dallas,80000,80000,80000
INNOVERA,INNOVERA,1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",CO,Denver,62067,62067,62067
ISRAEL CANCER RESEARCH FUND,"Israel Cancer Research Fund, Inc",1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",NY,New York,74000,74000,74000
ITACON CONTRIVE CONSTRUCTION,ITACON CONTRIVE CONSTRUCTION LLC,1,1,FY2025Q4,no,13-1199,Business Continuity Planners,FL,KISSIMMEE,60000,60000,60000
KOVE WILLIAMSBURG,"KOVE WILLIAMSBURG, LLC",1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",NY,Brooklyn,70000,70000,70000
KRL INTERNATIONAL,KRL International LLC,1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",DC,Washington,77012,77012,77012
LAB INFORMATION TECHNOLOGY INCORPORATED,LAB Information Technology Incorporated,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",TX,Pearland,51000,51000,51000
LAUNCHLINK COMMUNICATIONS,LaunchLink Communications,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",CA,San Francisco,60778,60778,60778
MA LABORATORIES,"MA LABORATORIES, INC.",1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",CA,San Jose,65250,65250,65250
MALAMALAMA FARM AND CENTER,MALAMALAMA FARM AND CENTER,1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",HI,MAUI,52000,52000,52000
MAPLE AI,"Maple AI, Inc.",1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",NY,New York,60000,60000,60000
MAPLEBEAR,Maplebear Inc.,1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",NY,New York,59280,59280,59280
MAYA AGARSEN GLOBAL,Maya Agarsen Global LLC,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",TX,Houston,52000,52000,52000
MULTISER VERSAILLES,"MULTISER VERSAILLES, INC.",1,1,FY2025Q4,no,13-1199,Business Continuity Planners,FL,Miami,50000,50000,50000
MY MOVEMENT PHYSICAL THERAPY P C,My Movement Physical Therapy P.C.,1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",NY,Brooklyn,58302,58302,58302
