employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
EMORY UNIVERSITY,Emory University,6,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,GA,Atlanta,62652,66042,72960
UCHICAGO ARGONNE,"UChicago Argonne, LLC",5,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,IL,Lemont,70758,70758,70758
UNIVERSITY OF CHICAGO,University of Chicago,5,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,IL,Chicago,65520,66000,78000
BRIO PHARMACEUTICALS,Brio Pharmaceuticals Inc,4,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,TX,Houston,74672,74672,74672
NORTHWESTERN UNIVERSITY,Northwestern University,4,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,IL,Evanston,65520,66884,75000
THE TRUSTEES OF PRINCETON UNIVERSITY,The Trustees of Princeton University,4,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,NJ,Princeton,65000,65000,65000
BATTELLE MEMORIAL INSTITUTE,Battelle Memorial Institute,3,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,WA,Richland; Seattle,61152,90235,90730
TEXAS A M UNIVERSITY,Texas A&M University,3,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,TX,College Station,56160,58000,61812
THE OHIO STATE UNIVERSITY,The Ohio State University,3,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,OH,Columbus,61008,61008,62838
UNIVERSITY OF MICHIGAN,University of Michigan,3,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,MI,Ann Arbor,62800,70000,85000
JOHNS HOPKINS UNIVERSITY,Johns Hopkins University,2,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,MD,Baltimore,68599,70780,72960
LELAND STANFORD JR UNIV SLAC NATIONAL ACCELERATOR LAB,Leland Stanford Jr. Univ/SLAC National Accelerator Lab,2,2,FY2025Q4; FY2026Q1,yes,19-2031,Chemists,CA,Menlo Park,83075,86538,90000
