employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
CORE TECH CONSTRUCTION CORPORATION,CORE TECH CONSTRUCTION CORPORATION,21,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,GU,TAMUNING,48443,57000,124800000
LANGAN ENGINEERING AND ENVIRONMENTAL SERVICES,"Langan Engineering and Environmental Services, LLC",11,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,FL; NY; OH; PA; TN; TX; UT,Austin; Cannonsburg; Cleveland; Fort Lauderdale; Houston; Miami; Nashville; New York; Salt Lake City; Tampa,68000,71000,79000
AMAZON DATA SERVICES,"Amazon Data Services, Inc",8,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,IN; NV; OR; VA; WA,Boardman; Herndon; Seattle; South Bend; Sparks,85800,135000,140000
JACOBS ENGINEERING GROUP,"Jacobs Engineering Group, Inc.",8,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,AZ; DC; NC; NV; OH; TX; VA; WI,"Austin; CHARLOTTE; CINCINNATI; MILWAUKEE; Manassas; Reno; Tempe; WASHINGTON, DC",75000,88947,106971
STANTEC CONSULTING SERVICES,Stantec Consulting Services Inc.,7,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers; Transportation Engineers; Water/Wastewater Engineers,CA; NY; SC; TX; WA,Albany; Austin; Bellevue; North Charleston; Plano; San Francisco; Walnut Creek,75317,85010,103189
ARCADIS U S,"Arcadis U.S., Inc.",6,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers; Transportation Engineers; Water/Wastewater Engineers,CA; FL; NY; OH; PA,Atlanta; Jacksonville; New York; San Diego; Sewickley,80018,86143,91270
BLACK CONSTRUCTION CORPORATION,Black Construction Corporation,6,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,GU,Harmon,53622,53911,60000
DPR CONSTRUCTION A GENERAL PARTNERSHIP,"DPR Construction, A General Partnership",5,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,CA; LA; NC; TX,Burlington; Durham; Monroe; Redwood City,65728,87568,92934
CLAYCO,"Clayco, Inc.",4,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,AZ; TX,Afton; Phoenix,73000,84500,87000
MOSS ASSOCIATES,"Moss & Associates, LLC",4,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,MS; TX,Avoca; Hollandale; Rosebud,70000,70500,71000
ARDURRA GROUP,"Ardurra Group, Inc.",3,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers; Transportation Engineers,AZ; FL; ID,Coral Springs; Meridian; Phoenix,76000,85995,88200
BOWMAN CONSULTING GROUP,"Bowman Consulting Group, Ltd.",3,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers; Transportation Engineers,AZ; NJ; PA,Hoboken; Mesa; Pittsburgh,80725,81576,85825
CIVIL ENVIRONMENTAL CONSULTANTS,"Civil & Environmental Consultants, Inc.",3,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,CA; IN; PA,Fort Washington; Gold River; Indianapolis,70000,72000,90000
KIEWIT POWER CONSTRUCTORS CO,Kiewit Power Constructors Co.,3,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,IN; KS; NE,Cayuga; Lenexa; Plattsmouth,89661,96028,125000
KUNJ CONSTRUCTION CORPORATION,Kunj Construction Corporation,3,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,NJ,Northvale,90000,90000,91500
NAN,Nan Inc,3,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,GU,BARRIGADA,55000,60000,63000
RRC POWER AND ENERGY,"RRC Power and Energy, LLC",3,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,TX,Round Rock,70000,79181,114000
BAKER CONCRETE CONSTRUCTION,"Baker Concrete Construction, Inc.",2,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,FL; NY,Albany; Fort Lauderdale,73823,76926,80028
BLACK MICRO CORPORATION,Black Micro Corporation,2,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,MP,Tinian,54000,57000,60000
GZA GEOENVIRONMENTAL,"GZA GeoEnvironmental, Inc.",2,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,MA,Norwood,92040,94526,97011
JACOBS CIVIL CONSULTANTS,"Jacobs Civil Consultants, Inc.",2,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,NY,NEW YORK CITY; New York,88000,89000,90000
KIEWIT INFRASTRUCTURE CO,Kiewit Infrastructure Co.,2,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,MD; NE,Baltimore; Omaha,85020,96330,107640
MAGNUSSON KLEMENCIC ASSOCIATES,"Magnusson Klemencic Associates, Inc.",2,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,WA,Seattle,90000,91500,93000
MOTT MACDONALD GROUP,Mott MacDonald Group Inc.,2,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,CO; OR,Denver; Portland,83554,83814,84074
SUMITOMO MITSUI CONSTRUCTION CO,"SUMITOMO MITSUI CONSTRUCTION CO., LTD.",2,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,GU,Harmon,53622,53622,53622
THE INDUSTRIAL COMPANY,The Industrial Company,2,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,TX,Abilene; Westlake,80000,85603,91205
WEBBER WATERWORKS,"Webber Waterworks, LLC",2,2,FY2025Q4; FY2026Q1,yes,17-2051,Civil Engineers,TX,Austin; The Woodlands,93000,94500,96000
STV INCORPORATED,STV Incorporated,7,1,FY2026Q1,no,17-2051,Civil Engineers,IL; MA; NC; NY; PA; TX,Boston; Chicago; Dallas; Houston; New York; Philadelphia; Raleigh,65728,73382,87500
AMAZON WEB SERVICES,"Amazon Web Services, Inc.",4,1,FY2025Q4,no,17-2051,Civil Engineers,MS; OH; VA,Herndon; Plain City; RIDGELAND,106240,116220,131000
EAST COAST METAL STRUCTURES,East Coast Metal Structures Corp,4,1,FY2025Q4,no,17-2051,Civil Engineers,FL,Lantana,65000,65000,65000
AECOM TECHNICAL SERVICES,"AECOM Technical Services, Inc.",3,1,FY2026Q1,no,17-2051,Civil Engineers,OH; PA,Akron; Conshohocken; Philadelphia,75443,82014,90418
F H PASCHEN S N NIELSEN ASSOCIATES,"F.H. Paschen, S.N. Nielsen & Associates LLC",3,1,FY2026Q1,no,17-2051,Civil Engineers,FL; MI,Detroit; Tampa,75000,75000,80000
HDR ENGINEERING,"HDR Engineering, Inc.",3,1,FY2026Q1,no,17-2051,Civil Engineers; Water/Wastewater Engineers,NV; TN; WA,Bellevue; Brentwood; Las Vegas,78000,89024,91270
SAMSUNG E C AMERICA,"Samsung E&C America, Inc.",3,1,FY2025Q4,no,17-2051,Civil Engineers,GU,Harmon,53622,53622,53622
TERRACON CONSULTANTS,"Terracon Consultants, Inc.",3,1,FY2025Q4,no,17-2051,Civil Engineers,PA; TX,Blue Bell; Conroe; Dallas,80000,86000,90000
WSP USA,WSP USA Inc.,3,1,FY2025Q4,no,17-2051,Civil Engineers; Water/Wastewater Engineers,CA; MA,Boston; San Francisco,86008,92934,92934
AB CONSULTING ENGINEERS,"AB Consulting Engineers, Inc.",2,1,FY2025Q4,no,17-2051,Civil Engineers,FL,Orlando,68786,68786,68786
