employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
COMCAST CABLE COMMUNICATIONS,"Comcast Cable Communications, LLC",3,2,FY2025Q4; FY2026Q1,yes,15-1241,Computer Network Architects,NJ; NY,Brooklyn; Mount Laurel; Mt. Laurel,88816,88816,103938
AMAZON DATA SERVICES,"Amazon Data Services, Inc",2,2,FY2025Q4; FY2026Q1,yes,15-1241,Computer Network Architects,WA,Seattle,112382,133691,155000
JUNIPER NETWORKS US,"Juniper Networks (US), Inc.",4,1,FY2025Q4,no,15-1241,Computer Network Architects,CA; MA; TX,McKinney; Sunnyvale; Westford,93309,110500,121846
SMART INFO SOLUTIONS,SMART INFO SOLUTIONS LLC,3,1,FY2026Q1,no,15-1241,Computer Network Architects,NY,JAMAICA,104550,104550,104550
TELEGUAM HOLDINGS,TELEGUAM HOLDINGS LLC,3,1,FY2025Q4,no,15-1241,Computer Network Architects,GU,Tamuning,87526,87526,87526
ARM,"Arm, Inc.",2,1,FY2026Q1,no,15-1241,Computer Network Architects,CA,San Jose,121846,121846,121846
DATASTACK TECHNOLOGIES,DataStack Technologies LLC,2,1,FY2025Q4,no,15-1241,Computer Network Architects,NC; TX,Charlotte; Plano,93309,93631,93954
INSIGHT DIRECT USA,"Insight Direct USA, Inc.",2,1,FY2026Q1,no,15-1241,Computer Network Architects,AZ; TX,Austin; Chandler,108000,110000,112000
ONLY IT CONSULTING,ONLY IT CONSULTING LLC,2,1,FY2025Q4,no,15-1241,Computer Network Architects,IL; PA,PITTSBURGH; WARRENVILLE,97074,98249,99424
TECH RAKERS,"Tech Rakers, Inc.",2,1,FY2025Q4,no,15-1241,Computer Network Architects,TX,Austin,96200,96200,96200
U S ELECTRONICS,"U.S. ELECTRONICS, INC.",2,1,FY2025Q4,no,15-1241,Computer Network Architects,TX,SAN ANTONIO; San Antonio,80787,80787,80787
3D TECHNOLOGIES,3D TECHNOLOGIES LLC,1,1,FY2025Q4,no,15-1241,Computer Network Architects,CA,ROSEMEAD,96262,96262,96262
A10 NETWORKS,"A10 Networks, Inc.",1,1,FY2025Q4,no,15-1241,Computer Network Architects,NC,Cary,80454,80454,80454
AMAZON DEVELOPMENT CENTER U S,"Amazon Development Center U.S., Inc.",1,1,FY2025Q4,no,15-1241,Computer Network Architects,CA,Mountain View,131300,131300,131300
ARTIFINT TECHNOLOGIES,ARTIFINT TECHNOLOGIES LLC,1,1,FY2025Q4,no,15-1241,Computer Network Architects,GA,ALPHARETTA,96054,96054,96054
ATEK IT,Atek IT Inc,1,1,FY2026Q1,no,15-1241,Computer Network Architects,NY,Albany,81000,81000,81000
AXIUM PACKAGING,"Axium Packaging, LLC",1,1,FY2025Q4,no,15-1241,Computer Network Architects,IL,Bartlett,101000,101000,101000
CENTRALSQUARE TECHNOLOGIES,"CentralSquare Technologies, LLC",1,1,FY2026Q1,no,15-1241,Computer Network Architects,SD,Sioux Falls,110531,110531,110531
CHARTER COMMUNICATIONS,"Charter Communications, Inc.",1,1,FY2025Q4,no,15-1241,Computer Network Architects,CO,Greenwood Village,110660,110660,110660
CITIZENS FINANCIAL GROUP,"Citizens Financial Group, Inc.",1,1,FY2025Q4,no,15-1241,Computer Network Architects,RI,Johnston,77600,77600,77600
DISH WIRELESS,"DISH Wireless, LLC",1,1,FY2025Q4,no,15-1241,Computer Network Architects,CO,Englewood,96250,96250,96250
EXOSTAR,Exostar LLC,1,1,FY2025Q4,no,15-1241,Computer Network Architects,NJ,Dayton,139600,139600,139600
GRID DYNAMICS HOLDINGS,"GRID DYNAMICS HOLDINGS, INC.",1,1,FY2025Q4,no,15-1241,Computer Network Architects,CA,Santa Clara,121846,121846,121846
H TOWN TECHNOLOGIES,H-TOWN TECHNOLOGIES INC,1,1,FY2025Q4,no,15-1241,Computer Network Architects,CA,San Jose,121846,121846,121846
HERMITAGE INFO TECH,"HERMITAGE INFO TECH, LLC.",1,1,FY2025Q4,no,15-1241,Computer Network Architects,TX,DALLAS,93309,93309,93309
HUGHES NETWORK SYSTEMS,Hughes Network Systems LLC,1,1,FY2025Q4,no,15-1241,Computer Network Architects,MD,Germantown,122757,122757,122757
INTUNE SYSTEMS,INTUNE SYSTEMS INC,1,1,FY2025Q4,no,15-1241,Computer Network Architects,NY,Brooklyn,103938,103938,103938
JAD ASSOCIATES,JAD & Associates LLC,1,1,FY2026Q1,no,15-1241,Telecommunications Engineering Specialists,CA,Anaheim,96262,96262,96262
LIFESHARE NETWORK,"LifeShare Network, Inc.",1,1,FY2026Q1,no,15-1241,Computer Network Architects,OK,Oklahoma City,93309,93309,93309
MICROSOFT CORPORATION,Microsoft Corporation,1,1,FY2026Q1,no,15-1241,Computer Network Architects,WA,BONNEY LAKE,141500,141500,141500
ML TECHNOLOGIES,ML TECHNOLOGIES LLC.,1,1,FY2025Q4,no,15-1241,Computer Network Architects,NJ,EDISON,103938,103938,103938
MOLABS MEDIA,Molabs Media LLC,1,1,FY2025Q4,no,15-1241,Telecommunications Engineering Specialists,TX,Dallas,94000,94000,94000
MP INFOTECH,MP INFOTECH CORP.,1,1,FY2025Q4,no,15-1241,Computer Network Architects,NJ,PRINCETON,103938,103938,103938
NETNOLOGY,Netnology LLC,1,1,FY2025Q4,no,15-1241,Computer Network Architects,TX,Plano,93309,93309,93309
NIVID INFOTECH,"Nivid Infotech, Inc.",1,1,FY2025Q4,no,15-1241,Computer Network Architects,GA,Atlanta,96054,96054,96054
NOKIA OF AMERICA CORPORATION,Nokia of America Corporation,1,1,FY2026Q1,no,15-1241,Computer Network Architects,IL,Naperville,113568,113568,113568
OCIENT,Ocient Inc.,1,1,FY2025Q4,no,15-1241,Computer Network Architects,IL,Chicago,115000,115000,115000
PC CONNECTION,"PC Connection, Inc.",1,1,FY2026Q1,no,15-1241,Computer Network Architects,NH,Merrimack,116960,116960,116960
RADCOM,RADCOM Inc.,1,1,FY2025Q4,no,15-1241,Computer Network Architects,CO,Parker,125000,125000,125000
SERENA WHOLESALE,"Serena Wholesale, Inc.",1,1,FY2025Q4,no,15-1241,Computer Network Architects,GA,Macon,91894,91894,91894
SMAR SYSTEMS,SMAR Systems Inc,1,1,FY2025Q4,no,15-1241,Computer Network Architects,CA,Milpitas,121846,121846,121846
TECHCOREGLOBAL,"TechCoreGlobal, LLC",1,1,FY2026Q1,no,15-1241,Computer Network Architects,CA,Sunnyvale,122000,122000,122000
TECHNOVISION SOLUTION,TECHNOVISION SOLUTION LLC,1,1,FY2025Q4,no,15-1241,Computer Network Architects,CO,Denver,92394,92394,92394
TELEWORLD SOLUTIONS,"Teleworld Solutions, Inc.",1,1,FY2025Q4,no,15-1241,Computer Network Architects,TX,Irving,96461,96461,96461
TIKTOK U S DATA SECURITY,TikTok U.S. Data Security Inc.,1,1,FY2026Q1,no,15-1241,Computer Network Architects,CA,San Jose,144000,144000,144000
UNIVERSITY OF NEVADA LAS VEGAS,"University of Nevada, Las Vegas",1,1,FY2025Q4,no,15-1241,Computer Network Architects,NV,Las Vegas,102500,102500,102500
VISIONSOFT,VISIONSOFT INC,1,1,FY2026Q1,no,15-1241,Computer Network Architects,NJ,BRANCHBURG,114400,114400,114400
VLINK,VLink Inc.,1,1,FY2025Q4,no,15-1241,Computer Network Architects,OH,Akron,83034,83034,83034
WOONGJIN,WOONGJIN INC,1,1,FY2026Q1,no,15-1241,Computer Network Architects,CA,BUENA PARK,96720,96720,96720
XPAND NET,Xpand-Net Inc.,1,1,FY2025Q4,no,15-1241,Computer Network Architects,CA,San Jose,121846,121846,121846
ZAYO GROUP,"Zayo Group, LLC",1,1,FY2025Q4,no,15-1241,Computer Network Architects,CO,Denver,88000,88000,88000
