employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
MCKINSEY COMPANY INC UNITED STATES,"McKinsey & Company, Inc. United States",9,2,FY2025Q4; FY2026Q1,yes,13-1111,Management Analysts,GA; MA; NY,Atlanta; Boston; New York,112000,112000,112000
BAIN COMPANY,"BAIN & COMPANY, INC.",3,2,FY2025Q4; FY2026Q1,yes,13-1111,Management Analysts,MA; NY,BOSTON; New York,105000,112000,117000
PHOTON INFOTECH,"PHOTON INFOTECH, INC.",3,2,FY2025Q4; FY2026Q1,yes,13-1111,Management Analysts,NJ; NY; TX,JERSEY CITY; NEW YORK; WESTLAKE,70796,84000,96280
DOORDASH,"DoorDash, Inc.",2,2,FY2025Q4; FY2026Q1,yes,13-1111,Management Analysts,CA; WA,San Francisco; Seattle,96000,96000,96000
ERNST YOUNG U S LLP,Ernst & Young U.S. LLP,4,1,FY2025Q4,no,13-1111,Management Analysts,FL; TX; UT,Candler; Dallas; Salt Lake City,90000,90000,90000
HUMANA,Humana Inc.,4,1,FY2026Q1,no,13-1111,Management Analysts,DC; TX,Apartment 620; Austin; Washington D.C.,145000,152500,160000
NEWTON CONSULTING,Newton Consulting Inc.,4,1,FY2026Q1,no,13-1111,Management Analysts,CA; IL; TN; UT,Knoxville; Ogden; Ontario; Warrenville,70179,70179,70179
R SYSTEMS,R SYSTEMS INC.,4,1,FY2025Q4,no,13-1111,Management Analysts,CA; TX,CUPERTINO; EL DORADO HILLS; FRISCO,65000,74000,110000
AOCHI AI,Aochi AI LLC,2,1,FY2026Q1,no,13-1111,Management Analysts,CA,South San Francisco,79040,79040,79040
AUGMENTED REALITY TECHNOLOGIES,AUGMENTED REALITY TECHNOLOGIES LLC,2,1,FY2026Q1,no,13-1111,Management Analysts,IL,CHICAGO,70179,70179,70179
BOSTON CONSULTING GROUP,"Boston Consulting Group, Inc.",2,1,FY2025Q4,no,13-1111,Management Analysts,MA; NY,Boston; New York,110000,110000,110000
CHIRAG V PATEL ASSOCIATES P A,"Chirag V. Patel & Associates, P.A.",2,1,FY2025Q4,no,13-1111,Management Analysts,MD,Baltimore; Chevy Chase,80870,81952,83034
DAECHANG SEAT SAVANNAH CORPORATION,Daechang Seat Savannah Corporation,2,1,FY2025Q4,no,13-1111,Management Analysts,GA,Savannah,65000,65000,65000
DELOITTE CONSULTING LLP,Deloitte Consulting LLP,2,1,FY2025Q4,no,13-1111,Management Analysts,CA,Sacramento,63461,69230,75000
DTC SG,DTC SG INC,2,1,FY2025Q4,no,13-1111,Management Analysts,CA,SAN GABRIEL,72800,72800,72800
EMFT,EMFT LLC,2,1,FY2025Q4,no,13-1111,Management Analysts,TX,Austin,63773,63773,63773
EXLSERVICE COM,"ExlService.com, LLC",2,1,FY2025Q4,no,13-1111,Management Analysts,NJ,Jersey City,96000,96000,96000
HENRY FORD HEALTH SYSTEM,Henry Ford Health System,2,1,FY2025Q4,no,13-1111,Management Analysts,MI,Detroit; Rochester Hills,67080,67810,68539
JS LED TECHNOLOGY CORPORATION,JS Led Technology Corporation,2,1,FY2025Q4,no,13-1111,Management Analysts,CA,Baldwin Park,66934,66934,66934
KADCON CORPORATION,KADCON Corporation,2,1,FY2026Q1,no,13-1111,Management Analysts,DC,Washington,83034,83034,83034
KOKODA CONSULTING,Kokoda Consulting LLC,2,1,FY2026Q1,no,13-1111,Management Analysts,GA,Savannah,65000,65000,65000
ODOO,"Odoo, Inc.",2,1,FY2025Q4,no,13-1111,Management Analysts,CA,Brisbane,128300,134100,139900
UNIVERSITY OF NORTH CAROLINA WILMINGTON,University of North Carolina Wilmington,2,1,FY2025Q4,no,13-1111,Management Analysts,NC,WILMINGTON,96592,96592,96592
WELL XPLORED,Well Xplored LLC,2,1,FY2025Q4,no,13-1111,Management Analysts,FL,Miami Beach,62400,62400,62400
