employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
AMAZON COM SERVICES,Amazon.com Services LLC,317,2,FY2025Q4; FY2026Q1,yes,15-1211; 15-1252; 15-1299,Computer Systems Analysts; Information Security Engineers; Information Technology Project Managers; Software Developers,AZ; CA; CO; FL; GA; MA; MD; NJ; NY; OR; TN; TX; VA; WA,ARLINGTON; AUSTIN; Arlington; Atlanta; Austin; BELLEVUE; Bellevue; Boston; Boulder; Culver City; Cumming; Cupertino; Dallas; East Palo Alto; Herndon; Hyattsville; Irvine; Irving; JERSEY CITY; Jersey City; Nashville; New York; North Reading; Portland; RUTHERFORD; Redmond; SAN FRANCISCO; SEATTLE; SUNNYVALE; San Diego; San Francisco; Santa Clara; Seattle; Sunnyvale; TEMPLE TERRANCE; Tempe; WESTBOROUGH; Westborough,72800,130400,185000
MICROSOFT CORPORATION,Microsoft Corporation,132,2,FY2025Q4; FY2026Q1,yes,15-1252; 15-1299,Computer Systems Engineers/Architects; Information Technology Project Managers; Software Developers,CA; FL; GA; MA; MD; NJ; NY; TX; VA; WA,Arlington; Atlanta; Damascus; East Syracuse; Elkridge; Framingham; Frisco; Houston; Irving; Jersey City; Long Island city; Long island city; Lynnwood; MILL CREEK; McKinney; Mckinney; Mountain View; Nacogdoches; New York; Plano; Redmond; Riverview; San Jose; Seattle; Sunnyvale; West New York,90896,134100,177200
DELOITTE CONSULTING LLP,Deloitte Consulting LLP,99,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AL; AR; AZ; CA; DC; DE; FL; GA; IL; IN; KS; MA; MO; NC; NJ; NM; OH; PA; SC; TX; VA,Alpharetta; Apopka; Atlanta; Aubrey; Austin; Birmingham; Boston; Camp Hill; Cary; Centerton; Charlotte; Chicago; Columbus; Dallas; Farmers Branch; Frisco; Gilbert; Greenwood; Haymarket; Indian Land; Indianapolis; Irving; Jacksonville; Jersey City; Jourdanton; Kansas City; Kyle; Lake Mary; Long Beach; Los Angeles; Lutz; MECHANICSBURG; McLean; Mechanicsburg; Morrisville; Naperville; Overland Park; Philadelphia; Plano; Round Rock; Ruskin; Sandy Springs; Sanford; Santa Fe; Surprise; Tampa; Tracy; Washington; Wilmington; Woodstock; York,72405,91707,151700
AMAZON DEVELOPMENT CENTER U S,"Amazon Development Center U.S., Inc.",76,2,FY2025Q4; FY2026Q1,yes,15-1252; 15-1299,Information Security Engineers; Software Developers,CA; GA; MA; MI; NY; TX; VA; WA,Arlington; Atlanta; Austin; BOSTON; Bellevue; Boston; DETROIT; Dallas; East Palo Alto; Herndon; NEW YORK; New York; Redmond; SANTA CLARA; Santa Clara; Seattle,90896,129000,163240
AMAZON WEB SERVICES,"Amazon Web Services, Inc.",66,2,FY2025Q4; FY2026Q1,yes,15-1252; 15-1299,Information Security Engineers; Software Developers,CA; GA; NC; NJ; NY; PA; TX; VA; WA,ARLINGTON; Arlington; Atlanta; Austin; Bellevue; Cupertino; DALLAS; Dallas; EAST PALO ALTO; East Palo Alto; Herndon; Jersey City; Mountain View; New York; Raleigh; SEATTLE; Santa Clara; Scranton; Seattle; Sunnyvale,103210,129000,190000
COMCAST CABLE COMMUNICATIONS,"Comcast Cable Communications, LLC",36,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; CO; NJ; PA; TX; VA; WA,Austin; Englewood; Houston; Leander; Mount Laurel; Philadelphia; Reston; Seattle; Sunnyvale; West Chester,79851,88088,149365
QUADRANT TECHNOLOGIES,Quadrant Technologies LLC,35,2,FY2025Q4; FY2026Q1,yes,15-1211; 15-1252,Computer Systems Analysts; Software Developers,CA; FL; GA; TX; WA,Austin; Bothell; Covington; Cumming; Fremont; Jacksonville; Redmond; San Jose; San Ramon; Seabeck,67267,92186,135699
VEEVA SYSTEMS,Veeva Systems Inc.,26,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; CO; OH; TX; WA,Allen; Arvada; Bellevue; Dublin; Los Angeles; Pleasanton; Pleasaonton,95000,130250,142000
ARTIFINT TECHNOLOGIES,ARTIFINT TECHNOLOGIES LLC,24,2,FY2025Q4; FY2026Q1,yes,15-1211; 15-1252,Computer Systems Analysts; Software Developers,CA; FL; GA; IN; MI; MO; NC; NY; PA; TN; TX; VA,AUSTIN; BERWYN; CHARLOTTE; CHELSEA; DALLAS; DULUTH; INDIANAPOLIS; KING OF PRUSSIA; MCLEAN; MEMPHIS; NASHVILLE; NEW YORK; ORLANDO; RESTON; RICHARDSON; RICHMOND; SACRAMENTO; SAN DIEGO; ST LOUIS; TROY,73840,88088,103210
ANTRA,"Antra, Inc.",23,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; IA; IL; MA; MD; NC; NJ; NY; PA; TX; VA,Ashburn; Austin; Brooklyn; Chicago; Durham; Jersey City; Johnston; Malden; Malvern; Sacramento; Santa Cruz; Staten Island; Sterling; Tracy; Vienna; Windsor Mill; Woodlawn,80000,95500,103500
COSTCO WHOLESALE CORPORATION,Costco Wholesale Corporation,23,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,TX; WA,Dallas; Issaquah,130000,140000,148600
IDEXCEL,Idexcel Inc,23,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,DC; FL; GA; KS; PA; TX; VA,Arlington; Ashburn; Atlanta; Austin; Brambleton; Cumming; Deerfield Beach; Farmers Branch; Little Elm; MCLean; Malvern; McLean; Reston; Topeka; Washington,77000,101500,5200000
SAGE IT,SAGE IT INC,22,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AL; AZ; GA; NC; NJ; TX,Atlanta; Aubrey; Austin; Charlotte; FRISCO; Frisco; Jersey City; Montgomer; Montgomery; Phoenix; Plano,67766,90896,103210
DOORDASH,"DoorDash, Inc.",20,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; NY; WA,New York; San Francisco; Seattle; Sunnyvale,140100,153600,188000
SOFTWORLD TECHNOLOGIES,Softworld Technologies LLC,20,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AR; AZ; MN; NJ; NY; OH; TX; VA,Bentonville; Blue Ash; Columbus; Coppell; Eagan; Jersey City; McLean; New York; Phoenix; Plano; St Paul,82000,91000,103500
FEDERAL SOFT SYSTEMS,Federal Soft Systems Inc.,19,2,FY2025Q4; FY2026Q1,yes,15-1211; 15-1252,Computer Systems Analysts; Software Developers,FL; IL; KS; NC; OH; TX; VA,Charlotte; Chicago; Corpus Christi; Denton; Frisco; Fuquay Varina; LEANDER; Leesburg; Miami; Morrow; Overland Park; Plano,76086,85467,101421
TIKTOK U S DATA SECURITY,TikTok U.S. Data Security Inc.,18,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; WA,Bellevue; San Jose,117749,149365,187000
FIDELITY TECHNOLOGY GROUP LLC D B A FIDELITY INVESTMENTS,"Fidelity Technology Group, LLC d/b/a Fidelity Investments",17,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,NC; NH; TX; UT,Durham; Merrimack; Salt Lake City; Westlake,80583,94182,103210
BYTEDANCE,BYTEDANCE INC.,15,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; WA,Bellevue; San Jose,117749,160000,185000
LEAD IT CORPORATION,Lead IT Corporation,15,2,FY2025Q4; FY2026Q1,yes,15-1211; 15-1252; 15-1299,"Computer Occupations, All Other; Computer Systems Analysts; Information Security Engineers; Information Technology Project Managers; Software Developers",AZ; CA; IL; MD; NC; TX; WA,Austin; Bothell; Charlotte; Frederick; Irving; Leander; Mountain View; Normal; Phoenix; Roanoke; Villa park,66352,90355,117749
KARWELL TECHNOLOGIIES,"KARWELL TECHNOLOGIIES, INC.",14,2,FY2025Q4; FY2026Q1,yes,15-1211; 15-1252,Computer Systems Analysts; Software Developers,AZ; IL; NC; NJ; NY; PA; TX,CHARLOTTE; GRAPEVINE; HARRISBURG; HARRISON; NEW YORK; NEWARK; PHOENIX; PLANO; RARITAN; ROSEMONT; THE WOODLANDS,75171,97885,104333
MPHASIS CORPORATION,Mphasis Corporation,14,2,FY2025Q4; FY2026Q1,yes,15-1252; 15-1299,Information Technology Project Managers; Software Developers,CA; DE; GA; IL; NJ; OH; PA; TX,Arlington Heights; Atlanta; COLUMBUS; Cumming; Fremont; Jersey City; Lake Hiawatha; PITTSBURGH; Pittsburgh; Sandy Springs; Spring; Wilmington,86418,110000,130000
3I INFOTECH,3i INFOTECH INC.,13,2,FY2025Q4; FY2026Q1,yes,15-1211; 15-1252; 15-1299,Computer Systems Analysts; Information Technology Project Managers; Software Developers,AZ; CA; FL; NY; SC; TX; VA,ALBANY; APT. #2208; FORT MILL; FREMONT; HOUSTON; IRVING; MCLEAN; NEW YORK; PHOENIX; ROUND ROCK; SAN ANTONIO; TAMPA,70000,88000,103210
ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE,"Environmental Systems Research Institute, Inc.",13,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; NY,New York City; Redlands,101774,123510,150280
STRATEGIC SYSTEMS,"Strategic Systems, Inc.",13,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CT; GA; NC; NJ; NY; TX; VA,Atlanta; Aubrey; Charlotte; Hartford; Irving; McKinney; McLean; New York; Plano; Princeton; Reston,90000,91291,103210
TECH TAMMINA,"Tech Tammina, LLC",13,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; DC; MA; MD; MI; NJ; TX,Farmington Hills; Germantown; Irvine; Iselin; Katy; Newark; Newport Beach; North Quincy; Raritan; Washington,84053,101421,135699
NISUM TECHNOLOGIES,Nisum Technologies Inc.,12,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA,Dublin; Pleasanton; Rocklin; San Francisco; San Jose,120000,146906,158267
BNS INTERNATIONAL,BNS INTERNATIONAL INC,11,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; MN; NJ; PA; TX,AUBREY; Dallas; Eden Prairie; Houston; IRVINE; MCKINNEY; Malvern; TRENTON,85821,90896,102232
