employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
AMAZON COM SERVICES,Amazon.com Services LLC,71,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2041; 15-2051,Business Intelligence Analysts; Data Scientists; Operations Research Analysts; Statisticians,CA; FL; GA; MA; NY; TN; TX; VA; WA,ATLANTA; AUSTIN; Arlington; Austin; BELLEVUE; Bellevue; Boston; Culver City; GAINESVILLE; IRVING; Nashville; New York; North Reading; SAN DIEGO; SANTA BARBARA; San Diego; Santa Barbara; Santa Clara; Seattle; Sunnyvale,70990,110900,165660
ERNST YOUNG U S LLP,Ernst & Young U.S. LLP,13,2,FY2025Q4; FY2026Q1,yes,15-2031,Operations Research Analysts,CA; IL; NY; PR,Chicago; Long Island City; New York; New York City; San Francisco; San Juan; West Sacramento,87600,101700,112750
ARTIFINT TECHNOLOGIES,ARTIFINT TECHNOLOGIES LLC,10,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts; Data Scientists,FL; MI; OH; TX; UT; WI,ADDISON; AUSTIN; Columbus; DALLAS; DEARBORN; JEFFERSON; PROVO; SAINT PETERSBURG; TAMPA,58718,70096,76128
THE UNIVERSITY OF SOUTHERN CALIFORNIA,The University of Southern California,10,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Business Intelligence Analysts; Clinical Data Managers; Data Scientists; Statisticians,CA,Los Angeles; Marina Del Rey; San Diego,58843,70586,110574
DELOITTE CONSULTING LLP,Deloitte Consulting LLP,9,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2051,Data Scientists; Operations Research Analysts,FL; IL; MN; NY; VA; WA,Bellevue; Chicago; Lake Mary; Minnetonka; New York; Richmond; Seattle,51834,96117,127900
DOORDASH,"DoorDash, Inc.",9,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2051,Business Intelligence Analysts; Data Scientists; Operations Research Analysts,CA; NY; WA,New York; San Francisco; Seattle,92000,138200,188000
ANTRA,"Antra, Inc.",8,2,FY2025Q4; FY2026Q1,yes,15-2051,Data Scientists,NJ; SC; TX; VA,East Brunswick; Greenville; McLean; Plainsboro; Plano; Princeton; Sterling,67200,79750,83000
MICROSOFT CORPORATION,Microsoft Corporation,8,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts; Data Scientists,CA; WA,Redmond; San Francisco,133500,136900,147070
DANA FARBER CANCER INSTITUTE,Dana-Farber Cancer Institute,7,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Business Intelligence Analysts; Statisticians,MA,Boston; Somerville,56555,94142,109164
MEDICAL COLLEGE OF WISCONSIN,"Medical College of Wisconsin, Inc.",7,2,FY2025Q4; FY2026Q1,yes,15-2041,Biostatisticians,TX; WI,Milwaukee; Richmond,76000,79804,90737
ROBOTICS TECHNOLOGIES,ROBOTICS TECHNOLOGIES LLC,7,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts; Data Scientists,CT; IL; MI; NY; VA,CHICAGO; DEARBORN; NEW YORK; RICHMOND; WINDSOR,66102,80163,89523
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,7,2,FY2025Q4; FY2026Q1,yes,15-2041,Biostatisticians; Statisticians,GA; IL; PA,Atlanta; Chicago; Philadelphia,73320,77919,92027
THE CURATORS OF THE UNIVERSITY OF MISSOURI,The Curators of the University of Missouri,6,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2041; 15-2051,Data Scientists; Operations Research Analysts; Statisticians,MO,Columbia,57000,63815,77770
THE UNIVERSITY OF ALABAMA AT BIRMINGHAM,The University of Alabama at Birmingham,6,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Clinical Data Managers; Data Scientists,AL,Birmingham,58207,65442,73946
UNIVERSITY OF MICHIGAN,University of Michigan,6,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2041; 15-2051,Biostatisticians; Business Intelligence Analysts; Data Scientists; Operations Research Analysts; Statisticians,CA; MI; TX,Ann Arbor; Dearborn; Los Angeles; Richardson,62000,71584,100000
AMAZON WEB SERVICES,"Amazon Web Services, Inc.",5,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts; Data Scientists,CA; TX; WA,Dallas; SANTA CLARA; Seattle,73154,111440,153274
APEX LOGISTICS INTERNATIONAL,"Apex Logistics International, Inc.",5,2,FY2025Q4; FY2026Q1,yes,15-2031,Operations Research Analysts,IL; TX,Bensenville; DFW Airport,67600,67600,81557
BYTEDANCE,BYTEDANCE INC.,5,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts; Data Scientists,CA,San Jose,123531,125630,165000
CINCINNATI CHILDREN S HOSPITAL MEDICAL CENTER,Cincinnati Children's Hospital Medical Center,5,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Business Intelligence Analysts; Data Scientists,OH,Cincinnati,69921,85010,218439936
DUKE UNIVERSITY,Duke University,5,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Data Scientists,NC,Durham,89732,99374,107940
JOHNS HOPKINS UNIVERSITY,Johns Hopkins University,5,2,FY2025Q4; FY2026Q1,yes,15-2041,Biostatisticians; Statisticians,MD; RI,Baltimore; Providence,69618,81855,100246
LIVEMINDZ SERVICES,LiveMindz Services Inc,5,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts; Data Scientists,TX; VA,Farmers Branch; Lewisville; Tysons,73154,73154,88462
NEWTON CONSULTING,Newton Consulting Inc.,5,2,FY2025Q4; FY2026Q1,yes,15-2031,Operations Research Analysts,CA; IL; TN; UT,Knoxville; Ogden; Ontario; Warrenville,66706,72280,72280
NORTHWESTERN UNIVERSITY,Northwestern University,5,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Data Scientists; Statisticians,IL,Chicago,64938,78454,88359
TIGERMED BDM,Tigermed-BDM Inc,5,2,FY2025Q4; FY2026Q1,yes,15-2041,Statisticians,CA; NC; NJ,Anaheim; Jersey City; Piscataway; Raleigh,88949,92000,187200000
TIKTOK,TikTok Inc.,5,2,FY2025Q4; FY2026Q1,yes,15-2051,Data Scientists,CA; WA,Bellevue; Culver City; San Jose,73174,96117,170000
BANK OF AMERICA N A,BANK OF AMERICA N.A.,4,2,FY2025Q4; FY2026Q1,yes,15-2031,Operations Research Analysts,NJ; NY; TX,Jersey City; New York; PLANO; Plano,115000,135000,180000
BRIGHAM AND WOMEN S HOSPITAL,Brigham and Women's Hospital,4,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Data Scientists,MA,Boston,71000,74058,74318
CARILION SERVICES,"Carilion Services, Inc.",4,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts; Data Scientists,MI; NC; VA,Fairfax; McLean; Raleigh; West Bloomfield,81786,82400,89357
FIREFLY PROS,"Firefly Pros, Inc.",4,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts,CA; NJ; NY,Franklin Park; New York; Palo Alto,79456,100000,123531
GENERAL HOSPITAL CORPORATION,General Hospital Corporation,4,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Data Scientists,MA,Boston; Somerville,73798,74318,74318
IQVIA RDS,IQVIA RDS Inc.,4,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2041,Operations Research Analysts; Statisticians,CA; MI; NC,Ann Arbor; Fuquay Varina; Milpitas,100000,109224,142881
NORTHERN ILLINOIS UNIVERSITY,Northern Illinois University,4,2,FY2025Q4; FY2026Q1,yes,15-2051,Data Scientists,IL,DeKalb,65000,67718,75665
POPULUS GROUP,Populus Group LLC,4,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts,IL; NY; WA,Naperville; New York; Ridgefield,87360,90501,99840
QUANTUM INTEGRATORS GROUP,Quantum Integrators Group LLC,4,2,FY2025Q4; FY2026Q1,yes,15-2051,Data Scientists,NJ,Raritan; West Windsor,79500,79500,85650
SENTARA HEALTH,Sentara Health,4,2,FY2025Q4; FY2026Q1,yes,15-2051,Clinical Data Managers,IN; OH; TX; VA,Charlottesville; Columbus; Indianapolis; Irving,70283,91036,97136
ST JUDE CHILDREN S RESEARCH HOSPITAL,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,4,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Clinical Data Managers; Data Scientists,TN,Memphis,72529,78000,86320
THE CHILDREN S HOSPITAL OF PHILADELPHIA,The Children's Hospital of Philadelphia,4,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Clinical Data Managers; Data Scientists,PA,Philadelphia,55765,59530,76003
UNIVERSITY OF KENTUCKY,UNIVERSITY OF KENTUCKY,4,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2041; 15-2051,Data Scientists; Operations Research Analysts; Statisticians,KY,Lexington,65000,73785,76000
WAYFAIR,Wayfair LLC,4,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2051,Business Intelligence Analysts; Data Scientists; Operations Research Analysts,CA; MA,Boston; Mountain View,81608,111862,157500
CAPITAL ONE NATIONAL ASSOCIATION,"Capital One, National Association",3,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2051,Data Scientists; Operations Research Analysts,AZ; NY,New York; Phoenix,78400,88000,112000
CARNEGIE MELLON UNIVERSITY,Carnegie Mellon University,3,2,FY2025Q4; FY2026Q1,yes,15-2051,Data Scientists,PA,Pittsburgh,65000,86441,86441
CITIBANK N A,"Citibank, N.A.",3,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Business Intelligence Analysts; Statisticians,TX,Irving,112000,145300,153835
DRFIRST COM,"DrFirst.com, Inc.",3,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Data Scientists; Statisticians,MD; NC; VA,Cary; Germantown; Reston,105575,110000,110000
PPD DEVELOPMENT L P,"PPD Development, L.P.",3,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Clinical Data Managers,VA,Alexandria; Richmond,76586,97157,97157
PRAISE CONSULTING,PRAISE CONSULTING LLC,3,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts; Data Scientists,IL; MD; TX,Cockeysville; HOUSTON; OAKBROOK TERRACE,68000,74500,84323
RIVIAN AUTOMOTIVE,"Rivian Automotive, LLC",3,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2051,Business Intelligence Analysts; Data Scientists; Operations Research Analysts,CA; IL; MI,Irvine; Normal; Plymouth,80204,96772,148500
SPRUCE TECHNOLOGY,SPRUCE TECHNOLOGY INC.,3,2,FY2025Q4; FY2026Q1,yes,15-2051,Business Intelligence Analysts,DE; MD; NJ,Brunswick; Montville; Newark,73944,90000,110000
SYRACUSE UNIVERSITY,Syracuse University,3,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2041; 15-2051,Biostatisticians; Business Intelligence Analysts; Operations Research Analysts,NY,Syracuse,60500,60500,65000
THE METHODIST HOSPITAL RESEARCH INSTITUTE,The Methodist Hospital Research Institute,3,2,FY2025Q4; FY2026Q1,yes,15-2041,Biostatisticians; Statisticians,TX,Houston,73635,73635,95139
THE UNIVERSITY OF CHICAGO,The University of Chicago,3,2,FY2025Q4; FY2026Q1,yes,15-2051,Data Scientists,IL,Chicago,65000,78000,88288
TRANSUNION,TransUnion LLC,3,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Business Intelligence Analysts; Statisticians,IL; NJ,Chicago; Jersey City,74277,79456,91250
UNITED TEKINFO HUB,UNITED TEKINFO HUB LLC.,3,2,FY2025Q4; FY2026Q1,yes,15-2051,Data Scientists,TX,CELINA; PROSPER,73154,73154,74000
UNIUNI LOGISTICS,UNIUNI LOGISTICS INC.,3,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2051,Data Scientists; Operations Research Analysts,CA; TX,FONTANA; MISSOURI CITY,57075,57075,80000
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,"University of California, San Francisco",3,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Data Scientists,CA,SAN FRANCISCO; San Francisco,111504,118680,130860
UNIVERSITY OF THE PACIFIC,UNIVERSITY OF THE PACIFIC,3,2,FY2025Q4; FY2026Q1,yes,15-2031; 15-2051,Business Intelligence Analysts; Operations Research Analysts,CA,Sacramento; Stockton,77410,78978,79732
VANDERBILT UNIVERSITY MEDICAL CENTER,Vanderbilt University Medical Center,3,2,FY2025Q4; FY2026Q1,yes,15-2041; 15-2051,Biostatisticians; Data Scientists,FL; IL,Hallandale Beach; Vernon Hills,71099,71099,94000
