employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
BLACK VEATCH CORPORATION,Black & Veatch Corporation,5,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,IL; KS; MA,Burlington; Chicago; Overland Park,77938.0,85592.0,89939.0
APPLIED OPTOELECTRONICS,"Applied Optoelectronics, Inc.",4,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,TX,Sugar Land,72987.0,79997.0,84989.0
STANTEC CONSULTING SERVICES,Stantec Consulting Services Inc.,4,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,CA; FL; NC,Lake Mary; Los Angeles; Raleigh,81307.0,89960.0,92123.0
ALTEN TECHNOLOGY USA,"Alten Technology USA, Inc.",3,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,CA; MI,Auburn Hills; Foster City,80205.0,80205.0,107182.0
CORE TECH CONSTRUCTION CORPORATION,CORE TECH CONSTRUCTION CORPORATION,3,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,GU,TAMUNING,49899.0,55000.0,60000.0
DC GROUP,"DC Group, Inc.",3,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,KS; NY; UT,Dix Hills; Herriman; Wichita,80000.0,90000.0,104000.0
NEXTGEN GLOBAL RESOURCES,"NextGen Global Resources, LLC",3,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineer; Electrical Engineers,PA; TX,Blue Bell; McKinney; Plano,85000.0,95000.0,120000.0
RIVIAN AND VOLKSWAGEN GROUP TECHNOLOGIES,"Rivian and Volkswagen Group Technologies, LLC",3,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,CA,Palo Alto,145000.0,145000.0,145000.0
TECHNOSOFT ENGINEERING,"Technosoft Engineering, Inc.",3,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,MI; TX,Austin; Dallas; Middleville,72000.0,75000.0,85000.0
TELEWORLD SOLUTIONS,"Teleworld Solutions, Inc.",3,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,CO; NY; TX,Fort Morgan; Liverpool; Plano,77896.0,89000.0,95000.0
HDR ENGINEERING,"HDR Engineering, Inc.",2,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,CA; MO,Kansas City; San Diego,84000.0,97006.0,110011.0
SEATRIUM LETOURNEAU USA,"Seatrium LeTourneau USA, Inc.",2,2,FY2025Q4; FY2026Q1,yes,17-2071,Electrical Engineers,LA; TX,Houston; Metairie,70782.0,73788.0,76794.0
EATON CORPORATION,Eaton Corporation,4,1,FY2025Q4,no,17-2071,Electrical Engineers,MN; NC; SC,Plymouth; Raleigh; Sumter,78000.0,79000.0,91000.0
EPITEC,"Epitec, Inc.",4,1,FY2025Q4,no,17-2071,Electrical Engineers,MI; NC,Dearborn; High Point,84240.0,84240.0,84240.0
LER TECHFORCE,"LER TechForce, LLC",3,1,FY2025Q4,no,17-2071,Electrical Engineers,IN; MI; WA,Columbus; Mount Vernon; Novi,83200.0,96000.0,128000.0
ROSCO,"Rosco, Inc",3,1,FY2025Q4,no,17-2071,Electrical Engineers,NY,Jamaica,84552.0,89024.0,89024.0
ALTAIR PRODUCTDESIGN,"Altair ProductDesign, Inc.",2,1,FY2026Q1,no,17-2071,Electrical Engineers,MI,Auburn Hills; Dearborn,80205.0,80205.0,80205.0
ASTERA LABS,Astera Labs INC,2,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,San Jose,131019.0,131019.0,131019.0
BATTELLE MEMORIAL INSTITUTE,Battelle Memorial Institute,2,1,FY2026Q1,no,17-2071,Electrical Engineers,TX,Road Rock; Round Rock,93995.0,93995.0,93995.0
CITY OF GAINESVILLE,City of Gainesville,2,1,FY2025Q4,no,17-2071,Electrical Engineers,FL,Gainesville,74314.0,74314.0,74314.0
DELART TECHNOLOGY SERVICES,Delart Technology Services LLC,2,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Sunnyvale,131019.0,131019.0,131019.0
EPC POWER,EPC Power Corp.,2,1,FY2026Q1,no,17-2071,Electrical Engineers,CA,Poway,93995.0,99904.0,105814.0
ERVIN CABLE CONSTRUCTION,Ervin Cable Construction LLC,2,1,FY2025Q4,no,17-2071,Electrical Engineers,MO,Kansas City,74194.0,74194.0,74194.0
FAKOURI ELECTRICAL ENGINEERING,"Fakouri Electrical Engineering, Inc",2,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Rancho Santa Margarita,85620.0,90310.0,95000.0
FORD MOTOR COMPANY,FORD MOTOR COMPANY,2,1,FY2025Q4,no,17-2071,Electrical Engineers,MI,Allen Park; Dearborn,84480.0,107040.0,129600.0
GLOBAL CONNECT TECHNOLOGIES,Global Connect Technologies Inc.,2,1,FY2025Q4,no,17-2071,Electrical Engineers,MD; MI,Auburn Hills; Hagerstown,80000.0,80560.0,81120.0
JEFFERSON SCIENCE ASSOCIATES,"JEFFERSON SCIENCE ASSOCIATES, LLC",2,1,FY2026Q1,no,17-2071,Electrical Engineers,VA,NEWPORT NEWS,103839.0,103847.0,103854.0
LSW ENGINEERS ARIZONA,"LSW ENGINEERS ARIZONA, INC.",2,1,FY2025Q4,no,17-2071,Electrical Engineers,AZ,Phoenix,90480.0,90480.0,90480.0
NORTH CAROLINA STATE UNIVERSITY,North Carolina State University,2,1,FY2025Q4,no,17-2071,Electrical Engineers,NC,Raleigh,60000.0,70000.0,80000.0
PENTANGLE TECH SERVICES,Pentangle Tech Services LLC,2,1,FY2025Q4,no,17-2071,Electrical Engineers,MI,Auburn Hills; Dearborn,80205.0,81702.0,83200.0
QORVO US,"Qorvo US, INC.",2,1,FY2026Q1,no,17-2071,Electrical Engineers,NC,Greensboro,107000.0,107000.0,107000.0
ST PAPER,ST Paper LLC,2,1,FY2025Q4,no,17-2071,Electrical Engineers,WI,Oconto Falls,112350.0,112350.0,112350.0
SVTRONICS,"SVTronics, Inc.",2,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Plano,70117.0,72353.0,74589.0
UNIFIED BUSINESS TECHNOLOGIES,"UNIFIED BUSINESS TECHNOLOGIES, INC",2,1,FY2025Q4,no,17-2071,Electrical Engineers,MI; TX,PLANO; TROY,75000.0,78000.0,81000.0
ZEVA TECHNOLOGY,"Zeva Technology, LLC",2,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Plano,75000.0,75000.0,75000.0
A123 SYSTEMS,A123 Systems LLC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,MI,Novi,100000.0,100000.0,100000.0
ABACUS POWER,"Abacus Power, Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,CA,Santa Clara,150000.0,150000.0,150000.0
ACCENTURE INFRASTRUCTURE AND CAPITAL PROJECTS,"Accenture Infrastructure and Capital Projects, LLC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Tustin,95000.0,95000.0,95000.0
ACCUVER AMERICAS,"ACCUVER AMERICAS, INC.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Plano,92000.0,92000.0,92000.0
ADUKEMETA,Adukemeta LLC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,GA,Douglasville,78000.0,78000.0,78000.0
AFFILIATED ENGINEERS,"Affiliated Engineers, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,IL,Chicago,105000.0,105000.0,105000.0
AIRCOM PACIFIC,"AIRCOM PACIFIC, INC.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Fremont,108000.0,108000.0,108000.0
ALBIREO ENERGY,Albireo Energy LLC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,NJ,Edison,115003.0,115003.0,115003.0
ALLIANCE SPORTS GROUP L P,"Alliance Sports Group, L.P.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CT,Hartford,87378.0,87378.0,87378.0
ALSTOM TRANSPORTATION,Alstom Transportation Inc.,1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Los Angeles,85613.0,85613.0,85613.0
AMAZON COM SERVICES,AMAZON.COM SERVICES LLC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,MA,WESTBOROUGH,130000.0,130000.0,130000.0
AMNEAL PHARMACEUTICALS,"Amneal Pharmaceuticals, LLC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,NJ,Branchburg,85000.0,85000.0,85000.0
AMPURE CHARGING SYSTEMS,"AMPURE Charging Systems, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Monrovia,110000.0,110000.0,110000.0
ATC DRIVETRAIN,"ATC Drivetrain, LLC.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,OK,Oklahoma City,76565.0,76565.0,76565.0
ATOM POWER,"Atom Power, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,NC,Huntersville,118000.0,118000.0,118000.0
BAUER COMPRESSORS,Bauer Compressors Inc.,1,1,FY2025Q4,no,17-2071,Electrical Engineers,VA,Norfolk,82347.0,82347.0,82347.0
BIZLINK TECHNOLOGY,"Bizlink Technology, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Fremont,107182.0,107182.0,107182.0
BLACK CONSTRUCTION CORPORATION,Black Construction Corporation,1,1,FY2025Q4,no,17-2071,Electrical Engineers,GU,Harmon,54200.0,54200.0,54200.0
BRUKER SCIENTIFIC,BRUKER SCIENTIFIC LLC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,MA,QUINCY,93177.0,93177.0,93177.0
BWI CHASSIS DYNAMICS NA,"BWI Chassis Dynamics (NA), Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,MI,Brighton,209050400.0,209050400.0,209050400.0
CABRAS MARINE CORPORATION,Cabras Marine Corporation,1,1,FY2026Q1,no,17-2071,Electrical Engineers,GU,Piti,52000.0,52000.0,52000.0
CALIFORNIA INSTITUTE OF TECHNOLOGY JET PROPULSION LABORATORY,California Institute of Technology/Jet Propulsion Laboratory,1,1,FY2025Q4,no,17-2071,Electrical Engineers,NV,Las Vegas,86880.0,86880.0,86880.0
CALIFORNIA PACIFIC TECHNICAL SERVICES,"California Pacific Technical Services, LLC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,GU,Tamuning,49899.0,49899.0,49899.0
CARNEGIE MELLON UNIVERSITY,Carnegie Mellon University,1,1,FY2025Q4,no,17-2071,Electrical Engineers,PA,Pittsburgh,109866.0,109866.0,109866.0
CIRCUIT ENGINEERING,CIRCUIT ENGINEERING LLC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,IL,Elk Grove Village,78750.0,78750.0,78750.0
CMOS SENSOR,CMOS Sensor Inc.,1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,San Jose,131019.0,131019.0,131019.0
COHERENT,Coherent Corp.,1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Fremont,107182.0,107182.0,107182.0
CONNECTIVITY SOLUTIONS,"Connectivity Solutions, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,VA,Sterling,110000.0,110000.0,110000.0
CONVERGIX WEST MICHIGAN,"Convergix West Michigan, LLC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,MI,Bridgman,90000.0,90000.0,90000.0
CRYSTAL SONIC,Crystal Sonic Inc.,1,1,FY2025Q4,no,17-2071,Electrical Engineers,AZ,Phoenix,95000.0,95000.0,95000.0
DANA AUTOMOTIVE SYSTEMS GROUP,"Dana Automotive Systems Group, LLC",1,1,FY2026Q1,no,17-2071,Electrical Engineers,OH,Maumee,74018.0,74018.0,74018.0
DEMATIC,Dematic Corp.,1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Plano,88100.0,88100.0,88100.0
DHILLON ENGINEERING,"Dhillon Engineering, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,MD,Owings Mills,83200.0,83200.0,83200.0
DIVERSIFIED AUTOMATION,"DIVERSIFIED AUTOMATION, INC.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,AZ,Casa Grande,90000.0,90000.0,90000.0
DRACO ELECTRONICS,"Draco Electronics, LLC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Fremont,110000.0,110000.0,110000.0
EEPLUS,"Eeplus, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Georgetown,96390.0,96390.0,96390.0
EMC2 ELECTRICAL,"EMC2 ELECTRICAL, INC.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,GU,TAMUNING,49899.0,49899.0,49899.0
EMPOWER SEMICONDUCTOR,Empower Semiconductor Inc.,1,1,FY2026Q1,no,17-2071,Electrical Engineers,CA,Milpitas,157500.0,157500.0,157500.0
ENGIE NORTH AMERICA,ENGIE North America Inc.,1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Fremont,132000.0,132000.0,132000.0
EZM,EZM LLC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,MI,Commerce Township,80205.0,80205.0,80205.0
FIVES DYAG CORPORATION,Fives DyAG Corporation,1,1,FY2025Q4,no,17-2071,Electrical Engineers,TN,Spring Hill,78104.0,78104.0,78104.0
FLOWSERVE US COMPANY,Flowserve US Company,1,1,FY2026Q1,no,17-2071,Electrical Engineers,MD,Taneytown,82368.0,82368.0,82368.0
FORTUNE BRANDS INNOVATIONS GROUP,"Fortune Brands Innovations Group, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,San Francisco,146031.0,146031.0,146031.0
FUJITEC PACIFIC,"FUJITEC PACIFIC, INC.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,GU,Tamuning,56160.0,56160.0,56160.0
GCORP INTERNATIONAL,"GCorp International, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,FL,Heathrow,85000.0,85000.0,85000.0
