employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
ADVANCED MICRO DEVICES,"Advanced Micro Devices, Inc.",3,2,FY2025Q4; FY2026Q1,yes,17-2072,"Electronics Engineers, Except Computer",TX,Austin,84947,85384,110000
SAMSUNG AUSTIN SEMICONDUCTOR,"SAMSUNG AUSTIN SEMICONDUCTOR,LLC",3,2,FY2025Q4; FY2026Q1,yes,17-2072,"Electronics Engineers, Except Computer",CA; TX,Austin; San Jose,124000,139000,139000
SYNAPSIQ,SYNAPSIQ LLC,2,2,FY2025Q4; FY2026Q1,yes,17-2072,"Electronics Engineers, Except Computer",NY; TX,Frisco; Huntington,90147,96012,101878
SANDISK TECHNOLOGIES,"Sandisk Technologies, Inc.",4,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CA,Cupertino; Los Gatos; Milpitas,124197,124197,124197
HCL AMERICA,HCL AMERICA INC,3,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CA; GA,Covington; Irvine; Santa Clara,86736,92518,127234
MICROCHIP TECHNOLOGY,Microchip Technology Inc.,3,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",AZ; CO; NY,Chandler; Colorado Springs; Hauppauge,83678,89731,101878
AUMRAJ,"AumRaj, Inc.",2,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CA,Fremont,105000,108000,111000
COGNIER,COGNIER INC,2,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CA,Los Angeles,92518,92518,92518
SIEMENS INDUSTRY SOFTWARE,Siemens Industry Software Inc.,2,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",OR; TX,Austin; Wilsonville,96283,102216,108148
SUNSOFT SERVICES,SUNSOFT SERVICES INC,2,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CO; NJ,Englewood; Jersey City,88000,95000,102000
WESTERN DIGITAL TECHNOLOGIES,"Western Digital Technologies, Inc.",2,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CA,Irvine,82534,82534,82534
XILINX,"Xilinx, Inc.",2,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",CA,San Jose,127234,127234,127234
ZENDAR,Zendar Inc.,2,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CA,Berkeley,140000,140000,140000
3LP,"3LP, LLC",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",PR,Yabucoa,93950,93950,93950
AGR INTERNATIONAL,"Agr International, Inc.",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",PA,Butler,77106,77106,77106
ALBIREO ENERGY,Albireo Energy LLC,1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",MA,Chelmsford,102514,102514,102514
AMD DESIGN,AMD Design LLC,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",NJ,Secaucus,101878,101878,101878
ANALOG DEVICES,"Analog Devices, Inc.",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",TX,Dallas,115578,115578,115578
APTAMITRA USA CONSULTING,Aptamitra USA Consulting LLC,1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",TX,Irving,84500,84500,84500
ARIZONA STATE UNIVERSITY,Arizona State University,1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",AZ,Tempe,65250,65250,65250
ARM,"Arm, Inc.",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",CA,San Jose,127234,127234,127234
CALIFORNIA PACIFIC TECHNICAL SERVICES,"California Pacific Technical Services, LLC",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer2.00",GU,Tamuning,85883,85883,85883
COMPASS,"Compass, Inc.",1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",IL,Chillicothe,83429,83429,83429
CYBEL,"Cybel, LLC",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",PA,Bethlehem,90000,90000,90000
DAIMLER TRUCK NORTH AMERICA,"Daimler Truck North America, LLC",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",OR,Portland,94515,94515,94515
ENERVENUE,"EnerVenue, Inc.",1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CA,Fremont,104374,104374,104374
ENHANCED EXTERIOR PRODUCTS,"Enhanced Exterior Products, Inc.",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",UT,American Fork,56000,56000,56000
ERIDAN COMMUNICATIONS,"Eridan Communications, Inc.",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",CA,Sunnyvale,127234,127234,127234
FNS SYSTEMS,FNS Systems LLC,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",TX,Grand Prairie,91000,91000,91000
HTN WIRELESS,"HTN Wireless, Inc.",1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",WA,Bellevue,92518,92518,92518
INFOBAHN SOFTWORLD,Infobahn Softworld Inc.,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",CA,Santa Clara,127234,127234,127234
INVENCES,Invences Inc,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",TX,Plano,90147,90147,90147
KGPCO SERVICES LLC DBA CIRCET USA,"KGPCo. Services, LLC dba Circet USA",1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",TX,Celina,90147,90147,90147
LAM RESEARCH CORPORATION,Lam Research Corporation,1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",AZ,Phoenix,89731,89731,89731
LECTRONIX,LECTRONIX INC,1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",MI,LANSING,89752,89752,89752
LITEPOINT CORPORATION,LitePoint Corporation,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",CA,San Jose,189690,189690,189690
MAGNETIC INSIGHT,"Magnetic Insight, Inc.",1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CA,Alameda,112091,112091,112091
MEDLEY NETWORKS,MEDLEY NETWORKS INC,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",NJ,PARSIPPANY,101878,101878,101878
NOVELBEAM TECHNOLOGY,Novelbeam Technology Inc.,1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CA,San Jose,132000,132000,132000
NTESS,NTESS LLC,1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",NM,ALBUQUERQUE,98500,98500,98500
OLEIN RECOVERY CORPORATION,Olein Recovery Corporation,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",PR,Yabucoa,93950,93950,93950
PENTANGLE TECH SERVICES,Pentangle Tech Services LLC,1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",MI,Plymouth,98000,98000,98000
PROCTEK TEXAS,"PROCTEK TEXAS, INC.",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",TX,MIDLAND,80954,80954,80954
PSEMI CORPORATION,PSEMI CORPORATION,1,1,FY2025Q4,no,17-2072,"Electronics Engineers, Except Computer",CA,San Diego,106000,106000,106000
RAM TEK COMMUNICATIONS,RAM TEK Communications LLC,1,1,FY2026Q1,no,17-2072,Radio Frequency Identification Device Specialists,TX,DALLAS,91000,91000,91000
RAMBUS,Rambus Inc.,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",CA,San Jose,127234,127234,127234
REEKON TOOLS,Reekon Tools Inc.,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",MA,Charlestown,101000,101000,101000
REGAL REXNORD CORPORATION,Regal Rexnord Corporation,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",OH,Tipp City,90163,90163,90163
SYNAPSE DESIGN AUTOMATION,"Synapse Design Automation, Inc.",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",CA,Santa Clara,152000,152000,152000
SYNTEGON TECHNOLOGY SERVICES,Syntegon Technology Services LLC,1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",MO,St Louis,90626,90626,90626
TATA TECHNOLOGIES,"Tata Technologies, Inc.",1,1,FY2026Q1,no,17-2072,"Electronics Engineers, Except Computer",IL,Chillicothe,101920,101920,101920
