employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
RESEARCH FOUNDATION OF CUNY,Research Foundation of CUNY,3,1,FY2025Q4,no,17-2081,Environmental Engineers,NY,New York,59301,68942,76695
GEORGIA DEPT OF NATURAL RESOURCES ENVIRONMENTAL PROTECTION DIV,Georgia Dept. of Natural Resources - Environmental Protection Div.,2,1,FY2026Q1,no,17-2081,Environmental Engineers,GA,Atlanta; Brunswick,70470,70470,70470
KEYLOGIC,KeyLogic LLC,2,1,FY2026Q1,no,17-2081,Environmental Engineers,PA,Pittsburgh,89990,89990,89990
ARCADIS U S,"Arcadis U.S., Inc.",1,1,FY2025Q4,no,17-2081,Environmental Engineers,MI,Novi,83678,83678,83678
ARIZONA STATE UNIVERSITY,Arizona State University,1,1,FY2026Q1,no,17-2081,Environmental Engineers,AZ,Tempe,62421,62421,62421
BATTELLE MEMORIAL INSTITUTE,Battelle Memorial Institute,1,1,FY2025Q4,no,17-2081,Environmental Engineers,WA,Richland,101524,101524,101524
CAL LAND ENGINEERING AND ASSOCIATES,"Cal Land Engineering and Associates, Inc.",1,1,FY2026Q1,no,17-2081,Environmental Engineers,CA,Brea,90000,90000,90000
DISTINCT ENGINEERING SOLUTIONS,Distinct Engineering Solutions Inc,1,1,FY2025Q4,no,17-2081,Environmental Engineers,NJ,North Brunswick,72800,72800,72800
FIBRE BOX ASSOCIATION,Fibre Box Association,1,1,FY2026Q1,no,17-2081,Environmental Engineers,IL,Itasca,95000,95000,95000
GEORGIA DEPARTMENT OF NATURAL RESOURCES ENVIRONMENTAL PROTECTION DIVISION,Georgia Department of Natural Resources - Environmental Protection Division,1,1,FY2026Q1,no,17-2081,Environmental Engineers,GA,Atlanta,64064,64064,64064
HALEY ALDRICH,"Haley & Aldrich, Inc.",1,1,FY2025Q4,no,17-2081,Environmental Engineers,NY,New York City,75000,75000,75000
JOHNS HOPKINS UNIVERSITY,Johns Hopkins University,1,1,FY2026Q1,no,17-2081,Environmental Engineers,MD,Gaithersburg,80000,80000,80000
MICHIGAN STATE UNIVERSITY,Michigan State University,1,1,FY2025Q4,no,17-2081,Environmental Engineers,MI,East Lansing,62421,62421,62421
MORGAN STATE UNIVERSITY,Morgan State University,1,1,FY2026Q1,no,17-2081,Environmental Engineers,MD,Baltimore,75000,75000,75000
MS K,"MS&K, Inc.",1,1,FY2025Q4,no,17-2081,Environmental Engineers,VT,Barre,69000,69000,69000
NORTH CAROLINA AGRICULTURAL TECHNICAL STATE UNIVERSITY,North Carolina Agricultural & Technical State University,1,1,FY2025Q4,no,17-2081,Environmental Engineers,NC,Greensboro,62421,62421,62421
NOVA GROUP GBC,"Nova Group, GBC",1,1,FY2026Q1,no,17-2081,Environmental Engineers,NY,New York,72000,72000,72000
OISHII FARM CORPORATION,Oishii Farm Corporation,1,1,FY2025Q4,no,17-2081,Environmental Engineers,NJ,Jersey City,92978,92978,92978
PORT OF SEATTLE,Port of Seattle,1,1,FY2026Q1,no,17-2081,Environmental Engineers,WA,SeaTac,104071,104071,104071
SOUTHERN METHODIST UNIVERSITY,Southern Methodist University,1,1,FY2026Q1,no,17-2081,Environmental Engineers,TX,Dallas,70000,70000,70000
STANTEC CONSULTING SERVICES,Stantec Consulting Services Inc.,1,1,FY2026Q1,no,17-2081,Environmental Engineers,MN,Plymouth,93018,93018,93018
TRIAD NATIONAL SECURITY,"Triad National Security, LLC",1,1,FY2025Q4,no,17-2081,Environmental Engineers,NM,Los Alamos,101405,101405,101405
UCHICAGO ARGONNE,"UChicago Argonne, LLC",1,1,FY2025Q4,no,17-2081,Environmental Engineers,IL,Lemont,70758,70758,70758
UNIVERSITY OF CALIFORNIA BERKELEY,"University of California, Berkeley",1,1,FY2026Q1,no,17-2081,Environmental Engineers,CA,Berkeley,95985,95985,95985
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,"University of California, San Francisco",1,1,FY2026Q1,no,17-2081,Environmental Engineers,CA,San Francisco,112000,112000,112000
UNIVERSITY OF CINCINNATI,UNIVERSITY OF CINCINNATI,1,1,FY2025Q4,no,17-2081,Environmental Engineers,OH,Cincinnati,72120,72120,72120
UNIVERSITY OF ILLINOIS,University of Illinois,1,1,FY2026Q1,no,17-2081,Environmental Engineers,IL,Urbana,62421,62421,62421
W M RICE UNIVERSITY,W.M. Rice University,1,1,FY2025Q4,no,17-2081,Environmental Engineers,TX,Houston,62421,62421,62421
WILSON ENGINEERS,"Wilson Engineers, LLC.",1,1,FY2026Q1,no,17-2081,Environmental Engineers,NV,Reno,92000,92000,92000
WSP USA,WSP USA Inc.,1,1,FY2026Q1,no,17-2081,Environmental Engineers,NC,Raleigh,78166,78166,78166
