employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
ERNST YOUNG U S LLP,Ernst & Young U.S. LLP,15,2,FY2025Q4; FY2026Q1,yes,13-2051,Financial and Investment Analysts,CA; IL; MA; NY; PA,Boston; Cambridge; Chicago; Long Island City; New York; Philadelphia; San Francisco; South Boston,100000,110000,132600
OPEN AVENUES FOUNDATION,Open Avenues Foundation,4,2,FY2025Q4; FY2026Q1,yes,13-2051,Financial and Investment Analysts,IL; NY,Brooklyn; New York; Oaklawn,72779,87838,87838
MACQUARIE HOLDINGS USA,Macquarie Holdings (USA) Inc.,3,2,FY2025Q4; FY2026Q1,yes,13-2051,Financial and Investment Analysts,NY,New York,110000,110000,115000
ADVENTIST HEALTH SYSTEM SUNBELT,"Adventist Health System/Sunbelt, Inc.",2,2,FY2025Q4; FY2026Q1,yes,13-2051,Financial and Investment Analysts,FL,Maitland; Orlando,58489,68192,77896
BANK OF AMERICA N A,BANK OF AMERICA N.A.,2,2,FY2025Q4; FY2026Q1,yes,13-2051,Financial and Investment Analysts,NY,New York,110000,117500,125000
BOLTBOLT,BOLTBOLT LLC,2,2,FY2025Q4; FY2026Q1,yes,13-2051,Financial and Investment Analysts,CA,LOS ANGELES; Los Angeles,72218,72218,72218
KOALA HEALTH,KOALA HEALTH INC.,2,2,FY2025Q4; FY2026Q1,yes,13-2051,Financial and Investment Analysts,MA; NY,Boston; NEW YORK,90000,115000,140000
MAXIM GROUP,Maxim Group LLC,2,2,FY2025Q4; FY2026Q1,yes,13-2051,Financial and Investment Analysts,NY,New York,88000,88000,88000
MOELIS COMPANY GROUP LP,Moelis & Company Group LP,2,2,FY2025Q4; FY2026Q1,yes,13-2051,Financial and Investment Analysts,CA; NY,Los Angeles; New York,110000,117500,125000
SUMMIT PARTNERS LP,Summit Partners LP,2,2,FY2025Q4; FY2026Q1,yes,13-2051,Financial and Investment Analysts,CA; MA,Boston; Menlo Park,150000,155000,160000
GOLDMAN SACHS CO,GOLDMAN SACHS & CO. LLC,7,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,FL; IL; NY; TX,Chicago; Dallas; Miami; New York,72000,102000,125000
BOFA SECURITIES,"BOFA SECURITIES, INC.",5,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,CA; NY,NEW YORK; New York; Palo Alto,115000,150000,200000
BHATIA CO INC CPAS,"BHATIA & CO, INC, CPAS",3,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,SANTA CLARA,92456,92456,92456
LNR PROPERTY PAYROLL,LNR Property Payroll LLC,3,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,AZ; FL,Miami Beach; Pheonix,70000,70000,85000
TOBLUE AVIATION DIGITAL,ToBlue Aviation Digital Inc,3,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NJ,Jersey City,100000,100000,100000
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,3,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,PA,Philadelphia,118000,122425,143222
AMAZON COM SERVICES,Amazon.com Services LLC,2,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY; WA,New York; Seattle,103000,104000,105000
AXON US,"AXON US, CORP.",2,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,NY,New York,87838,87838,87838
CADENZA VENTURES MANAGEMENT COMPANY,CADENZA VENTURES MANAGEMENT COMPANY LLC,2,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,NEW YORK; New York,100000,100000,100000
CASE WESTERN RESERVE UNIVERSITY,Case Western Reserve University,2,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,OH,Cleveland,53988,53988,53988
CLOCKTOWER GROUP L P,"CLOCKTOWER GROUP, L.P.",2,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,Los Angeles; Santa Monica,90000,90000,90000
DATADIRECT NETWORKS,"DataDirect Networks, Inc.",2,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,CA; NY,New York; San Francisco,160000,160000,160000
