employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
AQR CAPITAL MANAGEMENT,"AQR Capital Management, LLC",6,2,FY2025Q4; FY2026Q1,yes,13-2099,Financial Quantitative Analysts,CT,Greenwich,169000,182500,210000
VERITION GROUP,Verition Group LLC,5,2,FY2025Q4; FY2026Q1,yes,13-2099,Financial Quantitative Analyst; Financial Quantitative Analysts,CT,Greenwich,170000,175000,270400000
ENGIE ENERGY MARKETING NA,"ENGIE Energy Marketing NA, Inc.",2,2,FY2025Q4; FY2026Q1,yes,13-2099,Financial Quantitative Analysts,TX,Houston,113900,113900,113900
INDUSTRIAL AND COMMERCIAL BANK OF CHINA USA N A,Industrial and Commercial Bank of China (USA) N.A.,2,2,FY2025Q4; FY2026Q1,yes,13-2099,"Financial Specialists, All Other",NY,New York,73195,76598,80000
OPTIVER SERVICES US,Optiver Services US LLC,2,2,FY2025Q4; FY2026Q1,yes,13-2099,Financial Quantitative Analysts,NY; TX,Austin; New York,175000,187500,200000
SG AMERICAS SECURITIES,"SG Americas Securities, LLC",2,2,FY2025Q4; FY2026Q1,yes,13-2099,Financial Quantitative Analysts,NY,New York,175000,225000,275000
STATE STREET BANK AND TRUST COMPANY,State Street Bank and Trust Company,5,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,MA,Boston; Burlington; Cambridge,84500,91754,160000
BANK OF CHINA,Bank of China,4,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NY,New York,84566,93611,100000
BANK OF AMERICA N A,BANK OF AMERICA N.A.,3,1,FY2025Q4,no,13-2099,"Financial Quantitative Analysts; Fraud Examiners, Investigators and Analysts",IL; NJ; NY,Chicago; JERSEY CITY; New York,125000,125000,140000
CTC TRADING GROUP,"CTC Trading Group, LLC",2,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,IL,Chicago,200000,200000,200000
DIRECT ACCESS USA,Direct Access USA LLC,2,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,IL,Chicago,60000,390000,720000
ENTAGILE,"ENTAGILE, LLC",2,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,DC,WASHINGTON,88000,92000,96000
FOOD ENTREPRENEUR ACCELERATOR STARTUP TERMINAL,Food Entrepreneur Accelerator & Startup Terminal LLC,2,1,FY2025Q4,no,13-2099,"Financial Specialists, All Other",MI,INKSTER,62171,62171,62171
HILCO DILIGENCE SERVICES,"Hilco Diligence Services, LLC",2,1,FY2025Q4,no,13-2099,"Financial Specialists, All Other",NY,New York,108000,108000,108000
AIG PC GLOBAL SERVICES,"AIG PC Global Services, Inc.",1,1,FY2026Q1,no,13-2099,Financial Quantitative Analysts,NY,New York,98900,98900,98900
ALAN B LANCZ ASSOCIATES,Alan B Lancz & Associates INC,1,1,FY2026Q1,no,13-2099,"Financial Specialists, All Other",OH,Toledo,50000,50000,50000
AMAZON COM SERVICES,Amazon.com Services LLC,1,1,FY2026Q1,no,13-2099,Financial Quantitative Analysts,CA,Sunnyvale,90010,90010,90010
ARIEL INVESTMENTS,Ariel Investments LLC,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NY,New York,150000,150000,150000
AVIS BUDGET CAR RENTAL,"Avis Budget Car Rental, LLC",1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NJ,Parsippany,75000,75000,75000
BDO CAPITAL ADVISORS,"BDO Capital Advisors, LLC",1,1,FY2026Q1,no,13-2099,Financial Quantitative Analysts,MS,Ridgeland,75000,75000,75000
CHEN KUANG USA,Chen Kuang USA Inc,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NY,Ozone Park,87360,87360,87360
DEMARCHE ASSOCIATES,"DeMarche Associates, Inc.",1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,KS,Overland Park,50000,50000,50000
DUMAC,"DUMAC, Inc.",1,1,FY2025Q4,no,13-2099,"Financial Specialists, All Other",NC,Durham,110000,110000,110000
EAST WEST BANK,East West Bank,1,1,FY2026Q1,no,13-2099,"Financial Specialists, All Other",NY,New York,81223,81223,81223
FEDERAL HOME LOAN BANK OF TOPEKA,FEDERAL HOME LOAN BANK OF TOPEKA,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,KS,Topeka,127336,127336,127336
FOREST CREEK CAPITAL,Forest Creek Capital LLC,1,1,FY2026Q1,no,13-2099,Financial Quantitative Analysts,TX,McKinney,115000,115000,115000
FRESH GREEN,"Fresh Green, LLC",1,1,FY2025Q4,no,13-2099,"Financial Specialists, All Other",CA,San Francisco,70000,70000,70000
GEMINI COMPANY SERVICES,"Gemini Company Services, LLC",1,1,FY2026Q1,no,13-2099,Financial Quantitative Analysts,NY,New York,90000,90000,90000
GOLDMAN SACHS CO,GOLDMAN SACHS & CO. LLC,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,TX,Dallas,103400,103400,103400
HECHALOU US,Hechalou US LLC,1,1,FY2026Q1,no,13-2099,Financial Quantitative Analysts,CA,Lakewood,65000,65000,65000
HEDGEDEMIA CAPITAL,Hedgedemia Capital LLC,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NJ,JERSEY CITY,73195,73195,73195
HUDSON COVE CAPITAL MANAGEMENT,"Hudson Cove Capital Management, LLC",1,1,FY2026Q1,no,13-2099,Financial Quantitative Analysts,NJ,Jersey City,140000,140000,140000
IHS GLOBAL,IHS Global Inc.,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NY,New York,82471,82471,82471
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD NY BRANCH,"Industrial and Commercial Bank of China Ltd., NY Branch",1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NY,New York,75000,75000,75000
JACOBS ENGINEERING GROUP,Jacobs Engineering Group Inc.,1,1,FY2025Q4,no,13-2099,"Financial Specialists, All Other",NC,Cary,91911,91911,91911
JPMORGAN CHASE CO,JPMorgan Chase & Co.,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NY,New York,160000,160000,160000
KEYSTONE EDUCATION,"Keystone Education, Inc.",1,1,FY2025Q4,no,13-2099,"Financial Specialists, All Other",CA,Diamond Bar,72800,72800,72800
MACQUARIE AMERICA HOLDINGS,Macquarie America Holdings Inc.,1,1,FY2026Q1,no,13-2099,Financial Quantitative Analysts,NY,New York,73195,73195,73195
MACQUARIE GLOBAL SERVICES USA,Macquarie Global Services (USA) LLC,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NY,New York,95000,95000,95000
MAVEN SECURITIES US LIMITED,Maven Securities US Limited,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,IL,Chicago,120000,120000,120000
MINISO DEPOT CA,"Miniso Depot CA, Inc.",1,1,FY2026Q1,no,13-2099,"Financial Specialists, All Other",CA,West Covina,70000,70000,70000
MINT FUNDING,"MINT FUNDING, INC.",1,1,FY2026Q1,no,13-2099,Financial Quantitative Analysts,NJ,Secaucus,73195,73195,73195
NH INVESTMENT SECURITIES AMERICA,"NH Investment & Securities America, Inc.",1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NY,New York,86000,86000,86000
OBENTECH CONSULTING US,Obentech Consulting US Inc,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,CA,Irvine,64440,64440,64440
OBJECUTIVE,"Objecutive, Inc.",1,1,FY2025Q4,no,13-2099,"Financial Specialists, All Other",NJ,Fort Lee,139020,139020,139020
OPEN AVENUES FOUNDATION,Open Avenues Foundation,1,1,FY2025Q4,no,13-2099,Financial Quantitative Analysts,NY,New York,73195,73195,73195
