employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
EVERGREEN EMPLOYEE MANAGEMENT CO,Evergreen Employee Management Co.,2,2,FY2025Q4; FY2026Q1,yes,13-1071,Human Resources Specialists,CA,San Francisco,90000,90000,90000
PEOPLE TECH GROUP,"People Tech Group, Inc",2,1,FY2025Q4,no,13-1071,Human Resources Specialists,WA,Redmond,62400,62400,62400
RN EXPRESS STAFFING REGISTRY,"RN Express Staffing Registry, LLC",2,1,FY2025Q4,no,13-1071,Human Resources Specialists,NY,New York,62400,62400,62400
8 TUXEDOS,8 TUXEDOS INC.,1,1,FY2026Q1,no,13-1071,Human Resources Specialists,NY,NEW YORK,75000,75000,75000
AHRC NYC,AHRC NYC,1,1,FY2025Q4,no,13-1071,Human Resources Specialists,NY,New York,58200,58200,58200
ALTERNATIVE HEALTHCARE VENTURES IN AMERICA STAFFING SOLUTIONS,ALTERNATIVE HEALTHCARE VENTURES IN AMERICA STAFFING SOLUTIONS LLC,1,1,FY2025Q4,no,13-1071,Human Resources Specialists,NJ,Jersey City,58157,58157,58157
ALTURA STONE AND TILE,"Altura Stone and Tile, Inc",1,1,FY2025Q4,no,13-1071,Human Resources Specialists,NJ,Fairfield,58157,58157,58157
ARTIFINT TECHNOLOGIES,ARTIFINT TECHNOLOGIES LLC,1,1,FY2025Q4,no,13-1071,Human Resources Specialists,CA,SAN CARLOS,67954,67954,67954
AVENUE REALTY,"Avenue Realty, Inc.",1,1,FY2025Q4,no,13-1071,Human Resources Specialists,CO,Vail,52000,52000,52000
BRIGHT SIDE BROOKLYN,Bright Side Brooklyn LLC,1,1,FY2025Q4,no,13-1071,Human Resources Specialists,NY,Brooklyn,58157,58157,58157
BYTE WAVE TECHNOLOGIES,BYTE WAVE TECHNOLOGIES INC,1,1,FY2026Q1,no,13-1071,Human Resources Specialists,TN,KNOXVILLE,47840,47840,47840
CHERRY TECHNOLOGIES,"Cherry Technologies, Inc.",1,1,FY2025Q4,no,13-1071,Human Resources Specialists,MA,Watertown,88000,88000,88000
COMRISE TECHNOLOGY,"Comrise Technology, Inc.",1,1,FY2025Q4,no,13-1071,Human Resources Specialists,NJ,Edison,58157,58157,58157
COSMOS GRANITE WEST,Cosmos Granite West LLC,1,1,FY2026Q1,no,13-1071,Human Resources Specialists,UT,Salt Lake City,48298,48298,48298
CREATIVE TEAM,Creative Team LLC,1,1,FY2025Q4,no,13-1071,Human Resources Specialists,TX,Houston,60000,60000,60000
CREDO SEMICONDUCTOR,"Credo Semiconductor, Inc.",1,1,FY2026Q1,no,13-1071,Human Resources Specialists,CA,San Jose,170000,170000,170000
DAVEY BICKFORD USA,Davey Bickford USA Inc.,1,1,FY2026Q1,no,13-1071,Human Resources Specialists,UT,Salt Lake City,48298,48298,48298
EASTIN MANAGEMENT,Eastin Management Inc.,1,1,FY2025Q4,no,13-1071,Human Resources Specialists,CA,Rancho Cucamonga,60000,60000,60000
ESSEN CARE MANAGEMENT,"Essen Care Management, LLC",1,1,FY2025Q4,no,13-1071,Human Resources Specialists,NY,Bronx,71448,71448,71448
HEALTHCARE ARIZONA,Healthcare Arizona LLC,1,1,FY2025Q4,no,13-1071,Human Resources Specialists,AZ,Goodyear,50000,50000,50000
HEYTEA USA,Heytea USA Inc.,1,1,FY2025Q4,no,13-1071,Human Resources Specialists,NY,New York,58157,58157,58157
HJZ BOSTON,HJZ BOSTON LLC,1,1,FY2025Q4,no,13-1071,Human Resources Specialists,MA,Allston,71000,71000,71000
HRCAP,"HRCap, Inc.",1,1,FY2025Q4,no,13-1071,Human Resources Specialists,NJ,Ridgefield Park,74194,74194,74194
JACKSON STREET YOUTH SERVICES,"Jackson Street Youth Services, Inc.",1,1,FY2025Q4,no,13-1071,Human Resources Specialists,OR,Corvallis,54891,54891,54891
JD LOGISTICS UNITED STATES COMPANY,JD LOGISTICS UNITED STATES COMPANY,1,1,FY2025Q4,no,13-1071,Human Resources Specialists,NJ,PERTH AMBOY,72000,72000,72000
