employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
VASTEK,Vastek Inc,24,2,FY2025Q4; FY2026Q1,yes,17-2112,Manufacturing Engineers; Validation Engineers,CA; FL; IN; MA; NC; NJ; NY; OH; PA; UT,Boston; Danvers; Greendale; Holly springs; Irvine; Lancaster; Lebanon; New Albany; Palm Beach Gardens; Pleasanton; Rensselaer; Salt Lake City; San Diego; San Jose; Summit; Swiftwater; Whippany,70720,81037,95139
AMAZON DATA SERVICES,"Amazon Data Services, Inc",21,2,FY2025Q4; FY2026Q1,yes,17-2112,Industrial Engineers,AZ; GA; IN; MS; NC; OH; OR; PA; TX; VA,Atlanta; Canton; Charlotte; Columbus; Dallas; Fredericksburg; Herndon; Mesa; New Albany; Philadelphia; South Bend; Stafford; UMATILLA,71053,130000,140000
TESLA,"Tesla, Inc.",7,2,FY2025Q4; FY2026Q1,yes,17-2112,Industrial Engineers; Manufacturing Engineers; Validation Engineers,CA; NV,Fremont; Palo Alto; Sparks,90000,115841,120000
QUANTA MANUFACTURING NASHVILLE,"Quanta Manufacturing Nashville, LLC",6,2,FY2025Q4; FY2026Q1,yes,17-2112,Industrial Engineers,TN,La Vergne,76544,90500,108000
AMAZON COM SERVICES,Amazon.com Services LLC,5,2,FY2025Q4; FY2026Q1,yes,17-2112,Industrial Engineers,MA; TX; VA; WA,Arlington; Austin; Bellevue; Boston; Seattle,99000,115000,140000
ELIQUENT LIFE SCIENCES,Eliquent Life Sciences,5,2,FY2025Q4; FY2026Q1,yes,17-2112,Validation Engineers,DC; MA,Framingham; Washington,78146,82451,90126
KARTECH SOLUTIONS,"Kartech Solutions, Inc.",5,2,FY2025Q4; FY2026Q1,yes,17-2112,Manufacturing Engineers,TX,Austin,69389,72000,72000
ST JUDE MEDICAL CARDIOLOGY DIVISION,"St. Jude Medical, Cardiology Division, Inc.",5,2,FY2025Q4; FY2026Q1,yes,17-2112,Industrial Engineers; Validation Engineers,CA; MN,PLEASANTON; Pleasanton; Plymouth; Saint Paul; Sunnyvale,78000,95000,99000
KATALYST HEALTHCARES LIFE SCIENCES,KATALYST HEALTHCARES & LIFE SCIENCES INC.,4,2,FY2025Q4; FY2026Q1,yes,17-2112,Manufacturing Engineers; Validation Engineers,CT; MA; NJ; NY,EAST HANOVER; MANSFIELD; NORTH HAVEN; TROY,79685,81546,85904
VALIDATION ASSOCIATES,Validation Associates LLC,4,2,FY2025Q4; FY2026Q1,yes,17-2112,Validation Engineers,CA; NJ; NY,Clifton Park; Cranbury; East Greenbush; Foster City,81037,90293,97760
