employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
ODOO,"Odoo, Inc.",7,2,FY2025Q4; FY2026Q1,yes,13-1161,Market Research Analysts and Marketing Specialists,CA,Brisbane; San Diego,73100,89962,140000
MEDITERRANEAN SHIPPING COMPANY USA,"Mediterranean Shipping Company (USA), Inc.",3,2,FY2025Q4; FY2026Q1,yes,13-1161,Market Research Analysts and Marketing Specialists,FL; IL; SC,Chicago; Miami; Mt. Pleasant,46000,66435,75421
ALPENCAFE,ALPENCAFE LLC,2,2,FY2025Q4; FY2026Q1,yes,13-1161,Market Research Analysts and Marketing Specialists,FL,Pembroke Pines,50107,50107,50107
YOUNG RUBICAM,Young & Rubicam LLC,2,2,FY2025Q4; FY2026Q1,yes,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,67000,72500,78000
S PLATFORM,S-Platform LLC,4,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,Englewood Cliffs,61797,61797,61797
ASSYRIAN UNIVERSAL ALLIANCE FOUNDATION,Assyrian Universal Alliance Foundation,3,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,IL,Lincolnwood,49754,49754,56160
DOMINO MARKETING AGENCY,Domino Marketing Agency Inc.,3,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,FL,Miami,60000,60000,60000
NY FAN TUAN,NY FAN TUAN INC.,3,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,OH,Columbus,55200,55200,55200
SHIPCO TRANSPORT,Shipco Transport Inc.,3,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,ELIZABETH; Elizabeth; HOBOKEN,61880,61880,61880
UNIUNI LOGISTICS,UNIUNI LOGISTICS INC.,3,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,CARTERET; KEARNY,60174,60174,61797
AMAZON COM SERVICES,Amazon.com Services LLC,2,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA; WA,San Francisco; Seattle,65582,82791,100000
BBDOTQ USA,"BBDOTQ USA, Inc.",2,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,Fort Lee,61797,61797,61797
CHINA TELECOM AMERICAS CORPORATION,China Telecom (Americas) Corporation,2,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA; VA,Herndon; San Jose,65000,67392,69784
CHUANUP,ChuanUp Inc.,2,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,OR,Beaverton,58947,58947,58947
COWAY USA,COWAY USA INC,2,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,LOS ANGELES,79000,79000,79000
E K SUNRISE,E&K Sunrise Inc,2,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,San Bernardino,47840,47840,47840
F F FINE WINES INTERNATIONAL,F&F FINE WINES INTERNATIONAL INC.,2,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,FL,MIAMI; Miami,60000,60000,60000
FOXX DEVELOPMENT,FOXX DEVELOPMENT INC,2,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,IRVINE,53000,56500,60000
FY INTERNATIONAL,FY International LLC,2,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NH,Salem,60570,60570,60570
GEN,"Gen., LLC",2,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,PA,Gladwyne,50000,50000,50000
GLOBAL MARKET,"Global Market, LLC",2,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,WI,Madison,47840,47840,47840
GROUPM WORLDWIDE,"GroupM Worldwide, LLC",2,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Los Angeles; Playa Vista,71007,71007,71007
