employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
RENSSELAER POLYTECHNIC INSTITUTE,Rensselaer Polytechnic Institute,4,2,FY2025Q4; FY2026Q1,yes,17-2131,Materials Engineers,CA; NY,Santa Clara; Troy,58656,58656,61800
APPLIED MATERIALS,"Applied Materials, Inc",2,1,FY2026Q1,no,17-2131,Materials Engineers,AZ,Phoenix,94182,94182,94182
THE UNIVERSITY OF CHICAGO,The University of Chicago,2,1,FY2026Q1,no,17-2131,Materials Engineers,IL,Chicago,64000,72000,80000
UNIVERSITY OF MICHIGAN,University of Michigan,2,1,FY2026Q1,no,17-2131,Materials Engineers,MI,Ann Arbor; Dearborn,62232,62232,62232
AIR CRUISERS COMPANY,AIR CRUISERS COMPANY LLC,1,1,FY2025Q4,no,17-2131,Materials Engineers,NJ,Wall Township,91500,91500,91500
BLUESHIFT MATERIALS,Blueshift Materials Inc.,1,1,FY2026Q1,no,17-2131,Materials Engineers,MA,Spencer,89110,89110,89110
COOLCAD ELECTRONICS,"CoolCAD Electronics, Inc.",1,1,FY2025Q4,no,17-2131,Materials Engineers,MD,Greenbelt,105000,105000,105000
DICKSON TESTING COMPANY,"Dickson Testing Company, Inc.",1,1,FY2026Q1,no,17-2131,Materials Engineers,CA,South Gate,103000,103000,103000
DURAND GLASS MANUFACTURING COMPANY,"Durand Glass Manufacturing Company, LLC",1,1,FY2025Q4,no,17-2131,Materials Engineers,NJ,Millville,80000,80000,80000
E E CO,"E & E Co., Ltd.",1,1,FY2025Q4,no,17-2131,Materials Engineers,CA,Fremont,94474,94474,94474
ELERYC,"Eleryc, Inc.",1,1,FY2026Q1,no,17-2131,Materials Engineers,CA,Campbell,120000,120000,120000
FOSTER,"Foster, LLC",1,1,FY2026Q1,no,17-2131,Materials Engineers,CT,Putnam,88774,88774,88774
GTR SOLUTIONS,"GTR Solutions, Inc.",1,1,FY2025Q4,no,17-2131,Materials Engineers,CA,Corona,74880,74880,74880
HOUNEN SOLAR AMERICA,Hounen Solar America Inc.,1,1,FY2025Q4,no,17-2131,Materials Engineers,SC,Orangeburg,90000,90000,90000
INNOVO CONSTRUCTION,"Innovo Construction, LLC",1,1,FY2025Q4,no,17-2131,Materials Engineers,DC,Washington,90000,90000,90000
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,Iowa State University of Science and Technology,1,1,FY2026Q1,no,17-2131,Materials Engineers,IA,Ames,58656,58656,58656
LAM RESEARCH CORPORATION,Lam Research Corporation,1,1,FY2025Q4,no,17-2131,Materials Engineers,CA,Fremont,108160,108160,108160
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Massachusetts Institute of Technology,1,1,FY2025Q4,no,17-2131,Materials Engineers,MA,Cambridge,71000,71000,71000
NAVIMOW,Navimow Inc.,1,1,FY2025Q4,no,17-2131,Materials Engineers,NH,Nashua,88260,88260,88260
NEURALINK,Neuralink Corp.,1,1,FY2026Q1,no,17-2131,Materials Engineers,CA,Fremont,95000,95000,95000
QORVO US,"Qorvo US, INC.",1,1,FY2025Q4,no,17-2131,Materials Engineers,NC,Greensboro,108605,108605,108605
SIRENOPT,SirenOpt Inc.,1,1,FY2025Q4,no,17-2131,Materials Engineers,CA,Oakland,110000,110000,110000
STEEL DYNAMICS SOUTHWEST,"Steel Dynamics Southwest, LLC",1,1,FY2025Q4,no,17-2131,Materials Engineers,TX,Sinton,75000,75000,75000
SYSTEMS PROTECTION GROUP US,Systems Protection Group US LLC,1,1,FY2026Q1,no,17-2131,Materials Engineers,PA,Exton,87067,87067,87067
THE PENNSYLVANIA STATE UNIVERSITY,The Pennsylvania State University,1,1,FY2026Q1,no,17-2131,Materials Engineers,PA,University Park,64800,64800,64800
THE UNIVERSITY OF TEXAS AT ARLINGTON,The University of Texas at Arlington,1,1,FY2025Q4,no,17-2131,Materials Engineers,TX,Arlington,80000,80000,80000
UNIVERSITY OF HOUSTON,University of Houston,1,1,FY2026Q1,no,17-2131,Materials Engineers,TX,Houston,56867,56867,56867
UNIVERSITY OF LOUISVILLE LOUISVILLE KY,"University of Louisville - Louisville, KY",1,1,FY2025Q4,no,17-2131,Materials Engineers,KY,Ghent,91520,91520,91520
UNIVERSITY OF SOUTH CAROLINA,University of South Carolina,1,1,FY2025Q4,no,17-2131,Materials Engineers,SC,Columbia,56867,56867,56867
