employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
SATYAM VENTURE ENGINEERING SERVICES PVT,Satyam Venture Engineering Services Pvt. Ltd.,10,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,CA; MI,Auburn Hills; Farmington Hills; Irvine; Newark; Plymouth; Washington,77293,79000,102000
CYIENT,"Cyient, Inc.",6,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,CT; GA; WA,Alpharetta; Bothell; EAST HARTFORD; East Hartford,72000,84000,89000
CORE TECH CONSTRUCTION CORPORATION,CORE TECH CONSTRUCTION CORPORATION,5,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,GU,TAMUNING,48000,55000,120640000
GOKEN AMERICA,"Goken America, LLC",5,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,OH,Dublin,68557,101629,101629
TESLA,"Tesla, Inc.",5,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,CA; NV; TX,Austin; Fremont; Palo Alto; Sparks,90000,107000,129540
CARNEGIE MELLON UNIVERSITY,Carnegie Mellon University,4,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,PA,Pittsburgh,57117,60704,63000
INTELLECTT,Intellectt Inc,4,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,CA; TX,HOUSTON; San Jose; Santa Clara,91520,108160,124800
SEGULA TECHNOLOGIES USA,"SEGULA TECHNOLOGIES USA, INC.",4,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,MI; NY,Auburn Hills; Plattsburgh,77792,84345,85490
VIBRANT AMERICA,Vibrant America LLC,4,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,CA,Santa Clara,102336,103802,105269
AKKODIS,"Akkodis, Inc.",3,2,FY2025Q4; FY2026Q1,yes,17-2141,Automotive Engineers,MI,Auburn Hills,79040,79040,87360
GLOBAL ECONOMIC ADVANTAGE,Global Economic Advantage Inc.,3,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,OR; TX,HOUSTON; Houston; Portland,81474,82680,82680
ALFA TECH CONSULTING ENGINEERS,"Alfa Tech Consulting Engineers, Inc.",2,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,CA,Chino; Monrovia,91000,91500,92000
ALTEN TECHNOLOGY USA,"Alten Technology USA, Inc.",2,2,FY2025Q4; FY2026Q1,yes,17-2141,Automotive Engineers; Mechanical Engineers,MI,Auburn Hills,77792,77792,77792
CREATIVE SYNERGIES GROUP,"CREATIVE SYNERGIES GROUP, LLC.,",2,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,MI,STERLING HEIGHTS; Sterling Heights,78000,78000,78000
HL MANDO AMERICA CORPORATION,HL Mando America Corporation,2,2,FY2025Q4; FY2026Q1,yes,17-2141,Automotive Engineers; Mechanical Engineers,GA; MI,Hogansville; Novi,76794,81237,85680
LAWRENCE LIVERMORE NATIONAL SECURITY,"Lawrence Livermore National Security, LLC",2,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,CA,Livermore; Sherman Oaks,128916,128916,128916
RRC POWER AND ENERGY,"RRC Power and Energy, LLC",2,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,GA; TX,Augusta; Round Rock,100000,100000,100000
THERMO FISHER SCIENTIFIC,"Thermo Fisher Scientific, Inc.",2,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,NC; NJ,Asheville; Ridgefield,67766,74599,81432
TRI CON CORPORATION,Tri-Con Corporation,2,2,FY2025Q4; FY2026Q1,yes,17-2141,Mechanical Engineers,GU,HARMON; Tamuning,47445,48922,50400
WESTERN DIGITAL TECHNOLOGIES,"Western Digital Technologies, Inc.",8,1,FY2025Q4,no,17-2141,Mechanical Engineers,CA,Berkeley; Foster City; Irvine; San Jose,77314,102336,102336
HCL AMERICA,HCL AMERICA INC,7,1,FY2025Q4,no,17-2141,Mechanical Engineers,CA; IL; NY; TX,Austin; Irvine; North Chicago; San Diego; San Jose; Tarrytown,77336,97719,105269
CY9,CY9 INC.,4,1,FY2025Q4,no,17-2141,Mechanical Engineers,NC; TX,GREENSBORO; RED OAK,73757,73757,77626
TECHNOSOFT SERVICES,"Technosoft Services, Inc.",4,1,FY2025Q4,no,17-2141,Mechanical Engineers,TX; VA,Austin; Houston; Virginia Beach; Virginia Beach City,90000,92500,100000
TWIN PEAKS,Twin Peaks Inc,4,1,FY2025Q4,no,17-2141,Mechanical Engineers,NY,L.I.C.,81500,81500,81500
AFRIDI ASSOCIATES,Afridi Associates,3,1,FY2026Q1,no,17-2141,Mechanical Engineers,NY,Melville,81432,81432,81432
CARESOFT GLOBAL TECHNOLOGIES,Caresoft Global Technologies Inc,3,1,FY2025Q4,no,17-2141,Mechanical Engineers,AZ; PA; WI,New Holland; Phoenix; Racine,72904,74460,80000
EPITEC,"Epitec, Inc.",3,1,FY2025Q4,no,17-2141,Mechanical Engineers,IL; MI,Pontiac; Troy; Warren,84760,85280,92227
LER TECHFORCE,"LER TechForce, LLC",3,1,FY2026Q1,no,17-2141,Automotive Engineers; Mechanical Engineers,MI,Ann Arbor; Auburn Hills; Van Buren Township,88795,93600,97760
MAGNA ELECTRONICS,"Magna Electronics, Inc.",3,1,FY2026Q1,no,17-2141,Mechanical Engineers,MI,Auburn Hills,77792,77792,77792
MICRO PRECISION CALIBRATION,"Micro Precision Calibration, Inc.",3,1,FY2026Q1,no,17-2141,Mechanical Engineers,CA; CO,Colorado Springs; Grass Valley,62317,73715,83866
ONWARD TECHNOLOGIES,ONWARD TECHNOLOGIES INC,3,1,FY2025Q4,no,17-2141,Mechanical Engineers,IL; MI,Decatur; Peoria; Wixom,71219,77792,77896
PURDUE UNIVERSITY,Purdue University,3,1,FY2025Q4,no,17-2141,Mechanical Engineers,IN,West Lafayette,60000,60000,66950
STROM AVIATION,STROM AVIATION INC,3,1,FY2026Q1,no,17-2141,Mechanical Engineers,MO; WV,BRIDGEPORT; KANSAS,73694,75858,75858
TECHNOSOFT ENGINEERING,"Technosoft Engineering, Inc.",3,1,FY2025Q4,no,17-2141,Mechanical Engineers,IL; TX,Dallas; Rockdale,73400,73400,74000
WM ENGINEERING SERVICES,"WM Engineering Services, LLC",3,1,FY2025Q4,no,17-2141,Mechanical Engineers,GU,Tamuning,47445,47445,47445
AAA UNITED STATES,"AAA UNITED STATES, INC",2,1,FY2025Q4,no,17-2141,Mechanical Engineers,MN; TX,DULUTH; RED OAK,68640,71198,73757
ADVANCED CONTAINMENT SYSTEMS,"ADVANCED CONTAINMENT SYSTEMS, INC.",2,1,FY2025Q4,no,17-2141,Mechanical Engineers,TX,HOUSTON,95000,95000,95000
AKSAI,AKSAI LLC,2,1,FY2026Q1,no,17-2141,Mechanical Engineers,IL,East Peoria,77896,77896,77896
APPLIED MATERIALS,"Applied Materials, Inc",2,1,FY2026Q1,no,17-2141,Mechanical Engineers,AZ,Phoenix,90835,90835,90835
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,Board of Regents of the University of Nebraska,2,1,FY2026Q1,no,17-2141,Mechanical Engineers,NE,Lincoln,64085,64324,64563
CARESOFT TECHNOLOGIES,Caresoft Technologies Inc,2,1,FY2025Q4,no,17-2141,Mechanical Engineers,MI,Livonia,77792,82468,87143
DANA AUTOMOTIVE SYSTEMS GROUP,"Dana Automotive Systems Group, LLC",2,1,FY2026Q1,no,17-2141,Automotive Engineers,OH,Maumee,67582,72650,77719
DERM COSMETICS LABS,"Derm Cosmetics Labs, Inc.",2,1,FY2026Q1,no,17-2141,Mechanical Engineers,AR,West Memphis,71614,71614,71614
DIVERSIFIED SERVICES NETWORK,"Diversified Services Network, Inc.",2,1,FY2025Q4,no,17-2141,Mechanical Engineers,IL; IN,Lafayette; Morton,77896,80548,83200
EATON CORPORATION,Eaton Corporation,2,1,FY2025Q4,no,17-2141,Mechanical Engineers,NC; VA,Raleigh; Richmond,81432,81666,81900
FII USA,"Fii USA, Inc.",2,1,FY2026Q1,no,17-2141,Mechanical Engineers,WI,Mt. Pleasant,80000,80000,80000
FUTRAN SOLUTIONS,"Futran Solutions, Inc.",2,1,FY2026Q1,no,17-2141,Mechanical Engineers,NJ,Edison,81432,81432,81432
HARRIS MOUNTAIN WEST,"HARRIS MOUNTAIN WEST, LLC",2,1,FY2025Q4,no,17-2141,Mechanical Engineers,AZ; CA,CONCORD; GILBERT,74547,88088,101629
INTERTEK TESTING SERVICES PHILIPPINES,Intertek Testing Services Philippines,2,1,FY2026Q1,no,17-2141,Mechanical Engineers,GU,Agat,47445,47445,47445
JEFFERSON SCIENCE ASSOCIATES,"JEFFERSON SCIENCE ASSOCIATES, LLC",2,1,FY2026Q1,no,17-2141,Mechanical Engineers,VA,NEWPORT NEWS; Newport News,94713,94718,94723
KIMBERLEY AG CONSULTING,Kimberley Ag Consulting LLC,2,1,FY2025Q4,no,17-2141,Mechanical Engineers,IA,Maxwell,74693,74693,74693
MEILBERT DE VERA LOPEZ,Meilbert De Vera Lopez,2,1,FY2025Q4,no,17-2141,Mechanical Engineers,GU,Yigo,52000,52000,52000
NORTHWESTERN UNIVERSITY,Northwestern University,2,1,FY2025Q4,no,17-2141,Mechanical Engineers,IL,Evanston,61008,61008,61008
NTESS,NTESS LLC,2,1,FY2026Q1,no,17-2141,Mechanical Engineers,CA,LIVERMORE,110000,110000,110000
NYX,NYX LLC,2,1,FY2025Q4,no,17-2141,Mechanical Engineers,MI,Plymouth,77792,79896,82000
ONEH2,"OneH2, Inc.",2,1,FY2025Q4,no,17-2141,Mechanical Engineers,NC,Longview,70000,70000,70000
RECARO AIRCRAFT SEATING AMERICAS,"RECARO Aircraft Seating Americas, LLC",2,1,FY2026Q1,no,17-2141,Mechanical Engineers,TX,Fort Worth,73757,78149,82542
SCHLUMBERGER TECHNOLOGY CORPORATION,Schlumberger Technology Corporation,2,1,FY2025Q4,no,17-2141,Mechanical Engineers,TX,Houston; Rosharon,90500,108950,127400
SHOCKWAVE MEDICAL,"Shockwave Medical, Inc.",2,1,FY2025Q4,no,17-2141,Mechanical Engineers,CA,Santa Clara,126740,128489,130239
SOURCE ENGINEERING SERVICES,SOURCE ENGINEERING SERVICES,2,1,FY2025Q4,no,17-2141,Mechanical Engineers,CA,San Jose,105269,105269,105269
STV INCORPORATED,STV Incorporated,2,1,FY2026Q1,no,17-2141,Mechanical Engineers,MA; NY,Boston; New York,81432,84466,87500
TATA TECHNOLOGIES,"Tata Technologies, Inc.",2,1,FY2025Q4,no,17-2141,Mechanical Engineers,IL; ND,Bismarck; Chillicothe,85000,89040,93080
A D E SYSTEMS,A.D.E. Systems Inc.,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,NY,"Freeport, NY",81432,81432,81432
ABSOLENT,Absolent Inc.,1,1,FY2026Q1,no,17-2141,Mechanical Engineers,NC,Raleigh,75858,75858,75858
AERO SUPPORT GROUP,"Aero Support Group, ""LLC""",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,FL,Sanford,71781,71781,71781
AEROSAPIEN TECHNOLOGIES,AEROSAPIEN TECHNOLOGIES LLC,1,1,FY2026Q1,no,17-2141,Mechanical Engineers,TX,Richardson,80000,80000,80000
AIRPORT DESIGN CONSULTANTS,"Airport Design Consultants, Inc.",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,PA,Philadelphia,82160,82160,82160
ALPINE ARMORING,Alpine Armoring Inc.,1,1,FY2026Q1,no,17-2141,Mechanical Engineers,TX,Dallas,75000,75000,75000
ALTA AERO TECHNIC,Alta Aero Technic LLC,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,MO,Kansas City,73694,73694,73694
ALTAIR ENGINEERING,"ALTAIR ENGINEERING, INC.",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,MI,Troy,77792,77792,77792
ALTAIR PRODUCTDESIGN,"Altair ProductDesign, Inc.",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,MI,Auburn Hills,91520,91520,91520
AMANDA MANUFACTURING,Amanda Manufacturing LLC,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,MI,Livonia,77792,77792,77792
AMAZON DATA SERVICES,"Amazon Data Services, Inc.",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,VA,Herndon,135000,135000,135000
AMERI SOURCE SPECIALTY PRODUCTS,"Ameri-Source Specialty Products, Inc.",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,PA,Bethel Park,74006,74006,74006
AMS HELI DESIGN,AMS Heli Design LLC,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,TX,Denison,72259,72259,72259
ANNA YOUNG ASSOCIATES,Anna Young Associates,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,NY,FREEPORT,79040,79040,79040
AO RACING,AO Racing LLC,1,1,FY2025Q4,no,17-2141,Automotive Engineers,IL,St. Charles,85000,85000,85000
APPLIED MANUFACTURING,"Applied Manufacturing, LLC",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,CA,RANCHO SANTA MARGARITA,86000,86000,86000
APTITUDE SOLUTION,Aptitude Solution Inc.,1,1,FY2026Q1,no,17-2141,Mechanical Engineers,GA,Atlanta,80850,80850,80850
ARCADIS U S,"Arcadis U.S., Inc.",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,NC,Raleigh,81016,81016,81016
ARCHER AVIATION,Archer Aviation Inc.,1,1,FY2026Q1,no,17-2141,Mechanical Engineers,CA,San Jose,162000,162000,162000
ARCOLOGY,Arcology Inc.,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,CA,Oakland,105000,105000,105000
ASOLAR TECHNOLOGIES,"Asolar Technologies, Inc.",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,CA,Del Rey Oaks,97115,97115,97115
AUST DEVELOPMENT,"AuST Development, LLC",1,1,FY2026Q1,no,17-2141,Mechanical Engineers,CA,Mountain View,117000,117000,117000
AUTOLIV ASP,Autoliv ASP Inc.,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,MI,Auburn Hills,117392,117392,117392
AUTOMOTIVE ROBOTICS INCORPORATED,Automotive Robotics Incorporated,1,1,FY2026Q1,no,17-2141,Mechanical Engineers,IL,East Peoria,77896,77896,77896
AXISCADES,AXISCADES INC,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,IL,PEORIA,77896,77896,77896
BLACK CONSTRUCTION CORPORATION,Black Construction Corporation,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,GU,Harmon,56000,56000,56000
BOBCAD CAM,"BOBCAD-CAM, INC.",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,FL,Tampa,69139,69139,69139
BOVI SERVICES,BOVI Services LLC,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,GA,Alpharetta,72000,72000,72000
BRIGHTSHARKS ENGINEERING SERVICES,BrightSharks Engineering Services LLC,1,1,FY2025Q4,no,17-2141,Automotive Engineers,MI,Ann Arbor,79373,79373,79373
BROAD U S A,Broad U.S.A. Inc.,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,NJ,Hackensack,81432,81432,81432
BROWN UNIVERSITY,Brown University,1,1,FY2026Q1,no,17-2141,Mechanical Engineers,RI,Providence,83259,83259,83259
BUDLONG ASSOCIATES,Budlong & Associates,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,CA,CAMARILLO,90480,90480,90480
BURO HAPPOLD CONSULTING ENGINEERS,"BURO HAPPOLD CONSULTING ENGINEERS, INC.",1,1,FY2025Q4,no,17-2141,Mechanical Engineers,CA,Los Angeles,83250,83250,83250
BURROUGHS,Burroughs Inc.,1,1,FY2025Q4,no,17-2141,Mechanical Engineers,TX,Houston,105000,105000,105000
BYD AMERICA,BYD America LLC,1,1,FY2026Q1,no,17-2141,Mechanical Engineers,CA,San Mateo,101629,101629,101629
CABRAS MARINE CORPORATION,Cabras Marine Corporation,1,1,FY2026Q1,no,17-2141,Mechanical Engineers,GU,Piti,52000,52000,52000
