employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
CARNEGIE MELLON UNIVERSITY,Carnegie Mellon University,3,2,FY2025Q4; FY2026Q1,yes,17-2199,Robotics Engineers,PA,Pittsburgh,97081,97850,129000
CBRE,"CBRE, INC.",2,2,FY2025Q4; FY2026Q1,yes,17-2199,Microsystems Engineers,GA; NJ,Logan; Union City,96616,100308,104000
QUICKTRON AUTOMATION USA,QUICKTRON AUTOMATION USA INC,2,2,FY2025Q4; FY2026Q1,yes,17-2199,Robotics Engineers,TX,GRAPEVINE; Grapevine,70000,72500,75000
UNIVERSITY OF COLORADO,University of Colorado,2,2,FY2025Q4; FY2026Q1,yes,17-2199,Photonics Engineers,CO,Boulder,71365,71365,71365
WIPRO PARI,Wipro Pari Inc.,2,2,FY2025Q4; FY2026Q1,yes,17-2199,Mechatronics Engineers,MI,Auburn Hills,73841,79431,85020
SEGULA TECHNOLOGIES USA,"SEGULA TECHNOLOGIES USA, INC.",4,1,FY2026Q1,no,17-2199,Mechatronics Engineers,MI,Auburn Hills,73840,75920,90002
THE RESEARCH FOUNDATION AT SUNY BINGHAMTON,The Research Foundation at SUNY Binghamton,3,1,FY2025Q4,no,17-2199,Mechatronics Engineers; Microsystems Engineers,NY,Vestal,75358,75358,75358
BROOKHAVEN NATIONAL LABORATORY,Brookhaven National Laboratory,2,1,FY2026Q1,no,17-2199,Robotics Engineers,NY,Upton,84989,84994,85000
KLA CORPORATION,KLA Corporation,2,1,FY2025Q4,no,17-2199,Mechatronics Engineers; Nanosystems Engineers,CA,Milpitas,124000,137000,150000
R E AUTOMATED SYSTEMS,R&E Automated Systems LLC,2,1,FY2026Q1,no,17-2199,Mechatronics Engineers,LA,Shreveport,74880,74880,74880
TEK LABS,"Tek Labs, Inc.",2,1,FY2025Q4,no,17-2199,Mechatronics Engineers,FL,Melbourne,84926,84926,84926
TEXAS A M ENGINEERING EXPERIMENT STATION,Texas A&M Engineering Experiment Station,2,1,FY2026Q1,no,17-2199,"Engineers, All Other",TX,College Station,57699,61850,66000
TUV SUD AMERICA,"TUV SUD America, Inc.",2,1,FY2025Q4,no,17-2199,"Energy Engineers, Except Wind and Solar",CA; PA,Exton; Santa Clara,71573,85946,100318
VALENCIA MERGER SUB II,Valencia Merger Sub II LLC,2,1,FY2025Q4,no,17-2199,Robotics Engineers,CA,Redwood City,180000,180000,180000
AIM INTELLIGENT MACHINES,"AIM Intelligent Machines, Inc.",1,1,FY2026Q1,no,17-2199,Robotics Engineers,WA,Redmond,78187,78187,78187
ALFA LAVAL,Alfa Laval Inc.,1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,PA,Warrington,80000,80000,80000
AMERICAN AXLE MANUFACTURING,"American Axle & Manufacturing, Inc.",1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,MI,Detroit,90514,90514,90514
AMOUNT,"Amount, Inc.",1,1,FY2026Q1,no,17-2199,Mechatronics Engineers,IL,Chicago,110000,110000,110000
APCO,"APCO, Inc.",1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,UT,North Salt Lake,79000,79000,79000
ATOCO,"Atoco, Inc.",1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,CA,Irvine,76586,76586,76586
AUTOMOTIVE ROBOTICS INCORPORATED,Automotive Robotics Incorporated,1,1,FY2025Q4,no,17-2199,"Engineers, All Other",IL,EAST PEORIA,73382,73382,73382
AUTONOMOUS THERAPEUTICS,"Autonomous Therapeutics, Inc.",1,1,FY2025Q4,no,17-2199,Robotics Engineers,MD,Rockville,100000,100000,100000
B L TESTING AND BALANCING,"B&L Testing and Balancing, LLC",1,1,FY2026Q1,no,17-2199,"Energy Engineers, Except Wind and Solar",NY,East Rockaway,91350,91350,91350
BAE INDUSTRIES,"BAE Industries, Inc.",1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,MI,Auburn Hills,73798,73798,73798
BASTIAN SOLUTIONS,Bastian Solutions LLC,1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,TX,Coppell,102995,102995,102995
BLINK CHARGING,Blink Charging Inc.,1,1,FY2025Q4,no,17-2199,"Engineers, All Other",MD,Bowie,99216,99216,99216
BOOST ROBOTICS,"Boost Robotics, Inc.",1,1,FY2025Q4,no,17-2199,Robotics Engineers,MA,Cambridge,89419,89419,89419
BRUKER NANO,"BRUKER NANO, INC.",1,1,FY2026Q1,no,17-2199,Nanosystems Engineers,MN,BLAINE,88856,88856,88856
CCL LABEL,"CCL Label, Inc.",1,1,FY2026Q1,no,17-2199,"Engineers, All Other",MI,Grand Rapids,70782,70782,70782
CLEARWAY ENERGY GROUP,Clearway Energy Group LLC,1,1,FY2025Q4,no,17-2199,Solar Energy Systems Engineers,CA,San Pablo,125000,125000,125000
CUSTOM CALIBRATION SOLUTIONS,"Custom Calibration Solutions, LLC",1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,NJ,Robbinsville,82992,82992,82992
DDC TECHNOLOGIES,"DDC Technologies, Inc.",1,1,FY2025Q4,no,17-2199,Photonics Engineers,NY,Oceanside,85000,85000,85000
DIVERSE AIRCRAFT SERVICES,Diverse Aircraft Services Corp,1,1,FY2025Q4,no,17-2199,"Engineers, All Other",FL,Miami,59342,59342,59342
DNV ENERGY INSIGHTS USA,"DNV Energy Insights USA, Inc.",1,1,FY2025Q4,no,17-2199,"Energy Engineers, Except Wind and Solar",PA,Chalfont,94219,94219,94219
ERMCO,"ERMCO, Inc.",1,1,FY2025Q4,no,17-2199,"Engineers, All Other",IN,Greenwood,77450,77450,77450
ETEZAZI INDUSTRIES,Etezazi Industries Inc.,1,1,FY2025Q4,no,17-2199,"Engineers, All Other",KS,Wichita,48901,48901,48901
FRAUNHOFER USA,"Fraunhofer USA, Inc.",1,1,FY2025Q4,no,17-2199,Nanosystems Engineers,MI,East Lansing,67861,67861,67861
GLOBAL DB SOLUTIONS,Global DB Solutions Inc,1,1,FY2025Q4,no,17-2199,Robotics Engineers,NY,Troy,85000,85000,85000
GLOBAL PROCESS CONSULTANTS,GLOBAL PROCESS CONSULTANTS LLC,1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,FL,Plantation,64000,64000,64000
HARVARD UNIVERSITY,Harvard University,1,1,FY2025Q4,no,17-2199,Robotics Engineers,MA,Allston,87980,87980,87980
HM PALETTAS USA,HM Palettas USA LLC,1,1,FY2026Q1,no,17-2199,Mechatronics Engineers,FL,Miami,60000,60000,60000
HURRICANE HILL DEVELOPMENT COMPANY PLLC,Hurricane Hill Development Company PLLC,1,1,FY2025Q4,no,17-2199,Solar Energy Systems Engineers,NH,Amherst,107158,107158,107158
IHRONE,iHROne Inc,1,1,FY2025Q4,no,17-2199,"Engineers, All Other",MI,Detroit,73800,73800,73800
ILLUMINA,"Illumina, Inc.",1,1,FY2026Q1,no,17-2199,Nanosystems Engineers,CA,San Diego,90000,90000,90000
INNERSCENE,Innerscene Corp.,1,1,FY2026Q1,no,17-2199,Photonics Engineers,CO,Boulder,104000,104000,104000
INNOVATEPGH PARTNERSHIP,InnovatePGH Partnership,1,1,FY2026Q1,no,17-2199,Mechatronics Engineers,PA,Pittsburgh,62400,62400,62400
INTRALOX,"Intralox, LLC",1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,MD,Hanover,99216,99216,99216
JINKO SOLAR U S INDUSTRIES,"Jinko Solar (U.S.) Industries, Inc.",1,1,FY2026Q1,no,17-2199,"Engineers, All Other",FL,Jacksonville,75000,75000,75000
KARTECH SOLUTIONS,"Kartech Solutions, Inc.",1,1,FY2026Q1,no,17-2199,Mechatronics Engineers,TX,Austin,85000,85000,85000
KRONES,"Krones, Inc.",1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,TN,Chattanooga,79498,79498,79498
MASTEC SERVICES COMPANY,"MASTEC  SERVICES COMPANY, INC",1,1,FY2025Q4,no,17-2199,"Engineers, All Other",CA,San Jose,100318,100318,100318
MESCADA,Mescada LLC,1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,IL,Kankakee,85000,85000,85000
MUJIN,Mujin Corp.,1,1,FY2025Q4,no,17-2199,Robotics Engineers,GA,Suwanee,130000,130000,130000
NEOMATRIX,"NeoMatrix, LLC",1,1,FY2026Q1,no,17-2199,"Engineers, All Other",MA,Andover,112000,112000,112000
NEWSTON AUTOMATED SOLUTION USA,Newston Automated Solution USA Corp.,1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,MI,Novi,80210,80210,80210
NORTHWESTERN UNIVERSITY,Northwestern University,1,1,FY2026Q1,no,17-2199,Photonics Engineers,IL,Evanston,71656,71656,71656
OPTIMAL ENERGY,"Optimal Energy, LLC",1,1,FY2025Q4,no,17-2199,"Energy Engineers, Except Wind and Solar",TX,Houston,90422,90422,90422
PENTANGLE TECH SERVICES,Pentangle Tech Services LLC,1,1,FY2025Q4,no,17-2199,"Engineers, All Other",MI,Farmington Hills,73798,73798,73798
PIEZOS TECHNOLOGY SOLUTIONS,Piezos Technology Solutions Inc,1,1,FY2026Q1,no,17-2199,Robotics Engineers,FL,SANFORD,80662,80662,80662
PLASTIC OMNIUM LIGHTING SYSTEMS,"Plastic Omnium Lighting Systems, Inc.",1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,TN,Hendersonville,91406,91406,91406
PURDUE UNIVERSITY,Purdue University,1,1,FY2025Q4,no,17-2199,Microsystems Engineers,IN,West Lafayette,49026,49026,49026
QPHARMA,"QPharma, Inc.",1,1,FY2025Q4,no,17-2199,"Engineers, All Other",NJ,Cedar Knolls,103626,103626,103626
RAMI TECHNOLOGY USA,"Rami Technology USA, LLC",1,1,FY2026Q1,no,17-2199,"Engineers, All Other",WI,Oak Creek,79498,79498,79498
RAPYUTA ROBOTICS,"Rapyuta Robotics, Inc.",1,1,FY2026Q1,no,17-2199,Mechatronics Engineers,IL,Schaumburg,83000,83000,83000
RESEARCH ROBOTICS,Research & Robotics Inc,1,1,FY2026Q1,no,17-2199,Robotics Engineers,MA,New Bedford,90000,90000,90000
ROBERT ETTINGER P E P C,"Robert Ettinger, P.E., P.C.",1,1,FY2025Q4,no,17-2199,"Energy Engineers, Except Wind and Solar",NJ,Edison,83346,83346,83346
ROBOTICS TECHNOLOGIES,ROBOTICS TECHNOLOGIES LLC,1,1,FY2026Q1,no,17-2199,Solar Energy Systems Engineers,CA,EL DORADO HILLS,63419,63419,63419
ROCKWELL TECHNOLOGY,"Rockwell Technology, Inc.",1,1,FY2025Q4,no,17-2199,"Engineers, All Other",TX,Fort Worth,73944,73944,73944
SCHLUMBERGER TECHNOLOGY CORPORATION,Schlumberger Technology Corporation,1,1,FY2026Q1,no,17-2199,"Energy Engineers, Except Wind and Solar",LA,New Iberia,91150,91150,91150
SERVE OPERATING CO,SERVE OPERATING CO.,1,1,FY2026Q1,no,17-2199,Robotics Engineers,CA,Redwood City,180000,180000,180000
SHIRE HUMAN GENETIC THERAPIES,Shire Human Genetic Therapies Inc.,1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,MA,Lexington,93000,93000,93000
SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY,South Dakota School of Mines and Technology,1,1,FY2026Q1,no,17-2199,Nanosystems Engineers,SD,RAPID CITY,72164,72164,72164
SSM CARDINAL GLENNON CHILDREN S HOSPITAL,SSM Cardinal Glennon Children's Hospital,1,1,FY2025Q4,no,17-2199,"Engineers, All Other",MO,St. Louis,76406,76406,76406
SUNGROW USA CORPORATION,Sungrow USA Corporation,1,1,FY2026Q1,no,17-2199,Solar Energy Systems Engineers,MA,Malden,89440,89440,89440
THE LELAND STANFORD JR UNIVERSITY,"The Leland Stanford, Jr University",1,1,FY2025Q4,no,17-2199,Nanosystems Engineers,CA,Stanford,85000,85000,85000
THE TRUSTEES OF PRINCETON UNIVERSITY,The Trustees of Princeton University,1,1,FY2025Q4,no,17-2199,Robotics Engineers,NJ,Princeton,73116,73116,73116
THOMAS GLOBAL SYSTEMS,Thomas Global Systems LLC,1,1,FY2025Q4,no,17-2199,Mechatronics Engineers,CA,Irvine,76586,76586,76586
TOYOTA MATERIAL HANDLING,Toyota Material Handling Inc.,1,1,FY2026Q1,no,17-2199,Mechatronics Engineers,NY,East Syracuse,94020,94020,94020
TRUSTEES OF DARTMOUTH COLLEGE,Trustees of Dartmouth College,1,1,FY2025Q4,no,17-2199,"Energy Engineers, Except Wind and Solar",NH,Hanover,75000,75000,75000
UBIROS,Ubiros Inc.,1,1,FY2025Q4,no,17-2199,Robotics Engineers,MA,Framingham,89419,89419,89419
UNIVERSITY OF ILLINOIS,University of Illinois,1,1,FY2025Q4,no,17-2199,Robotics Engineers,IL,Urbana,90230,90230,90230
VEROGY HOLDINGS,"Verogy Holdings, LLC",1,1,FY2025Q4,no,17-2199,Solar Energy Systems Engineers,CT,Willimantic,87859,87859,87859
VESUVIUS USA CORPORATION,Vesuvius USA Corporation,1,1,FY2025Q4,no,17-2199,Robotics Engineers,IL,Champaign,80000,80000,80000
VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSITY,Virginia Polytechnic Institute & State University,1,1,FY2026Q1,no,17-2199,Nanosystems Engineers,VA,Norfolk,89821,89821,89821
WASHINGTON UNIVERSITY,Washington University,1,1,FY2025Q4,no,17-2199,Nanosystems Engineers,MO,St. Louis,75000,75000,75000
WILLDAN ENERGY SOLUTIONS,Willdan Energy Solutions,1,1,FY2025Q4,no,17-2199,"Energy Engineers, Except Wind and Solar",MN,Minnetonka,78562,78562,78562
WILLDAN LIGHTING AND ELECTRIC,"Willdan Lighting and Electric, Inc.",1,1,FY2026Q1,no,17-2199,"Energy Engineers, Except Wind and Solar",NY,Maspeth,83346,83346,83346
ZIPLINE INTERNATIONAL,Zipline International Inc.,1,1,FY2025Q4,no,17-2199,Robotics Engineers,CA,South San Francisco,100194,100194,100194
