employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
THE UNIVERSITY OF CHICAGO,The University of Chicago,2,2,FY2025Q4; FY2026Q1,yes,19-1022,Microbiologists,IL,Chicago; Chicagoi,61008,61620,62232
UNIVERSITY OF MARYLAND COLLEGE PARK,University of Maryland College Park,2,2,FY2025Q4; FY2026Q1,yes,19-1022,Microbiologists,MD,College Park,58710,60855,63000
UNIVERSITY OF WISCONSIN SYSTEM,University of Wisconsin System,2,2,FY2025Q4; FY2026Q1,yes,19-1022,Microbiologists,WI,MADISON,50045,56540,63036
THE LELAND STANFORD JR UNIVERSITY,"The Leland Stanford, Jr University",2,1,FY2026Q1,no,19-1022,Microbiologists,CA,Stanford,81000,82500,84000
UNIVERSITY OF MINNESOTA,University of Minnesota,2,1,FY2025Q4,no,19-1022,Microbiologists,MN,Minneapolis; Saint Paul,61008,64986,68964
AGROWTH,Agrowth,1,1,FY2025Q4,no,19-1022,Microbiologists,CA,San Leandro,91104,91104,91104
ALBERT EINSTEIN COLLEGE OF MEDICINE,Albert Einstein College of Medicine,1,1,FY2026Q1,no,19-1022,Microbiologists,NY,Bronx,85000,85000,85000
ARIZONA STATE UNIVERSITY,Arizona State University,1,1,FY2026Q1,no,19-1022,Microbiologists,AZ,Tempe,63120,63120,63120
BROWN UNIVERSITY,Brown University,1,1,FY2025Q4,no,19-1022,Microbiologists,RI,Providence,61008,61008,61008
CLEMSON UNIVERSITY,Clemson University,1,1,FY2025Q4,no,19-1022,Microbiologists,SC,Clemson,58840,58840,58840
EAST CAROLINA UNIVERSITY,East Carolina University,1,1,FY2026Q1,no,19-1022,Microbiologists,NC,Greenville,63120,63120,63120
EMORY UNIVERSITY,Emory University,1,1,FY2025Q4,no,19-1022,Microbiologists,GA,Atlanta,62000,62000,62000
GEORGIA STATE UNIVERSITY,Georgia State University,1,1,FY2026Q1,no,19-1022,Microbiologists,GA,Atlanta,61584,61584,61584
HARVARD UNIVERSITY,Harvard University,1,1,FY2025Q4,no,19-1022,Microbiologists,MA,Boston,77500,77500,77500
JOHNS HOPKINS UNIVERSITY,Johns Hopkins University,1,1,FY2026Q1,no,19-1022,Microbiologists,MD,Baltimore,77075,77075,77075
LONG ISLAND UNIVERSITY,Long Island University,1,1,FY2026Q1,no,19-1022,Microbiologists,NY,Brookville,52915,52915,52915
LOUISIANA STATE UNIVERSITY AND A M COLLEGE,Louisiana State University and A&M College,1,1,FY2026Q1,no,19-1022,Microbiologists,LA,Baton Rouge,65000,65000,65000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Massachusetts Institute of Technology,1,1,FY2026Q1,no,19-1022,Microbiologists,MA,Cambridge,78290,78290,78290
SGS NORTH AMERICA,"SGS NORTH AMERICA, INC.",1,1,FY2025Q4,no,19-1022,Microbiologists,NJ,Fairfield,63378,63378,63378
TEAM YOUNG,TEAM YOUNG INC.,1,1,FY2025Q4,no,19-1022,Microbiologists,CA,Baldwin Park,79622,79622,79622
TEXAS A M UNIVERSITY,Texas A&M University,1,1,FY2026Q1,no,19-1022,Microbiologists,TX,Bryan,58000,58000,58000
THE CURATORS OF THE UNIVERSITY OF MISSOURI,The Curators of the University of Missouri,1,1,FY2026Q1,no,19-1022,Microbiologists,MO,Columbia,55000,55000,55000
THE PENNSYLVANIA STATE UNIVERSITY,The Pennsylvania State University,1,1,FY2025Q4,no,19-1022,Microbiologists,PA,University Park,61008,61008,61008
THE UNIVERSITY OF IOWA,The University of Iowa,1,1,FY2025Q4,no,19-1022,Microbiologists,IA,Iowa City,70344,70344,70344
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,1,1,FY2026Q1,no,19-1022,Microbiologists,PA,Philadelphia,68814,68814,68814
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,University of Arkansas for Medical Sciences,1,1,FY2026Q1,no,19-1022,Microbiologists,AR,Little Rock,61428,61428,61428
UNIVERSITY OF LOUISVILLE,University of Louisville,1,1,FY2025Q4,no,19-1022,Microbiologists,KY,Louisville,61800,61800,61800
UNIVERSITY OF MARYLAND BALTIMORE,University of Maryland Baltimore,1,1,FY2025Q4,no,19-1022,Microbiologists,MD,Baltimore,70344,70344,70344
UNIVERSITY OF TEXAS MEDICAL BRANCH,University of Texas Medical Branch,1,1,FY2026Q1,no,19-1022,Microbiologists,TX,Galveston,68964,68964,68964
UNIVERSITY OF WISCONSIN MILWAUKEE,University of Wisconsin-Milwaukee,1,1,FY2025Q4,no,19-1022,Microbiologists,WI,Milwaukee,72500,72500,72500
WASHINGTON UNIVERSITY,Washington University,1,1,FY2025Q4,no,19-1022,Microbiologists,MO,St Louis,56700,56700,56700
