employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
AMAZON WEB SERVICES,"AMAZON WEB SERVICES, INC.",5,2,FY2025Q4; FY2026Q1,yes,15-1244,Network and Computer Systems Administrators,CA; OR; TX; VA,COPPELL; Dallas; HERNDON; PORTLAND; SOUTH SAN FRANCISCO,101000,111400,142900
SERVESYS CORPORATION,SERVESYS CORPORATION,5,2,FY2025Q4; FY2026Q1,yes,15-1244,Network and Computer Systems Administrators,MA; NJ; WA,Middletown Township; Quincy; Redmond,85000,85000,90230
AMAZON DATA SERVICES,"Amazon Data Services, Inc",3,2,FY2025Q4; FY2026Q1,yes,15-1244,Network and Computer Systems Administrators,IN; OR; VA,Herndon; Hillsboro; NEW CARLISLE,60861,88400,93600
BRILLIUS TECHNOLOGIES,BRILLIUS TECHNOLOGIES INC.,2,2,FY2025Q4; FY2026Q1,yes,15-1244,Network and Computer Systems Administrators,CA,San Jose; Sunnyvale,83221,98610,114000
COMMUNITY HEALTH CENTER OF BUFFALO,Community Health Center of Buffalo Inc.,2,2,FY2025Q4; FY2026Q1,yes,15-1244,Network and Computer Systems Administrators,NY,Buffalo,65208,65208,65208
CREATIVE TEAM,Creative Team LLC,2,2,FY2025Q4; FY2026Q1,yes,15-1244,Network and Computer Systems Administrators,TX,Justin,68848,68848,68848
INFOSYSNOW,INFOSYSNOW INC,2,2,FY2025Q4; FY2026Q1,yes,15-1244,Network and Computer Systems Administrators,IL; TX,Carol Stream; Hutto,67205,68422,69638
MPHASIS CORPORATION,Mphasis Corporation,2,2,FY2025Q4; FY2026Q1,yes,15-1244,Network and Computer Systems Administrators,FL; WA,Bellevue; Wesley Chapel,65125,78562,92000
PRIME HEALTHCARE MANAGEMENT,"Prime Healthcare Management, Inc.",2,2,FY2025Q4; FY2026Q1,yes,15-1244,Network and Computer Systems Administrators,CA; TX,Ontario; Prosper,69763,82555,95347
INTELI PLATFORMS,INTELI PLATFORMS INC,6,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,CO; TX; WA,Burien; GREENWOOD VILLAGE; Greenwood Village; Mercers crossing,68848,74672,74700
PEOPLE TECH GROUP,"People Tech Group, Inc",3,1,FY2026Q1,no,15-1244,Network and Computer Systems Administrators,WA,Bellevue,69805,69805,69805
BLUE SWAN TECHNOLOGIES,BLUE  SWAN  TECHNOLOGIES  INC.,2,1,FY2026Q1,no,15-1244,Network and Computer Systems Administrators,CA,FOUNTAIN VALLEY; IRVINE,75629,75629,75629
CHINA TELECOM AMERICAS CORPORATION,China Telecom (Americas) Corporation,2,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,CA,Los Angeles,66997,66997,66997
CORE MARK US,Core-Mark US LLC,2,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,IL,Carol Stream; Naperville,68539,68539,68539
CREST SOFTWARE SERVICES,CREST Software Services Inc,2,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,WA,Olympia,87838,87838,87838
JLM SYSTEMS,JLM SYSTEMS INC.,2,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,NJ,RIDGEFIELD PARK,91000,92500,94000
MALBEC SOLUTIONS,"Malbec Solutions, Inc.",2,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,NJ,Princeton,73819,73819,73819
MOBILENET SERVICES,"MobileNet Services, Inc.",2,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,CA,IRVINE,75629,82814,90000
NEOSIS IT SOLUTIONS,NEOSIS IT SOLUTIONS LLC,2,1,FY2026Q1,no,15-1244,Network and Computer Systems Administrators,IL,Buffalo,85000,92500,100000
NSD LNTERNATIONAL,"NSD lnternational, Inc.",2,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,NJ,Iselin,79500,79500,79500
REI SYSTEMS,REI Systems Inc.,2,1,FY2026Q1,no,15-1244,Network and Computer Systems Administrators,CA,San Jose; Santa Clara,117086,117086,117086
TIMESOFT SOLUTIONS,TIMESOFT SOLUTIONS LLC.,2,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,TN,NASHVILLE,65936,65936,65936
VERVENEST TECHNOLOGIES,"VERVENEST TECHNOLOGIES, INC.",2,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,MD,Pikesville,77522,77522,77522
22ND CENTURY TECHNOLOGIES,"22nd Century Technologies, Inc.",1,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,VA,McLean,83470,83470,83470
333 DOTS,"333 Dots, Inc",1,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,TX,Frisco,68848,68848,68848
AARON E HENRY COMMUNITY HEALTH SERVICES,"AARON E. HENRY COMMUNITY HEALTH SERVICES, INC.",1,1,FY2026Q1,no,15-1244,Network and Computer Systems Administrators,MS,CLARKSDALE,51085,51085,51085
ADEPT CONSULTING GROUP,"Adept Consulting Group, Inc.",1,1,FY2026Q1,no,15-1244,Network and Computer Systems Administrators,CA,Tracy,67288,67288,67288
ADITI,Aditi LLC,1,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,FL,Jacksonville,62000,62000,62000
ADVANCED DENTISTRY OF CENTER CITY PC,Advanced Dentistry of Center City PC,1,1,FY2026Q1,no,15-1244,Network and Computer Systems Administrators,PA,Philadelphia,67205,67205,67205
ADVANTAGE IT,ADVANTAGE IT INC,1,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,TX,Little Elm,68848,68848,68848
ADVENTIST CONNECT FORMERLY ADVENTIST INFORMATION MINISTRY,Adventist Connect (formerly Adventist Information Ministry),1,1,FY2026Q1,no,15-1244,Network and Computer Systems Administrators,MI,Berrien Springs,72048,72048,72048
AMSIN,Amsin LLC,1,1,FY2026Q1,no,15-1244,Network and Computer Systems Administrators,GA,Mainland,99840,99840,99840
ANCILE,Ancile Inc,1,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,TX,Denton,61090,61090,61090
ASURION,"Asurion, LLC",1,1,FY2026Q1,no,15-1244,Network and Computer Systems Administrators,TN,Nashville,112207,112207,112207
AVCO CONSULTING,"Avco Consulting, Inc.",1,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,TX,Southlake,75000,75000,75000
AVENTERPRISE,"AVEnterprise, Inc",1,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,TX,San Antonio,61000,61000,61000
BASS PRO,"Bass Pro, LLC",1,1,FY2025Q4,no,15-1244,Network and Computer Systems Administrators,OH,Delaware,70000,70000,70000
