employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
BROOKHAVEN NATIONAL LABORATORY,Brookhaven National Laboratory,18,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,NY,UPTON; Upton,77605,83593,91166
UNIVERSITY OF MARYLAND COLLEGE PARK,University of Maryland College Park,9,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,MD,College Park; Gaithersburg,67018,75750,123712
LELAND STANFORD JR UNIV SLAC NATIONAL ACCELERATOR LAB,Leland Stanford Jr. Univ/SLAC National Accelerator Lab,7,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,CA,Menlo Park,79914,81994,134000
FERMI FORWARD DISCOVERY GROUP,"Fermi Forward Discovery Group, LLC",5,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,IL,Batavia,77126,77126,77126
CALIFORNIA INSTITUTE OF TECHNOLOGY,California Institute of Technology,4,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,CA; LA; WA,Livingston; Pasadena; Richland,81201,106340,135725
KENT STATE UNIVERSITY,Kent State University,4,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,CA; NY; OH,Berkeley; Kent; Upton,56484,69368,79914
TRIAD NATIONAL SECURITY,"Triad National Security, LLC",4,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,NM,Los Alamos,153088,160888,168788
UCHICAGO ARGONNE,"UChicago Argonne, LLC",4,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,IL,Lemont,77126,77126,77126
W M RICE UNIVERSITY,W.M. RICE UNIVERSITY,4,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,CA; TX,Houston; Los Angeles,60000,61000,78125
DUKE UNIVERSITY,Duke University,3,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,NC,Durham,67018,75500,86000
PURDUE UNIVERSITY,Purdue University,3,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,IN,West Lafayette,58594,60000,61616
THE FLORIDA STATE UNIVERSITY,The Florida State University,3,2,FY2025Q4; FY2026Q1,yes,19-2012,Physicists,FL,Tallahassee,80000,85000,90470
