employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
MROTECHNY,MROTECHNY LLC,2,2,FY2025Q4; FY2026Q1,yes,13-1082,Project Management Specialists,NJ; NY,QUEENS; WOOD RIDGE,79248,79248,79248
AMAZON COM SERVICES,Amazon.com Services LLC,6,1,FY2025Q4,no,13-1082,Project Management Specialists,CA; TN; WA,Bellevue; Nashville; SUNNYVALE; Seattle,60424,85550,112800
STV INCORPORATED,STV Incorporated,5,1,FY2026Q1,no,13-1082,Project Management Specialists,MA; MD; TX,Boston; Dallas; Houston; Owings Mills,67937,78800,87500
STV CONSTRUCTION,STV Construction Inc.,3,1,FY2026Q1,no,13-1082,Project Management Specialists,IL; NY,Chicago; New York,71982,79248,82265
A P S ENGINEERING AND TESTING,"A P S Engineering and Testing, LLC",2,1,FY2026Q1,no,13-1082,Project Management Specialists,LA,Baton Rouge,57824,57824,57824
AIO APP,AIO APP Inc.,2,1,FY2025Q4,no,13-1082,Project Management Specialists,CA,San Jose,91832,92394,92955
ATLAS ESSENTIALS USA,Atlas Essentials USA LLC,2,1,FY2025Q4,no,13-1082,Project Management Specialists,TX,Dallas,62400,62400,62400
DESIMONE BUILDERS,"DeSimone Builders, LLC",2,1,FY2026Q1,no,13-1082,Project Management Specialists,NY,New York,85000,85000,85000
THE CLEAR FUND,The Clear Fund,2,1,FY2026Q1,no,13-1082,Project Management Specialists,NY,Brooklyn,100000,100000,100000
YANWEN EXPRESS,Yanwen Express LLC,2,1,FY2026Q1,no,13-1082,Project Management Specialists,CA,Montebello,67974,67974,67974
AECOM TECHNICAL SERVICES,AECOM Technical Services Inc.,1,1,FY2025Q4,no,13-1082,Project Management Specialists,NY,New York,83000,83000,83000
AGD DEVELOPERS,AGD Developers LLC,1,1,FY2025Q4,no,13-1082,Project Management Specialists,FL,Miami,65000,65000,65000
AMCS GROUP,AMCS Group Inc.,1,1,FY2025Q4,no,13-1082,Project Management Specialists,TX,Austin,95000,95000,95000
AMERICAN HEALTH FORMULATIONS,"American Health Formulations, Inc.",1,1,FY2026Q1,no,13-1082,Project Management Specialists,NY,Hauppauge,80000,80000,80000
APN CONSTRUCTION,APN CONSTRUCTION CORP,1,1,FY2025Q4,no,13-1082,Project Management Specialists,NY,WOODSIDE,79248,79248,79248
ARCADIS U S,"Arcadis U.S., Inc.",1,1,FY2025Q4,no,13-1082,Project Management Specialists,NJ,Harrison,86778,86778,86778
ATLAS ESSENTIALS,Atlas Essentials LLC,1,1,FY2025Q4,no,13-1082,Project Management Specialists,TX,Dallas,62400,62400,62400
AUSTIN COMMUNITY COLLEGE,Austin Community College,1,1,FY2026Q1,no,13-1082,Project Management Specialists,TX,Austin,67205,67205,67205
BAY AREA COMMUNITY HEALTH,Bay Area Community Health,1,1,FY2025Q4,no,13-1082,Project Management Specialists,CA,Fremont,99704,99704,99704
BEACON HILL SOLUTIONS GROUP,Beacon Hill Solutions Group LLC,1,1,FY2026Q1,no,13-1082,Project Management Specialists,CA,Santa Clara,93600,93600,93600
BICYCLE FILM FESTIVAL,Bicycle Film Festival,1,1,FY2025Q4,no,13-1082,Project Management Specialists,NY,New York,83200,83200,83200
BUILD HEALTH INTERNATIONAL,"Build Health International, Inc.",1,1,FY2025Q4,no,13-1082,Project Management Specialists,MA,Beverly,75000,75000,75000
CINCINNATI CHILDREN S HOSPITAL MEDICAL CENTER,Cincinnati Children's Hospital Medical Center,1,1,FY2025Q4,no,13-1082,Project Management Specialists,OH,Cincinnati,62000,62000,62000
CM ASSOCIATES CONSTRUCTION MANAGEMENT,CM & Associates Construction Management LLC,1,1,FY2026Q1,no,13-1082,Project Management Specialists,NY,New York,140000,140000,140000
COLLEGE TRACK,College Track,1,1,FY2026Q1,no,13-1082,Project Management Specialists,CA,Oakland,93500,93500,93500
COMPUTER SOLUTIONS,Computer Solutions Inc.,1,1,FY2025Q4,no,13-1082,Project Management Specialists,WY,Casper,114400,114400,114400
CUMMING MANAGEMENT GROUP,"Cumming Management Group, Inc.",1,1,FY2026Q1,no,13-1082,Project Management Specialists,CA,San Jose,135000,135000,135000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,1,FY2026Q1,no,13-1082,Project Management Specialists,DC,WASHINGTON,85000,85000,85000
DOREL JUVENILE GROUP,"Dorel Juvenile Group, Inc.",1,1,FY2026Q1,no,13-1082,Project Management Specialists,NY,Brooklyn,104000,104000,104000
DUAL FUEL COMPANY,DUAL FUEL COMPANY LLC,1,1,FY2026Q1,no,13-1082,Project Management Specialists,NY,MOUNT VERNON,79248,79248,79248
EASTERN PACIFIC ENGINEERING AND CONSTRUCTION,"Eastern Pacific Engineering and Construction, LLC",1,1,FY2025Q4,no,13-1082,Project Management Specialists,GU,Barrigada,48000,48000,48000
ECOSYSTEM ENERGY SERVICES USA,Ecosystem Energy Services USA Inc.,1,1,FY2025Q4,no,13-1082,Project Management Specialists,NY,NEW YORK,80000,80000,80000
ENGAGEWELL IPA,EngageWell IPA,1,1,FY2026Q1,no,13-1082,Project Management Specialists,NY,Brooklyn,84000,84000,84000
ETFASHION,"ETFashion, Inc.",1,1,FY2026Q1,no,13-1082,Project Management Specialists,MA,New Centre,75566,75566,75566
EVERSANA LIFE SCIENCE SERVICES,"Eversana Life Science Services, LLC",1,1,FY2025Q4,no,13-1082,Project Management Specialists,MA,Lexington,76000,76000,76000
FELTEN GROUP,"FELTEN GROUP, INC.",1,1,FY2025Q4,no,13-1082,Project Management Specialists,AZ,Phoenix,69500,69500,69500
FERAG AMERICA,"Ferag America, Inc.",1,1,FY2025Q4,no,13-1082,Project Management Specialists,NJ,Somerset,80000,80000,80000
FIRST SOLAR,"First Solar, Inc.",1,1,FY2026Q1,no,13-1082,Project Management Specialists,OH,Perrysburg,61000,61000,61000
GBC REGION,"GBC Region, Inc.",1,1,FY2026Q1,no,13-1082,Project Management Specialists,MD,Baltimore,100000,100000,100000
INFORMA MARKETS MEDICA,Informa Markets Medica LLC,1,1,FY2026Q1,no,13-1082,Project Management Specialists,NY,New York,88400,88400,88400
INTERNATIONAL GRADUATE STUDIES,International Graduate Studies Inc.,1,1,FY2025Q4,no,13-1082,Project Management Specialists,NY,Yorktown Heights,93600,93600,93600
IPAS,iPas. Inc.,1,1,FY2025Q4,no,13-1082,Project Management Specialists,NC,Carrboro,92169,92169,92169
JOAN CREATIVE,JOAN Creative Inc.,1,1,FY2026Q1,no,13-1082,Project Management Specialists,NY,New York,100000,100000,100000
KEY GLOBAL SYNERGIES,KEY GLOBAL SYNERGIES INC,1,1,FY2025Q4,no,13-1082,Project Management Specialists,DC,WASHINGTON,78600,78600,78600
