employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
DELOITTE CONSULTING LLP,Deloitte Consulting LLP,26,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,AR; CA; CO; CT; DE; FL; IN; NC; PA; TX; VA,Apex; Ashburn; Castle Pines; Denver; Fishers; Folsom; Fremont; HENRICO; Hartford; Indianapolis; Lake Mary; Mechanicsburg; Middletown; North Little Rock; Philadelphia; Richmond; Riverview; Sacramento; San Jose; Spring; Tampa; Wynnewood,59114,94162,140600
AMAZON COM SERVICES,Amazon.com Services LLC,19,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA; MA; WA,Hawthorne; Irvine; SAN DIEGO; SEATTLE; SUNNYVALE; San Diego; Seattle; Sunnyvale; Westborough,61110,120640,144130
ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE,"Environmental Systems Research Institute, Inc.",18,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA; NC; TX; VA,Charlotte; Redlands; San Antonio; Vienna,69784,89752,110906
MPHASIS CORPORATION,Mphasis Corporation,9,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA; MO; NJ; PA; TX; WI,Austin; Erie; FREMONT; Kansas City; Madison; Rutherford; SAN FRANCISCO; Sun Prairie; Westampton,65000,83200,130000
ACADIA TECHNOLOGIES,"Acadia Technologies, Inc.",6,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,FL; NJ; OH,"Dayton; Dayton,; Wesley chapel; Wesley chapel,; Whippany",78206,82565,92038
SRI TECH SOLUTIONS,SRI Tech Solutions Inc.,6,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA; FL; TX,Austin; Mountain View; Sunnyvale; Tampa,68702,70907,94162
TETRUS,Tetrus Corp.,6,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,MD; NC; NJ,Baltimore; Charlotte; East Brunswick,78000,80000,85000
MACH 2000 TECHNOLOGIES,"Mach 2000 Technologies, Inc.",5,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CO,Boulder; Broomfield; Littleton,76128,76128,84198
AMISEQ,Amiseq Inc,4,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA,Mountain House; Mountain View,63000,63000,95000
APPZLOGIC,"Appzlogic, Inc.",3,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA,Milpitas,100000,105000,105000
COMCAST CABLE COMMUNICATIONS,"Comcast Cable Communications, LLC",3,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,NJ; PA,Mount Laurel; Philadelphia,69098,69098,69098
INDOTRONIX INTERNATIONAL CORPORATION,INDOTRONIX INTERNATIONAL CORPORATION,3,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,NJ; TX,Farmers Branch; Princeton; Whippany,74880,83200,85280
ROBOTICS TECHNOLOGIES,ROBOTICS TECHNOLOGIES LLC,3,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA; IL; MI,DEARBORN; DOWNERS GROVE; IRVINE,61110,68141,71427
SAWTEST SOLUTION,Sawtest Solution Inc.,3,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,TX,Richardson,72800,72800,73000
SIGMA COMPUTING,"Sigma Computing, Inc.",3,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA; NY,New York; San Francisco,92102,93032,100000
4CONSULTING,"4CONSULTING, INC",2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA; PA,Gold River; Mechanicsburg,72550,81275,90000
ALTERA DIGITAL HEALTH,Altera Digital Health Inc.,2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,NC,Raleigh,99290,99290,99290
BITSEA US,"Bitsea US, Inc.",2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA,Fremont,88109,88109,88109
CENTIFIC TECHNOLOGIES,"Centific Technologies, Inc.",2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,WA,Redmond,91219,91219,91219
DGN TECHNOLOGIES,"DGN Technologies, Inc",2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA,Mountain View,102710,102710,102710
FEI COM,"FEI.COM, Inc.",2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,MD,Columbia,88770,92127,95484
FISEC GLOBAL,"FiSec Global, Inc.",2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,CA,Concord; Mountain View,100000,104184,108368
GRANDSTREAM NETWORKS,"GRANDSTREAM NETWORKS, INC.",2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,TX,Plano,74000,74000,74000
GUIDEHOUSE DIGITAL,Guidehouse Digital LLC,2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,MD; VA,Bethesda; McLean,86168,92271,98374
IHEARTMEDIA MANAGEMENT SERVICES,"IHeartMedia Management Services, Inc.",2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,NY; TX,New York; San Antonio,99000,99000,99000
MSR TECHNOLOGY GROUP,MSR TECHNOLOGY GROUP LLC,2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,IL; TX,Austin; SCHAUMBURG,68702,70064,71427
PENTANGLE TECH SERVICES,Pentangle Tech Services LLC,2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,MI,Auburn Hills; Troy,68141,72550,76960
WABTEC US RAIL,"Wabtec US Rail, Inc.",2,2,FY2025Q4; FY2026Q1,yes,15-1253,Software Quality Assurance Analysts and Testers,FL,West Melbourne,115000,115000,115000
ELINK ELITE,"Elink Elite, LLC",6,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA; TX; WA,Bellevue; Mckinney; Plano; Tustin,63000,72800,85280
VIRTUSA CORPORATION,VIRTUSA CORPORATION,6,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA; OH; TX,COLUMBUS; SAN ANTONIO; SAN JOSE,90000,94162,118000
AI TECHNOLOGIES,AI TECHNOLOGIES LLC,5,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA; MI; NJ; TX; VA,DALLAS; DEARBORN; FORT LEE; RESTON; SANTA CLARA,68141,78624,94162
CLOUD ANALYTICS TECHNOLOGIES,CLOUD ANALYTICS TECHNOLOGIES LLC,5,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA; FL; MD; MN; OR,BEAVERTON; MENLO PARK; MINNEAPOLIS; OLDSMAR; OWINGS MILLS,60528,77542,88109
HCL AMERICA,HCL AMERICA INC,5,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA; MA; WA,Alameda; East Walpole; Kenmore; San Jose; Santa Clara,80225,94162,102710
RPA TECHNOLOGIES,RPA TECHNOLOGIES LLC,5,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA; IL; MI; MO,DEARBORN; DOWNERS GROVE; MENLO PARK; O FALLEN; SAN JOSE,54621,71427,94162
AMERICAN TECHNOLOGY GROUP,AMERICAN TECHNOLOGY GROUP LLC,4,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA; IL; MA; NJ,ACTON; CHICAGO; MENLO PARK; WHIPPANY,71427,78655,88109
CUNEXUS SOLUTIONS,"CuneXus Solutions, Inc",4,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,IL,Chicago; Naperville; Plainfield,127823,127823,127823
UNIQUE KEY RESOURCES,UNIQUE KEY RESOURCES INC,4,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA; TN; TX,EL SEGUNDO; MEMPHIS; WEST LAKE,73000,79040,79040
VIRTUAL REALITY TECHNOLOGIES,VIRTUAL REALITY TECHNOLOGIES LLC,4,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,IL; NY; PA; TX,AUSTIN; BERWYN; BROOKLYN; CHICAGO,68702,70262,78624
3D TECHNOLOGIES,3D TECHNOLOGIES LLC,3,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,IA; NJ; TX,DALLAS; DES MOINES; FORT LEE,58157,72550,78624
CLICKSOFT SOLUTIONS,"CLICKSOFT SOLUTIONS, LLC.",3,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MD; VA,OWINGS MILLS; RESTON,77542,84448,84448
CLOUD360,CLOUD360 INC,3,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,IL; TX,Chicago; Northbrook; Richardson,71427,71427,73299
PARTNERTAP,"PartnerTap, Inc",3,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Austin,68702,68702,68702
PEOPLE TECH GROUP,"People Tech Group, Inc",3,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,VA,Arlington,84448,84448,84448
QUANTUM TECHNOLOGIES,QUANTUM TECHNOLOGIES LLC,3,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CO; FL; IN,ENGLEWOOD; INDIANAPOLIS; ROCKLEDGE,67371,74630,76128
SOFTWORLD TECHNOLOGIES,Softworld Technologies LLC,3,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,DE; OH,Columbus; Westerville; Wilmington,70000,70000,73000
SUNSOFT SERVICES,SUNSOFT SERVICES INC,3,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Santa Clara,94162,95680,95680
TECHNOSOFT CORPORATION,TECHNOSOFT CORPORATION,3,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA; NM; TX,Austin; Santa Clara; Santa Fe,70000,81266,94162
YERRALPHA,YERRALPHA LLC,3,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,FRISCO,72550,72550,72550
ARCUS TECHNOLOGIES,Arcus Technologies,2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MN,Eagan,82000,82000,82000
AROHAK,Arohak Inc,2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,GA,Atlanta,82000,82000,82000
ARTIFICIAL INTELLIGENCE STAFFING,ARTIFICIAL INTELLIGENCE STAFFING LLC,2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,IL; MD,CHICAGO; ROCKVILLE,71427,77938,84448
ASTIR TECHNOLOGIES,"ASTIR TECHNOLOGIES, LLC",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,PA,West Chester,79000,79000,79000
CALABITEK,CALABITEK INC,2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Lewisville,72600,1934300,3796000
CUBOID,Cuboid LLC,2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA; TX,Georgetown; Pleasanton,67018,78509,90000
CYBERSOLVE IT,"CyberSolve IT, Inc.",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,FL,Sunrise,62670,62670,62670
ELITEFORGE GROUP,ELITEFORGE GROUP INC,2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MA,WOBURN; Woburn,84157,84157,84157
EMERGTECH BUSINESS SOLUTIONS,"Emergtech Business Solutions, Inc",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Northlake,72550,72550,72550
ENIN SYSTEMS,ENIN SYSTEMS INC.,2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,FL,MELBOURNE,74630,74630,74630
ENTERPRISE MOBILITY,Enterprise Mobility Inc,2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA; GA,ATLANTA; San Jose,70000,82840,95680
ETOUCH SYSTEMS CORPORATION,ETOUCH SYSTEMS CORPORATION,2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA,SAN JOSE,102000,102500,103000
INTELLECTT,Intellectt Inc,2,1,FY2025Q4,no,15-1253,Software QA Engineer and Tester; Software Quality Assurance Analysts and Testers,CA; WA,Milpitas; Seattle,99840,109377,118914
JEEVID TECHNOLOGY SERVICES,Jeevid Technology Services LLC,2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,NY,Guilderland,64480,71552,78624
MAVEN COMPANIES,"MAVEN COMPANIES, INC.",2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,WA,Seattle,85280,92560,99840
MORRIS AND WILLNER PARTNERS,Morris and Willner Partners,2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,NJ,Dunellen,102336,102336,102336
OM PARTNERS USA,"OM Partners USA, Inc.",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,GA,Atlanta,80000,80000,80000
PLATFORM 3 SOLUTIONS,"Platform 3 Solutions, LLC",2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MN,Coon Rapids,79602,79602,79602
SATIN SOLUTIONS,SATIN SOLUTIONS LLC,2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,GA,SANDY SPRINGS,66200,66200,66200
SIMARN,Simarn LLC,2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Mountain View,94162,102081,110000
SYNOPSYS,"Synopsys, Inc.",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,PA,Canonsburg,66123,69410,72696
TEGRIT SOFTWARE VENTURES,"TEGRIT SOFTWARE VENTURES, INC.",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA,MILPITAS; SAN JOSE,112500,112500,112500
UNIGO,"UNIGO, INC",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,AZ,Mesa,83200,83200,83200
V WORK INFOTECH SOLUTIONS,V-Work Infotech Solutions Inc.,2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,GA,ATLANTA,80000,80000,80000
XIT SOLUTIONS,"XIT Solutions, Inc.",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Irving,72550,471575,870600
YOOZ,"Yooz, Inc.",2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Coppell,76215,76233,76251
ACCELERATED TECHNOLOGIES,Accelerated Technologies Inc.,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,NJ,Plainsboro,86000,86000,86000
AGREEYA SOLUTIONS,"AGREEYA SOLUTIONS, INC.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Austin,68702,68702,68702
AKASOL,AKASOL INC.,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,FL,Tampa,90800,90800,90800
ALFA MUTUAL INSURANCE COMPANY,Alfa Mutual Insurance Company,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Waco,57803,57803,57803
ALTEN TECHNOLOGY USA,"Alten Technology USA, Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MI,Auburn Hills,68141,68141,68141
AMAZON DEVELOPMENT CENTER U S,"Amazon Development Center U.S., Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MA,Boston,86700,86700,86700
ANB SYSTEMS,ANB Systems LLC,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Houston,79900,79900,79900
