employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
AMAZON COM SERVICES,Amazon.com Services LLC,296,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AZ; CA; CO; FL; GA; MA; NJ; NY; OR; TN; TX; VA; WA,ARLINGTON; AUSTIN; Arlington; Atlanta; Austin; Bellevue; Boston; Boulder; Culver City; Cumming; Cupertino; Dallas; East Palo Alto; Herndon; Irvine; Irving; Jersey City; Nashville; New York; North Reading; Portland; Redmond; SAN FRANCISCO; SEATTLE; SUNNYVALE; San Diego; San Francisco; Santa Clara; Seattle; Sunnyvale; TEMPLE TERRANCE; Tempe; WESTBOROUGH; Westborough,90355.0,129000.0,169900.0
MICROSOFT CORPORATION,Microsoft Corporation,117,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; FL; GA; MA; MD; NJ; NY; TX; VA; WA,Arlington; Atlanta; Damascus; East Syracuse; Elkridge; Framingham; Houston; Irving; Jersey City; Long Island city; Lynnwood; Mckinney; Mountain View; Nacogdoches; New York; Plano; Redmond; Riverview; San Jose; Seattle; Sunnyvale; West New York,90896.0,134520.0,177200.0
DELOITTE CONSULTING LLP,Deloitte Consulting LLP,99,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AL; AR; AZ; CA; DC; DE; FL; GA; IL; IN; KS; MA; MO; NC; NJ; NM; OH; PA; SC; TX; VA,Alpharetta; Apopka; Atlanta; Aubrey; Austin; Birmingham; Boston; Camp Hill; Cary; Centerton; Charlotte; Chicago; Columbus; Dallas; Farmers Branch; Frisco; Gilbert; Greenwood; Haymarket; Indian Land; Indianapolis; Irving; Jacksonville; Jersey City; Jourdanton; Kansas City; Kyle; Lake Mary; Long Beach; Los Angeles; Lutz; MECHANICSBURG; McLean; Mechanicsburg; Morrisville; Naperville; Overland Park; Philadelphia; Plano; Round Rock; Ruskin; Sandy Springs; Sanford; Santa Fe; Surprise; Tampa; Tracy; Washington; Wilmington; Woodstock; York,72405.0,91707.0,151700.0
AMAZON DEVELOPMENT CENTER U S,"Amazon Development Center U.S., Inc.",75,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; GA; MA; MI; NY; TX; VA; WA,Arlington; Atlanta; Austin; BOSTON; Bellevue; Boston; DETROIT; Dallas; East Palo Alto; Herndon; NEW YORK; New York; Redmond; SANTA CLARA; Santa Clara; Seattle,90896.0,129000.0,163240.0
AMAZON WEB SERVICES,"Amazon Web Services, Inc.",65,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; NC; NJ; NY; PA; TX; VA; WA,ARLINGTON; Arlington; Austin; Bellevue; Cupertino; DALLAS; Dallas; EAST PALO ALTO; East Palo Alto; Herndon; Jersey City; Mountain View; New York; Raleigh; SEATTLE; Santa Clara; Scranton; Seattle; Sunnyvale,103210.0,129000.0,190000.0
COMCAST CABLE COMMUNICATIONS,"Comcast Cable Communications, LLC",36,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; CO; NJ; PA; TX; VA; WA,Austin; Englewood; Houston; Leander; Mount Laurel; Philadelphia; Reston; Seattle; Sunnyvale; West Chester,79851.0,88088.0,149365.0
VEEVA SYSTEMS,Veeva Systems Inc.,26,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; CO; OH; TX; WA,Allen; Arvada; Bellevue; Dublin; Los Angeles; Pleasanton; Pleasaonton,95000.0,130250.0,142000.0
ANTRA,"Antra, Inc.",23,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; IA; IL; MA; MD; NC; NJ; NY; PA; TX; VA,Ashburn; Austin; Brooklyn; Chicago; Durham; Jersey City; Johnston; Malden; Malvern; Sacramento; Santa Cruz; Staten Island; Sterling; Tracy; Vienna; Windsor Mill; Woodlawn,80000.0,95500.0,103500.0
COSTCO WHOLESALE CORPORATION,Costco Wholesale Corporation,23,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,TX; WA,Dallas; Issaquah,130000.0,140000.0,148600.0
IDEXCEL,Idexcel Inc,23,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,DC; FL; GA; KS; PA; TX; VA,Arlington; Ashburn; Atlanta; Austin; Brambleton; Cumming; Deerfield Beach; Farmers Branch; Little Elm; MCLean; Malvern; McLean; Reston; Topeka; Washington,77000.0,101500.0,5200000.0
SAGE IT,SAGE IT INC,22,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AL; AZ; GA; NC; NJ; TX,Atlanta; Aubrey; Austin; Charlotte; FRISCO; Frisco; Jersey City; Montgomer; Montgomery; Phoenix; Plano,67766.0,90896.0,103210.0
ARTIFINT TECHNOLOGIES,ARTIFINT TECHNOLOGIES LLC,21,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; FL; GA; IN; MO; NC; NY; PA; TN; TX; VA,AUSTIN; BERWYN; CHARLOTTE; CHELSEA; DALLAS; DULUTH; INDIANAPOLIS; KING OF PRUSSIA; MCLEAN; MEMPHIS; NASHVILLE; NEW YORK; ORLANDO; RESTON; RICHARDSON; RICHMOND; SACRAMENTO; ST LOUIS,76045.0,90355.0,103210.0
DOORDASH,"DoorDash, Inc.",20,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; NY; WA,New York; San Francisco; Seattle; Sunnyvale,140100.0,153600.0,188000.0
SOFTWORLD TECHNOLOGIES,Softworld Technologies LLC,20,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AR; AZ; MN; NJ; NY; OH; TX; VA,Bentonville; Blue Ash; Columbus; Coppell; Eagan; Jersey City; McLean; New York; Phoenix; Plano; St Paul,82000.0,91000.0,103500.0
FEDERAL SOFT SYSTEMS,Federal Soft Systems Inc.,18,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,FL; IL; KS; NC; OH; TX; VA,Charlotte; Chicago; Corpus Christi; Frisco; Fuquay Varina; LEANDER; Leesburg; Miami; Morrow; Overland Park; Plano,76086.0,85467.0,101421.0
TIKTOK U S DATA SECURITY,TikTok U.S. Data Security Inc.,18,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; WA,Bellevue; San Jose,117749.0,149365.0,187000.0
FIDELITY TECHNOLOGY GROUP LLC D B A FIDELITY INVESTMENTS,"Fidelity Technology Group, LLC d/b/a Fidelity Investments",17,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,NC; NH; TX; UT,Durham; Merrimack; Salt Lake City; Westlake,80583.0,94182.0,103210.0
BYTEDANCE,BYTEDANCE INC.,15,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; WA,Bellevue; San Jose,117749.0,160000.0,185000.0
ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE,"Environmental Systems Research Institute, Inc.",13,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; NY,New York City; Redlands,101774.0,123510.0,150280.0
KARWELL TECHNOLOGIIES,"KARWELL TECHNOLOGIIES, INC.",13,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AZ; IL; NC; NJ; NY; PA; TX,CHARLOTTE; GRAPEVINE; HARRISBURG; HARRISON; NEW YORK; NEWARK; PHOENIX; PLANO; RARITAN; ROSEMONT,77106.0,102170.0,104333.0
STRATEGIC SYSTEMS,"Strategic Systems, Inc.",13,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CT; GA; NC; NJ; NY; TX; VA,Atlanta; Aubrey; Charlotte; Hartford; Irving; McKinney; McLean; New York; Plano; Princeton; Reston,90000.0,91291.0,103210.0
TECH TAMMINA,"Tech Tammina, LLC",13,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; DC; MA; MD; MI; NJ; TX,Farmington Hills; Germantown; Irvine; Iselin; Katy; Newark; Newport Beach; North Quincy; Raritan; Washington,84053.0,101421.0,135699.0
NISUM TECHNOLOGIES,Nisum Technologies Inc.,12,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA,Dublin; Pleasanton; Rocklin; San Francisco; San Jose,120000.0,146906.0,158267.0
QUADRANT TECHNOLOGIES,Quadrant Technologies LLC,12,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; WA,Fremont; Redmond,117749.0,117749.0,135699.0
BNS INTERNATIONAL,BNS INTERNATIONAL INC,11,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; MN; NJ; PA; TX,AUBREY; Dallas; Eden Prairie; Houston; IRVINE; MCKINNEY; Malvern; TRENTON,85821.0,90896.0,102232.0
COLLABORATE SOLUTIONS,Collaborate Solutions Inc.,11,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; GA; NY; TX; VA,Atlanta; Aubrey; Irving; Mountain House; New York; Plano; Richardson; Richmond; San Antonio,87859.0,90896.0,103210.0
LEAD IT CORPORATION,Lead IT Corporation,11,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AZ; IL; NC; TX; WA,Austin; Bothell; Charlotte; Irving; Leander; Phoenix; Villa park,85467.0,90355.0,117749.0
3I INFOTECH,3i INFOTECH INC.,10,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AZ; FL; NY; SC; TX; VA,ALBANY; APT. #2208; FORT MILL; HOUSTON; IRVING; MCLEAN; NEW YORK; PHOENIX; SAN ANTONIO; TAMPA,78374.0,89000.0,103210.0
DIASPARK,"Diaspark, Inc.",10,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,NC; NJ; NY; TN; TX,Charlotte; Edison; Irving; Nashville; New York; Newark,85200.0,99750.0,104000.0
ERBA SOLUTIONS,ERBA Solutions LLC,10,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,IL; MN; NJ; OH; TX,Addison; Columbus; Jersey City; Justin; Plano; Plymouth,83000.0,91000.0,103500.0
KANAP SYSTEMS,Kanap Systems LLC,10,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AZ; NJ; NY; TX; VA; WA,East Greenbush; Henrico; MORRIS PLAINS; Mt Laurel; New York; Phoenix; Plano; Princeton; Seattle,80000.0,99105.0,117749.0
MOXIE IT SOLUTIONS,Moxie IT Solutions Inc,10,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AZ; MN; SC; TX; VA,Ashburn; Fort Mill; Hopkins; Houston; PLANO; Phoenix; Reston; Richmond,88000.0,92150.0,101500.0
NAMITUS TECHNOLOGIES,Namitus Technologies Inc,10,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,AZ; TX,Aubrey; Dallas; Frisco; Grand Prairie; Phoenix; Plano,84120.0,90900.0,90960.0
SRI TECH SOLUTIONS,"SRI Tech Solutions, Inc.",10,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,CA; FL; NC; TX,Austin; Charlotte; McKinney; Mountain View; Sunnyvale; Tampa,78374.0,90355.0,149365.0
THOUGHT CIRCUITS SERVICES,Thought Circuits Services LLC,10,2,FY2025Q4; FY2026Q1,yes,15-1252,Software Developers,NC; NJ; OH; TX; VA,Charlotte; Jersey City; Mclean; Miamisburg; PLANO; Plano,90900.0,91000.0,103250.0
