employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
JAGADGURU KRIPALUJI YOG,Jagadguru Kripaluji Yog,3,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,TX,Allen,57034,57034,57034
VLAB,VLAB LLC,3,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,MA,Cambridge City,73258,73258,73258
DELOITTE CONSULTING LLP,Deloitte Consulting LLP,2,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,TX,Austin,61006,89753,118500
UNIVERSITY OF MICHIGAN,University of Michigan,2,1,FY2026Q1,no,15-1255,Web and Digital Interface Designers,MI,Ann Arbor; Dearborn,62511,68174,73838
ACTIVISION PUBLISHING,ACTIVISION PUBLISHING INC,1,1,FY2025Q4,no,15-1255,VIDEO GAME DESIGNERS,CA,SANTA MONICA,89482,89482,89482
AIRMDR,"AirMDR, Inc.",1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,CA,Santa Clara,135000,135000,135000
ATLASNOVA,Atlasnova Inc.,1,1,FY2026Q1,no,15-1255,Web and Digital Interface Designers,CA,San Jose,134139,134139,134139
BLUMINT,BluMint Inc.,1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,NY,New York,70000,70000,70000
CALIFORNIA GREEN BUILDING COUNCIL,CALIFORNIA GREEN BUILDING COUNCIL,1,1,FY2026Q1,no,15-1255,Web and Digital Interface Designers,CA,LOS ANGELES,68000,68000,68000
COOPER SQUARE TECHNOLOGIES,Cooper Square Technologies Inc.,1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,NY,New York,260000,260000,260000
DIGITAL ARC SYSTEMS,"Digital Arc Systems, Corp.",1,1,FY2025Q4,no,15-1255,Video Game Designers,PA,Pittsburgh,52000,52000,52000
ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE,"Environmental Systems Research Institute, Inc.",1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,CA,Redlands,107640,107640,107640
FLORIDA A M UNIVERSITY,Florida A&M University,1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,FL,Tallahassee,61983,61983,61983
FORT HAYS STATE UNIVERSITY,Fort Hays State University,1,1,FY2026Q1,no,15-1255,Web and Digital Interface Designers,KS,Hays,54288,54288,54288
HERO DIGITAL,"HERO DIGITAL, LLC",1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,NY,BROOKLYN,72000,72000,72000
INDIANA UNIVERSITY,Indiana University,1,1,FY2026Q1,no,15-1255,Web and Digital Interface Designers,MD,Takoma Park,71150,71150,71150
INSTACO,Instaco LLC,1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,CA,Compton,70000,70000,70000
MAINSQUARE CO,MAINSQUARE CO.,1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,CA,San Jose,113630,113630,113630
MINDEX TECHNOLOGIES,"Mindex Technologies, Inc.",1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,NY,Rochester,97760,97760,97760
PERLE,"Perle, Inc.",1,1,FY2026Q1,no,15-1255,Web and Digital Interface Designers,CA,San Francisco,120000,120000,120000
PERSPECTIVES HEALTH,"PERSPECTIVES HEALTH, INC.",1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,CA,San Francisco,120000,120000,120000
SRI TECH SOLUTIONS,"SRI Tech Solutions, Inc.",1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,WA,Bellevue,78000,78000,78000
SUPERPOWER HEALTH,"Superpower Health, Inc.",1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,CA,San Francisco,112000,112000,112000
TIKTOK,TikTok Inc.,1,1,FY2026Q1,no,15-1255,Web and Digital Interface Designers,CA,San Jose,155000,155000,155000
TURNER SERVICES,"Turner Services, Inc.",1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,NY,New York,72244,72244,72244
UNLTD,UNLTD Inc.,1,1,FY2026Q1,no,15-1255,Web and Digital Interface Designers,CA,San Francisco,170000,170000,170000
VELWYN STUDIO,"Velwyn Studio, Inc.",1,1,FY2025Q4,no,15-1255,Web and Digital Interface Designers,TX,Austin,70000,70000,70000
WILDCARD PROPERTIES,Wildcard Properties LLC,1,1,FY2025Q4,no,15-1255,Video Game Designers,WA,Bellevue,100000,100000,100000
