employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
RYZLINK,RYZLINK CORP,4,2,FY2025Q4; FY2026Q1,yes,15-1254,Web Developers,CA,Santa Clara; Sunnyvale,92768,104000,115648
THE FLORIDA STATE UNIVERSITY,The Florida State University,2,2,FY2025Q4; FY2026Q1,yes,15-1254,Web Developers,TX,Austin,76800,76800,76800
PEOPLE TECH GROUP,"People Tech Group, Inc",6,1,FY2026Q1,no,15-1254,Web Developers,WA,Seattle,76357,76357,76357
KINETICA SYSTEMS,KINETICA SYSTEMS LLC,2,1,FY2025Q4,no,15-1254,Web Developers,FL,SUNRISE,62462,62462,62462
TANISHA SYSTEMS,TANISHA SYSTEMS INC,2,1,FY2025Q4,no,15-1254,Web Developers,CA,San Leandro,83491,83491,83491
BAY ATLANTIC UNIVERSITY BAU,Bay Atlantic University (BAU) LLC,1,1,FY2025Q4,no,15-1254,Web Developers,DC,Washington,86944,86944,86944
DANDELION PAYMENTS,"Dandelion Payments, Inc.",1,1,FY2025Q4,no,15-1254,Web Developers,CA,Buena Park,74621,74621,74621
DATAQUAD,Dataquad Inc,1,1,FY2026Q1,no,15-1254,Web Developers,CA,Sunnyvale,93000,93000,93000
DENAGO EV CORPORATION,Denago EV Corporation,1,1,FY2026Q1,no,15-1254,Web Developers,TX,Plano,50000,50000,50000
DOE LABS,"Doe Labs, Corp.",1,1,FY2025Q4,no,15-1254,Web Developers,CA,San Francisco,100000,100000,100000
HASHFOREST TECHNOLOGY,Hashforest Technology LLC,1,1,FY2025Q4,no,15-1254,Web Developers,CA,NEWARK,84000,84000,84000
HIH,HIH INC.,1,1,FY2025Q4,no,15-1254,Web Developers,CA,SANTA CLARA,92768,92768,92768
KNS RETAIL,KNS Retail LLC,1,1,FY2025Q4,no,15-1254,Web Developers,TX,Nederland,64875,64875,64875
LOUISIANA TECH UNIVERSITY,Louisiana Tech University,1,1,FY2026Q1,no,15-1254,Web Developers,LA,Ruston,59000,59000,59000
MISSISSIPPI STATE UNIVERSITY,Mississippi State University,1,1,FY2026Q1,no,15-1254,Web Developers,MS,Starkville,64000,64000,64000
RELIVE AI,relive.ai LLC,1,1,FY2026Q1,no,15-1254,Web Developers,MA,Boston,72800,72800,72800
TEKTASTIC TECHNICAL SERVICES,Tektastic Technical Services LLC,1,1,FY2026Q1,no,15-1254,Web Developers,CA,Sunnyvale,93000,93000,93000
THE MIDNIGHT TRADING,The Midnight Trading Inc,1,1,FY2025Q4,no,15-1254,Web Developers,CA,Irvine,59218,59218,59218
THE UNIVERSITY OF TENNESSEE,THE UNIVERSITY OF TENNESSEE,1,1,FY2025Q4,no,15-1254,Web Developers,TN,Knoxville,75000,75000,75000
